id	ident	Latitude	Longitude	y_proj	x_proj	comment
1	cs-1	-14.18417	-169.66508	-14.18417	-169.66508	Vaoto
2	cs-2	-14.18469	-169.66618	-14.18469	-169.66618	Vaoto
3	cs-3	-14.18129	-169.65849	-14.18129	-169.65849	Pool 300
4	cs-4	-14.18126	-169.65846	-14.18126	-169.65846	Pool 300
5	cs-5	-14.18125	-169.65851	-14.18125	-169.65851	Pool 300
6	cs-6	-14.18099	-169.6581	-14.18099	-169.6581	Pool 300
7	cs-7	-14.174917	-169.650855	-14.174917	-169.650855	Ava
9	cs-9	-14.181143	-169.62178	-14.181143	-169.62178	Olosega
10	cs-10	-14.18118	-169.621691	-14.18118	-169.621691	Olosega
11	cs-11	-14.181244	-169.621693	-14.181244	-169.621693	Olosega
12	cs-12	-14.181913	-169.621699	-14.181913	-169.621699	Olosega
