ident	Latitude	Longitude	time
T5534	-14.18406081	-169.6661942	2019/06/24 19:59:27+00
T5534	-14.180268	-169.6569772	2019/06/24 19:59:32+00
T5534	-14.18027161	-169.6569767	2019/06/24 19:59:37+00
T5534	-14.18026574	-169.6569451	2019/06/24 19:59:42+00
T5534	-14.18027488	-169.6569239	2019/06/24 19:59:47+00
T5534	-14.18027421	-169.6569241	2019/06/24 19:59:52+00
T5534	-14.18027387	-169.6569262	2019/06/24 19:59:57+00
T5534	-14.18027119	-169.6569296	2019/06/24 20:00:02+00
T5534	-14.18027261	-169.6569332	2019/06/24 20:00:07+00
T5534	-14.18027345	-169.6569403	2019/06/24 20:00:12+00
T5534	-14.18027529	-169.6569483	2019/06/24 20:00:17+00
T5534	-14.18028007	-169.6569637	2019/06/24 20:00:22+00
T5534	-14.18027949	-169.6569685	2019/06/24 20:00:27+00
T5534	-14.18027856	-169.6569694	2019/06/24 20:00:32+00
T5534	-14.18027764	-169.6569632	2019/06/24 20:00:37+00
T5534	-14.18027613	-169.6569559	2019/06/24 20:00:42+00
T5534	-14.18027622	-169.6569502	2019/06/24 20:00:47+00
T5534	-14.18027353	-169.6569485	2019/06/24 20:00:52+00
T5534	-14.18027328	-169.6569462	2019/06/24 20:00:57+00
T5534	-14.18027161	-169.6569453	2019/06/24 20:01:02+00
T5534	-14.18026943	-169.6569437	2019/06/24 20:01:07+00
T5534	-14.18027119	-169.656945	2019/06/24 20:01:12+00
T5534	-14.18027546	-169.6569456	2019/06/24 20:01:17+00
T5534	-14.18028141	-169.6569518	2019/06/24 20:01:22+00
T5534	-14.18028376	-169.6569553	2019/06/24 20:01:27+00
T5534	-14.18028535	-169.6569578	2019/06/24 20:01:32+00
T5534	-14.1802856	-169.6569603	2019/06/24 20:01:37+00
T5534	-14.18028636	-169.65696	2019/06/24 20:01:42+00
T5534	-14.18028527	-169.6569587	2019/06/24 20:01:47+00
T5534	-14.18028552	-169.6569583	2019/06/24 20:01:52+00
T5534	-14.18028611	-169.6569574	2019/06/24 20:01:57+00
T5534	-14.18028586	-169.6569544	2019/06/24 20:02:02+00
T5534	-14.18028477	-169.6569514	2019/06/24 20:02:07+00
T5534	-14.18028267	-169.6569487	2019/06/24 20:02:12+00
T5534	-14.18028058	-169.6569517	2019/06/24 20:02:17+00
T5534	-14.18028041	-169.6569547	2019/06/24 20:02:22+00
T5534	-14.18027747	-169.6569632	2019/06/24 20:02:27+00
T5534	-14.18027555	-169.6569634	2019/06/24 20:02:32+00
T5534	-14.18027337	-169.6569586	2019/06/24 20:02:37+00
