ident	Latitude	Longitude	time
S3	-14.180732	-169.657628	2019/06/24 20:17:33+00
170	-14.182024	-169.658133	2019/06/24 20:49:19+00
E03	-14.182241	-169.659361	2019/06/24 21:24:54+00
S04	-14.177896	-169.654242	2019/06/25 01:46:02+00
171	-14.178321	-169.654071	2019/06/25 01:58:57+00
172	-14.178667	-169.653977	2019/06/25 02:08:01+00
173	-14.178716	-169.653988	2019/06/25 02:13:13+00
174	-14.178781	-169.653955	2019/06/25 02:22:02+00
175	-14.17877	-169.653967	2019/06/25 02:25:50+00
176	-14.178279	-169.653264	2019/06/25 02:58:05+00
E04	-14.177361	-169.653681	2019/06/25 03:21:27+00
