type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 13 OCT 2018 15:41	T1	-14.1801454592	-169.6569344122	-14.1801454592	-169.6569344122		False	True			-74.05			2019/06/23 00:24:26+00	garmin GPSMAP 64s Software Version 470		2019/06/22 13:24:26		
TRACK	Current Track: 13 OCT 2018 15:41	T1	-14.1801992711	-169.6569510922	-14.1801992711	-169.6569510922		False	False			-15.63			2019/06/23 00:24:57+00	garmin GPSMAP 64s Software Version 470		2019/06/22 13:24:57		
TRACK	Current Track: 13 OCT 2018 15:41	T1	-14.1802212317	-169.6569608152	-14.1802212317	-169.6569608152		False	False			-8.59			2019/06/23 00:25:27+00	garmin GPSMAP 64s Software Version 470		2019/06/22 13:25:27		
TRACK	Current Track: 13 OCT 2018 15:41	T1	-14.1802390013	-169.6569474041	-14.1802390013	-169.6569474041		False	False			-3.93			2019/06/23 00:25:57+00	garmin GPSMAP 64s Software Version 470		2019/06/22 13:25:57		
TRACK	Current Track: 13 OCT 2018 15:41	T1	-14.1802415997	-169.6569454763	-14.1802415997	-169.6569454763		False	False			0.69			2019/06/23 00:26:27+00	garmin GPSMAP 64s Software Version 470		2019/06/22 13:26:27		
TRACK	Current Track: 13 OCT 2018 15:41	T1	-14.1802220698	-169.6569343284	-14.1802220698	-169.6569343284		False	False			4.82			2019/06/23 00:26:57+00	garmin GPSMAP 64s Software Version 470		2019/06/22 13:26:57		
TRACK	Current Track: 13 OCT 2018 15:41	T1	-14.1802379955	-169.656943297	-14.1802379955	-169.656943297		False	False			6.77			2019/06/23 00:27:27+00	garmin GPSMAP 64s Software Version 470		2019/06/22 13:27:27		
TRACK	Current Track: 13 OCT 2018 15:41	T1	-14.1802313738	-169.6569525171	-14.1802313738	-169.6569525171		False	False			8.11			2019/06/23 00:27:57+00	garmin GPSMAP 64s Software Version 470		2019/06/22 13:27:57		
TRACK	Current Track: 13 OCT 2018 15:41	T1	-14.1802484728	-169.65693634	-14.1802484728	-169.65693634		False	False			9.73			2019/06/23 00:28:27+00	garmin GPSMAP 64s Software Version 470		2019/06/22 13:28:27		
TRACK	Current Track: 13 OCT 2018 15:41	T1	-14.1802711878	-169.6569273714	-14.1802711878	-169.6569273714		False	False			9.16			2019/06/23 00:28:57+00	garmin GPSMAP 64s Software Version 470		2019/06/22 13:28:57		
TRACK	Current Track: 13 OCT 2018 15:41	T1	-14.1802792344	-169.656921085	-14.1802792344	-169.656921085		False	False			8.61			2019/06/23 00:29:27+00	garmin GPSMAP 64s Software Version 470		2019/06/22 13:29:27		
TRACK	Current Track: 13 OCT 2018 15:41	T1	-14.1802664939	-169.6569404472	-14.1802664939	-169.6569404472		False	False			7.29			2019/06/23 00:29:57+00	garmin GPSMAP 64s Software Version 470		2019/06/22 13:29:57		
TRACK	Current Track: 13 OCT 2018 15:41	T1	-14.1802685894	-169.6569426265	-14.1802685894	-169.6569426265		False	False			7.37			2019/06/23 00:30:27+00	garmin GPSMAP 64s Software Version 470		2019/06/22 13:30:27		
TRACK	Current Track: 13 OCT 2018 15:41	T1	-14.1802654881	-169.6569498349	-14.1802654881	-169.6569498349		False	False			8.53			2019/06/23 00:30:57+00	garmin GPSMAP 64s Software Version 470		2019/06/22 13:30:57		
TRACK	Current Track: 13 OCT 2018 15:41	T1	-14.180258112	-169.6569454763	-14.180258112	-169.6569454763		False	False			14.68			2019/06/23 00:31:27+00	garmin GPSMAP 64s Software Version 470		2019/06/22 13:31:27		
TRACK	Current Track: 13 OCT 2018 15:41	T1	-14.1802593693	-169.6569319814	-14.1802593693	-169.6569319814		False	False			-49.65			2019/06/23 00:31:57+00	garmin GPSMAP 64s Software Version 470		2019/06/22 13:31:57		
TRACK	Current Track: 13 OCT 2018 15:41	T1	-14.1802475508	-169.6569077577	-14.1802475508	-169.6569077577		False	False			-37.73			2019/06/23 00:32:27+00	garmin GPSMAP 64s Software Version 470		2019/06/22 13:32:27		
