type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1801337246	-169.6568649262	-14.1801337246	-169.6568649262		False	True			-3.37			2019/06/23 01:02:27+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:02:27		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1801332217	-169.6568510123	-14.1801332217	-169.6568510123		False	False			-7.23			2019/06/23 01:02:32+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:02:32		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1801365744	-169.6568496712	-14.1801365744	-169.6568496712		False	False			-12.51			2019/06/23 01:02:37+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:02:37		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.180278983	-169.6568017267	-14.180278983	-169.6568017267		False	False			-11.95			2019/06/23 01:02:42+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:02:42		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1802737862	-169.6568871383	-14.1802737862	-169.6568871383		False	False			-11.95			2019/06/23 01:02:47+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:02:47		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1802752949	-169.6569098532	-14.1802752949	-169.6569098532		False	False			-12.33			2019/06/23 01:02:52+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:02:52		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1802873649	-169.6569180675	-14.1802873649	-169.6569180675		False	False			-8.79			2019/06/23 01:02:57+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:02:57		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1802877001	-169.6569151338	-14.1802877001	-169.6569151338		False	False			-8.6			2019/06/23 01:03:02+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:03:02		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.180297507	-169.6569292992	-14.180297507	-169.6569292992		False	False			-8.55			2019/06/23 01:03:07+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:03:07		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1803008597	-169.6569411177	-14.1803008597	-169.6569411177		False	False			-8.92			2019/06/23 01:03:12+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:03:12		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1803022008	-169.6569427941	-14.1803022008	-169.6569427941		False	False			-8.51			2019/06/23 01:03:17+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:03:17		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.180303039	-169.656938687	-14.180303039	-169.656938687		False	False			-8.5			2019/06/23 01:03:22+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:03:22		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1803022008	-169.65693634	-14.1803022008	-169.65693634		False	False			-8.77			2019/06/23 01:03:27+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:03:27		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1803008597	-169.656935418	-14.1803008597	-169.656935418		False	False			-8.58			2019/06/23 01:03:32+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:03:32		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1803006083	-169.6569360886	-14.1803006083	-169.6569360886		False	False			-8.22			2019/06/23 01:03:37+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:03:37		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1802990157	-169.6569380164	-14.1802990157	-169.6569380164		False	False			-7.89			2019/06/23 01:03:42+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:03:42		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1802981775	-169.6569386031	-14.1802981775	-169.6569386031		False	False			-7.58			2019/06/23 01:03:47+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:03:47		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1802968364	-169.6569401119	-14.1802968364	-169.6569401119		False	False			-7.82			2019/06/23 01:03:52+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:03:52		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1802961659	-169.6569415368	-14.1802961659	-169.6569415368		False	False			-7.41			2019/06/23 01:03:57+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:03:57		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1802949924	-169.6569461469	-14.1802949924	-169.6569461469		False	False			-7.85			2019/06/23 01:04:02+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:04:02		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1802935675	-169.6569496673	-14.1802935675	-169.6569496673		False	False			-7.66			2019/06/23 01:04:07+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:04:07		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1802928131	-169.6569510922	-14.1802928131	-169.6569510922		False	False			-7.36			2019/06/23 01:04:12+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:04:12		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1802907176	-169.6569510922	-14.1802907176	-169.6569510922		False	False			-7.14			2019/06/23 01:04:17+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:04:17		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1802891251	-169.6569535229	-14.1802891251	-169.6569535229		False	False			-7.39			2019/06/23 01:04:22+00	garmin GPSMAP 64s Software Version 500		2019/06/22 14:04:22		
