ident	ltime	Latitude	Longitude
12	14:33	-14.180467	-169.656911
13	14:44	-14.181389	-169.658354
14	15:20	-14.181054	-169.657143
15	15:30	-14.18193	-169.65848
16	15:34	-14.181786	-169.658442
17	15:39	-14.181821	-169.658523
18	15:42	-14.18177	-169.658671
19	15:44	-14.181748	-169.658636
20	15:46	-14.181699	-169.658662
21	15:48	-14.181644	-169.658714
22	15:52	-14.181538	-169.658717
23	16:00	-14.181425	-169.658461
24	16:05	-14.18134	-169.658443
25	16:07	-14.181357	-169.658413
26	16:09	-14.181261	-169.658468
27	16:13	-14.181174	-169.658356
