type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 25 OCT 2018 08:49	T1	-14.1806840803	-169.6569037344	-14.1806840803	-169.6569037344		False	False			5.04			2019/06/24 22:17:03+00	garmin GPSMAP 64s Software Version 470		2019/06/24 11:17:03		
TRACK	Current Track: 25 OCT 2018 08:49	T1	-14.1806804761	-169.6569032315	-14.1806804761	-169.6569032315		False	False			5.09			2019/06/24 22:17:08+00	garmin GPSMAP 64s Software Version 470		2019/06/24 11:17:08		
TRACK	Current Track: 25 OCT 2018 08:49	T1	-14.1806780454	-169.6569126192	-14.1806780454	-169.6569126192		False	False			3.86			2019/06/24 22:17:13+00	garmin GPSMAP 64s Software Version 470		2019/06/24 11:17:13		
TRACK	Current Track: 25 OCT 2018 08:49	T1	-14.1806793865	-169.6569210012	-14.1806793865	-169.6569210012		False	False			4.71			2019/06/24 22:17:18+00	garmin GPSMAP 64s Software Version 470		2019/06/24 11:17:18		
TRACK	Current Track: 25 OCT 2018 08:49	T1	-14.1806767043	-169.6569184028	-14.1806767043	-169.6569184028		False	False			4.57			2019/06/24 22:17:23+00	garmin GPSMAP 64s Software Version 470		2019/06/24 11:17:23		
TRACK	Current Track: 25 OCT 2018 08:49	T1	-14.1806887742	-169.6569110267	-14.1806887742	-169.6569110267		False	False			4.2			2019/06/24 22:17:28+00	garmin GPSMAP 64s Software Version 470		2019/06/24 11:17:28		
TRACK	Current Track: 25 OCT 2018 08:49	T1	-14.1807034425	-169.6569050755	-14.1807034425	-169.6569050755		False	False			4.69			2019/06/24 22:17:33+00	garmin GPSMAP 64s Software Version 470		2019/06/24 11:17:33		
TRACK	Current Track: 25 OCT 2018 08:49	T1	-14.1807099804	-169.6569023933	-14.1807099804	-169.6569023933		False	False			4.55			2019/06/24 22:17:38+00	garmin GPSMAP 64s Software Version 470		2019/06/24 11:17:38		
TRACK	Current Track: 25 OCT 2018 08:49	T1	-14.1806927975	-169.6569015551	-14.1806927975	-169.6569015551		False	False			4.23			2019/06/24 22:17:43+00	garmin GPSMAP 64s Software Version 470		2019/06/24 11:17:43		
TRACK	Current Track: 25 OCT 2018 08:49	T1	-14.1806984972	-169.6568939276	-14.1806984972	-169.6568939276		False	False			4.2			2019/06/24 22:17:48+00	garmin GPSMAP 64s Software Version 470		2019/06/24 11:17:48		
