type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1812097095	-169.6582745947	-14.1812097095	-169.6582745947		False	False			5.62			2019/06/25 02:44:23+00	garmin GPSMAP 64s Software Version 500		2019/06/24 15:44:23		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1810890939	-169.6583918575	-14.1810890939	-169.6583918575		False	False			3.96			2019/06/25 02:44:29+00	garmin GPSMAP 64s Software Version 500		2019/06/24 15:44:29		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1811604239	-169.6583838109	-14.1811604239	-169.6583838109		False	False			4.1			2019/06/25 02:44:34+00	garmin GPSMAP 64s Software Version 500		2019/06/24 15:44:34		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1811955441	-169.6583725791	-14.1811955441	-169.6583725791		False	False			6.32			2019/06/25 02:44:39+00	garmin GPSMAP 64s Software Version 500		2019/06/24 15:44:39		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.181190012	-169.6583634429	-14.181190012	-169.6583634429		False	False			7.24			2019/06/25 02:44:44+00	garmin GPSMAP 64s Software Version 500		2019/06/24 15:44:44		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1811780259	-169.6583654545	-14.1811780259	-169.6583654545		False	False			8.52			2019/06/25 02:44:49+00	garmin GPSMAP 64s Software Version 500		2019/06/24 15:44:49		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1811711527	-169.6583627723	-14.1811711527	-169.6583627723		False	False			10.14			2019/06/25 02:44:54+00	garmin GPSMAP 64s Software Version 500		2019/06/24 15:44:54		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1811601724	-169.6583698969	-14.1811601724	-169.6583698969		False	False			12.04			2019/06/25 02:44:59+00	garmin GPSMAP 64s Software Version 500		2019/06/24 15:44:59		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1811513714	-169.6583750099	-14.1811513714	-169.6583750099		False	False			12.17			2019/06/25 02:45:04+00	garmin GPSMAP 64s Software Version 500		2019/06/24 15:45:04		
TRACK	Current Track: 20 JUN 2019 14:02	T1	-14.1811493598	-169.6583766025	-14.1811493598	-169.6583766025		False	False			12.17			2019/06/25 02:45:06+00	garmin GPSMAP 64s Software Version 500		2019/06/24 15:45:06		
