type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 25 OCT 2018 08:49	T1	-14.1807110701	-169.6572821774	-14.1807110701	-169.6572821774		False	False			-10.94			2019/06/24 20:26:23+00	garmin GPSMAP 64s Software Version 470		2019/06/24 09:26:23		
TRACK	Current Track: 25 OCT 2018 08:49	T1	-14.1807087231	-169.6572868712	-14.1807087231	-169.6572868712		False	False			-11.5			2019/06/24 20:26:28+00	garmin GPSMAP 64s Software Version 470		2019/06/24 09:26:28		
TRACK	Current Track: 25 OCT 2018 08:49	T1	-14.1807046998	-169.6572892182	-14.1807046998	-169.6572892182		False	False			-11.67			2019/06/24 20:26:33+00	garmin GPSMAP 64s Software Version 470		2019/06/24 09:26:33		
TRACK	Current Track: 25 OCT 2018 08:49	T1	-14.1807074659	-169.6572867036	-14.1807074659	-169.6572867036		False	False			-12.24			2019/06/24 20:26:38+00	garmin GPSMAP 64s Software Version 470		2019/06/24 09:26:38		
TRACK	Current Track: 25 OCT 2018 08:49	T1	-14.1807085555	-169.6572864521	-14.1807085555	-169.6572864521		False	False			-12.48			2019/06/24 20:26:43+00	garmin GPSMAP 64s Software Version 470		2019/06/24 09:26:43		
TRACK	Current Track: 25 OCT 2018 08:49	T1	-14.1807092261	-169.6572848596	-14.1807092261	-169.6572848596		False	False			-12.62			2019/06/24 20:26:48+00	garmin GPSMAP 64s Software Version 470		2019/06/24 09:26:48		
TRACK	Current Track: 25 OCT 2018 08:49	T1	-14.1807109863	-169.6572867036	-14.1807109863	-169.6572867036		False	False			-12.56			2019/06/24 20:26:53+00	garmin GPSMAP 64s Software Version 470		2019/06/24 09:26:53		
TRACK	Current Track: 25 OCT 2018 08:49	T1	-14.1807125788	-169.6572886314	-14.1807125788	-169.6572886314		False	False			-12.91			2019/06/24 20:26:58+00	garmin GPSMAP 64s Software Version 470		2019/06/24 09:26:58		
TRACK	Current Track: 25 OCT 2018 08:49	T1	-14.1807133332	-169.6572912298	-14.1807133332	-169.6572912298		False	False			-13.16			2019/06/24 20:27:03+00	garmin GPSMAP 64s Software Version 470		2019/06/24 09:27:03		
TRACK	Current Track: 25 OCT 2018 08:49	T1	-14.1807004251	-169.6572980192	-14.1807004251	-169.6572980192		False	False			-10.73			2019/06/24 20:27:08+00	garmin GPSMAP 64s Software Version 470		2019/06/24 09:27:08		
