type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	2019-06-25 08:51:07 Auto	T1	-14.1824576072	-169.6219832171	-14.1824576072	-169.6219832171		False	False			43.17			2019/06/25 20:39:59+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:39:59		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.182455847	-169.6219863184	-14.182455847	-169.6219863184		False	False			43.99			2019/06/25 20:40:04+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:40:04		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.1824598704	-169.6219918504	-14.1824598704	-169.6219918504		False	False			43.82			2019/06/25 20:40:09+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:40:09		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.1824606247	-169.6219874918	-14.1824606247	-169.6219874918		False	False			43.42			2019/06/25 20:40:14+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:40:14		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.1824759636	-169.6219811216	-14.1824759636	-169.6219811216		False	False			44.06			2019/06/25 20:40:19+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:40:19		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.1824837588	-169.621980451	-14.1824837588	-169.621980451		False	False			43.95			2019/06/25 20:40:24+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:40:24		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.1824850999	-169.6219803672	-14.1824850999	-169.6219803672		False	False			43.67			2019/06/25 20:40:29+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:40:29		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.182472527	-169.6219803672	-14.182472527	-169.6219803672		False	False			43.5			2019/06/25 20:40:34+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:40:34		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.1824709345	-169.6219773497	-14.1824709345	-169.6219773497		False	False			42.48			2019/06/25 20:40:39+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:40:39		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.1824764665	-169.6219825465	-14.1824764665	-169.6219825465		False	False			41.89			2019/06/25 20:40:44+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:40:44		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.1824766342	-169.6219845582	-14.1824766342	-169.6219845582		False	False			41.26			2019/06/25 20:40:49+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:40:49		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.1824778914	-169.6219830494	-14.1824778914	-169.6219830494		False	False			41.35			2019/06/25 20:40:54+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:40:54		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.1824781429	-169.6219839714	-14.1824781429	-169.6219839714		False	False			41.57			2019/06/25 20:40:59+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:40:59		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.18247764	-169.621984642	-14.18247764	-169.621984642		False	False			41.39			2019/06/25 20:41:04+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:41:04		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.1824762989	-169.6219840553	-14.1824762989	-169.6219840553		False	False			41.28			2019/06/25 20:41:09+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:41:09		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.1824781429	-169.6219822112	-14.1824781429	-169.6219822112		False	False			41.26			2019/06/25 20:41:14+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:41:14		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.1824797355	-169.6219853126	-14.1824797355	-169.6219853126		False	False			40.92			2019/06/25 20:41:19+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:41:19		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.1824778076	-169.6219845582	-14.1824778076	-169.6219845582		False	False			41.14			2019/06/25 20:41:24+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:41:24		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.1824760474	-169.6219832171	-14.1824760474	-169.6219832171		False	False			41.16			2019/06/25 20:41:29+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:41:29		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.1824598704	-169.6220007353	-14.1824598704	-169.6220007353		False	False			41.15			2019/06/25 20:41:34+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:41:34		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.1824480519	-169.6220141463	-14.1824480519	-169.6220141463		False	False			39.92			2019/06/25 20:41:39+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:41:39		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.182434557	-169.622031413	-14.182434557	-169.622031413		False	False			40.33			2019/06/25 20:41:44+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:41:44		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.1824196372	-169.6220417228	-14.1824196372	-169.6220417228		False	False			40.31			2019/06/25 20:41:49+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:41:49		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.1824120097	-169.6220560558	-14.1824120097	-169.6220560558		False	False			39.89			2019/06/25 20:41:54+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:41:54		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.1823976766	-169.6220811177	-14.1823976766	-169.6220811177		False	False			39.95			2019/06/25 20:41:59+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:41:59		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.1823811643	-169.6221052576	-14.1823811643	-169.6221052576		False	False			39.16			2019/06/25 20:42:04+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:42:04		
TRACK	2019-06-25 08:51:07 Auto	T1	-14.1823606286	-169.6221260447	-14.1823606286	-169.6221260447		False	False			38.82			2019/06/25 20:42:09+00	garmin GPSMAP 64s Software Version 380		2019/06/25 09:42:09		
