Latitude	Longitude	ltime
-14.18284971	-169.6221136	6/25/2019 9:40:54
-14.18279649	-169.6221898	6/25/2019 9:41:44
-14.18274477	-169.6222207	6/25/2019 9:42:14
-14.18267311	-169.6222427	6/25/2019 9:42:44
-14.18260521	-169.622287	6/25/2019 9:43:14
-14.18254981	-169.6223366	6/25/2019 9:43:44
-14.18251561	-169.6223793	6/25/2019 9:44:14
-14.18249466	-169.6224283	6/25/2019 9:44:44
-14.18246892	-169.6224976	6/25/2019 9:45:14
-14.18241545	-169.6225309	6/25/2019 9:45:44
-14.18239055	-169.6225948	6/25/2019 9:46:14
-14.18234906	-169.6226144	6/25/2019 9:46:44
-14.18232417	-169.6226776	6/25/2019 9:47:14
-14.18228243	-169.6227037	6/25/2019 9:47:44
-14.18218989	-169.6227092	6/25/2019 9:48:14
-14.18212971	-169.6227112	6/25/2019 9:48:44
-14.18205963	-169.6226979	6/25/2019 9:49:14
-14.18199912	-169.6227334	6/25/2019 9:49:44
-14.18200507	-169.6228027	6/25/2019 9:50:14
-14.18201203	-169.6229295	6/25/2019 9:50:44
-14.18196919	-169.6230132	6/25/2019 9:51:14
-14.18190675	-169.6231113	6/25/2019 9:51:44
-14.18190775	-169.6232164	6/25/2019 9:52:14
-14.1819277	-169.623317	6/25/2019 9:52:44
-14.18188554	-169.6234284	6/25/2019 9:53:14
-14.18185579	-169.6235288	6/25/2019 9:53:44
-14.18179912	-169.6236113	6/25/2019 9:54:14
-14.18170952	-169.6236748	6/25/2019 9:54:44
-14.18162981	-169.6237546	6/25/2019 9:55:14
-14.18153627	-169.6237854	6/25/2019 9:55:44
-14.18144834	-169.6238311	6/25/2019 9:56:14
-14.18132756	-169.6238665	6/25/2019 9:56:44
-14.18127744	-169.6239506	6/25/2019 9:57:14
-14.18119219	-169.6239877	6/25/2019 9:57:44
-14.18114106	-169.624065	6/25/2019 9:58:14
-14.18105967	-169.6241473	6/25/2019 9:58:44
-14.18095741	-169.6241604	6/25/2019 9:59:14
-14.18084677	-169.6241471	6/25/2019 9:59:44
-14.18076756	-169.6241301	6/25/2019 10:00:14
-14.18067461	-169.6241456	6/25/2019 10:00:44
-14.18060856	-169.6241474	6/25/2019 10:08:59
-14.18055852	-169.6242028	6/25/2019 10:09:29
-14.18054553	-169.6242882	6/25/2019 10:09:59
-14.18055718	-169.6243641	6/25/2019 10:10:29
-14.18061208	-169.6244321	6/25/2019 10:10:59
-14.180656	-169.6245051	6/25/2019 10:11:29
-14.18059967	-169.6245951	6/25/2019 10:11:59
-14.18054419	-169.6246812	6/25/2019 10:12:29
-14.18050001	-169.6247597	6/25/2019 10:12:59
-14.18041284	-169.6248216	6/25/2019 10:13:29
-14.18033221	-169.6248873	6/25/2019 10:13:59
-14.18025216	-169.6249507	6/25/2019 10:14:29
-14.18018024	-169.6250526	6/25/2019 10:14:59
-14.18009475	-169.6251196	6/25/2019 10:15:29
-14.1800468	-169.6251947	6/25/2019 10:15:59
-14.17998293	-169.6253002	6/25/2019 10:16:29
-14.17987053	-169.6253446	6/25/2019 10:16:59
-14.17976467	-169.6253614	6/25/2019 10:17:29
-14.17964414	-169.6254041	6/25/2019 10:17:59
-14.17952763	-169.6254218	6/25/2019 10:18:29
-14.17940374	-169.6254464	6/25/2019 10:18:59
-14.17929243	-169.6254418	6/25/2019 10:19:29
-14.17917073	-169.6255283	6/25/2019 10:19:59
-14.17906838	-169.625606	6/25/2019 10:20:29
-14.17893117	-169.625645	6/25/2019 10:20:59
-14.1788497	-169.6256947	6/25/2019 10:21:29
-14.17878726	-169.625779	6/25/2019 10:21:59
-14.17871718	-169.6258382	6/25/2019 10:22:29
-14.1786301	-169.6258235	6/25/2019 10:22:59
-14.17849003	-169.625793	6/25/2019 10:27:59
-14.1784291	-169.6258227	6/25/2019 10:28:29
-14.17830203	-169.625837	6/25/2019 10:28:59
-14.17819373	-169.6258895	6/25/2019 10:29:29
-14.1780732	-169.6259145	6/25/2019 10:29:59
-14.17795527	-169.6259697	6/25/2019 10:30:29
