type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1822007019	-169.6215438377	-14.1822007019	-169.6215438377		False	False			0.91			2019/06/25 20:36:38+00	garmin GPSMAP 64s Software Version 500		2019/06/25 09:36:38		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1821916495	-169.6215522196	-14.1821916495	-169.6215522196		False	False			1.43			2019/06/25 20:36:43+00	garmin GPSMAP 64s Software Version 500		2019/06/25 09:36:43		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1821957566	-169.6215684805	-14.1821957566	-169.6215684805		False	False			2.24			2019/06/25 20:36:48+00	garmin GPSMAP 64s Software Version 500		2019/06/25 09:36:48		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1821993608	-169.6215808019	-14.1821993608	-169.6215808019		False	False			2.94			2019/06/25 20:36:53+00	garmin GPSMAP 64s Software Version 500		2019/06/25 09:36:53		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1822049767	-169.621599745	-14.1822049767	-169.621599745		False	False			3.3			2019/06/25 20:36:58+00	garmin GPSMAP 64s Software Version 500		2019/06/25 09:36:58		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1822040547	-169.6215964761	-14.1822040547	-169.6215964761		False	False			3.69			2019/06/25 20:37:03+00	garmin GPSMAP 64s Software Version 500		2019/06/25 09:37:03		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1822017077	-169.621611312	-14.1822017077	-169.621611312		False	False			4.3			2019/06/25 20:37:08+00	garmin GPSMAP 64s Software Version 500		2019/06/25 09:37:08		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1822112631	-169.6216152515	-14.1822112631	-169.6216152515		False	False			4.59			2019/06/25 20:37:13+00	garmin GPSMAP 64s Software Version 500		2019/06/25 09:37:13		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1822203994	-169.6216196939	-14.1822203994	-169.6216196939		False	False			5			2019/06/25 20:37:18+00	garmin GPSMAP 64s Software Version 500		2019/06/25 09:37:18		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1822226625	-169.6216186881	-14.1822226625	-169.6216186881		False	False			5.2			2019/06/25 20:37:23+00	garmin GPSMAP 64s Software Version 500		2019/06/25 09:37:23		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.182216879	-169.6216125693	-14.182216879	-169.6216125693		False	False			5.39			2019/06/25 20:37:28+00	garmin GPSMAP 64s Software Version 500		2019/06/25 09:37:28		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1822208185	-169.6215986554	-14.1822208185	-169.6215986554		False	False			5.97			2019/06/25 20:37:33+00	garmin GPSMAP 64s Software Version 500		2019/06/25 09:37:33		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1822208185	-169.6215895191	-14.1822208185	-169.6215895191		False	False			6.3			2019/06/25 20:37:38+00	garmin GPSMAP 64s Software Version 500		2019/06/25 09:37:38		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1822395101	-169.621599745	-14.1822395101	-169.621599745		False	False			6.68			2019/06/25 20:37:43+00	garmin GPSMAP 64s Software Version 500		2019/06/25 09:37:43		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1822371632	-169.6216166764	-14.1822371632	-169.6216166764		False	False			6.6			2019/06/25 20:37:48+00	garmin GPSMAP 64s Software Version 500		2019/06/25 09:37:48		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1822277755	-169.6216310933	-14.1822277755	-169.6216310933		False	False			7.14			2019/06/25 20:37:53+00	garmin GPSMAP 64s Software Version 500		2019/06/25 09:37:53		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1822272725	-169.6216426603	-14.1822272725	-169.6216426603		False	False			7.52			2019/06/25 20:37:58+00	garmin GPSMAP 64s Software Version 500		2019/06/25 09:37:58		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1822292004	-169.6216585021	-14.1822292004	-169.6216585021		False	False			7.2			2019/06/25 20:38:03+00	garmin GPSMAP 64s Software Version 500		2019/06/25 09:38:03		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1822314635	-169.621673841	-14.1822314635	-169.621673841		False	False			7.42			2019/06/25 20:38:08+00	garmin GPSMAP 64s Software Version 500		2019/06/25 09:38:08		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1822318826	-169.6216792893	-14.1822318826	-169.6216792893		False	False			7.72			2019/06/25 20:38:13+00	garmin GPSMAP 64s Software Version 500		2019/06/25 09:38:13		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1822397616	-169.6216878388	-14.1822397616	-169.6216878388		False	False			8.44			2019/06/25 20:38:18+00	garmin GPSMAP 64s Software Version 500		2019/06/25 09:38:18		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1822485626	-169.6216984	-14.1822485626	-169.6216984		False	False			8.31			2019/06/25 20:38:23+00	garmin GPSMAP 64s Software Version 500		2019/06/25 09:38:23		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1822545137	-169.6217061114	-14.1822545137	-169.6217061114		False	False			8.98			2019/06/25 20:38:28+00	garmin GPSMAP 64s Software Version 500		2019/06/25 09:38:28		
