type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 22 JUN 2019 13:24	T1	-14.1812626831	-169.6217795368	-14.1812626831	-169.6217795368		False	False			-6.61			2019/06/25 22:35:02+00	garmin GPSMAP 64s Software Version 470		2019/06/25 11:35:02		
TRACK	Current Track: 22 JUN 2019 13:24	T1	-14.1812605876	-169.6217716578	-14.1812605876	-169.6217716578		False	False			-6.58			2019/06/25 22:35:07+00	garmin GPSMAP 64s Software Version 470		2019/06/25 11:35:07		
TRACK	Current Track: 22 JUN 2019 13:24	T1	-14.181263186	-169.6217693109	-14.181263186	-169.6217693109		False	False			-6.54			2019/06/25 22:35:12+00	garmin GPSMAP 64s Software Version 470		2019/06/25 11:35:12		
TRACK	Current Track: 22 JUN 2019 13:24	T1	-14.1812617611	-169.6217786986	-14.1812617611	-169.6217786986		False	False			-6.79			2019/06/25 22:35:17+00	garmin GPSMAP 64s Software Version 470		2019/06/25 11:35:17		
TRACK	Current Track: 22 JUN 2019 13:24	T1	-14.1812652815	-169.6217779443	-14.1812652815	-169.6217779443		False	False			-6.59			2019/06/25 22:35:22+00	garmin GPSMAP 64s Software Version 470		2019/06/25 11:35:22		
TRACK	Current Track: 22 JUN 2019 13:24	T1	-14.1812658682	-169.6217683889	-14.1812658682	-169.6217683889		False	False			-6.24			2019/06/25 22:35:27+00	garmin GPSMAP 64s Software Version 470		2019/06/25 11:35:27		
TRACK	Current Track: 22 JUN 2019 13:24	T1	-14.1812648624	-169.6217677183	-14.1812648624	-169.6217677183		False	False			-6.57			2019/06/25 22:35:32+00	garmin GPSMAP 64s Software Version 470		2019/06/25 11:35:32		
TRACK	Current Track: 22 JUN 2019 13:24	T1	-14.1812647786	-169.6217658743	-14.1812647786	-169.6217658743		False	False			-6.33			2019/06/25 22:35:37+00	garmin GPSMAP 64s Software Version 470		2019/06/25 11:35:37		
TRACK	Current Track: 22 JUN 2019 13:24	T1	-14.1812677123	-169.6217681374	-14.1812677123	-169.6217681374		False	False			-6.69			2019/06/25 22:35:42+00	garmin GPSMAP 64s Software Version 470		2019/06/25 11:35:42		
TRACK	Current Track: 22 JUN 2019 13:24	T1	-14.1812639404	-169.6217689756	-14.1812639404	-169.6217689756		False	False			-8.17			2019/06/25 22:35:47+00	garmin GPSMAP 64s Software Version 470		2019/06/25 11:35:47		
TRACK	Current Track: 22 JUN 2019 13:24	T1	-14.1812610906	-169.6217652038	-14.1812610906	-169.6217652038		False	False			-9.28			2019/06/25 22:35:52+00	garmin GPSMAP 64s Software Version 470		2019/06/25 11:35:52		
TRACK	Current Track: 22 JUN 2019 13:24	T1	-14.1812589951	-169.6217704006	-14.1812589951	-169.6217704006		False	False			-11.17			2019/06/25 22:35:57+00	garmin GPSMAP 64s Software Version 470		2019/06/25 11:35:57		
TRACK	Current Track: 22 JUN 2019 13:24	T1	-14.1812547203	-169.6217691433	-14.1812547203	-169.6217691433		False	False			-12.46			2019/06/25 22:36:02+00	garmin GPSMAP 64s Software Version 470		2019/06/25 11:36:02		
TRACK	Current Track: 22 JUN 2019 13:24	T1	-14.181253463	-169.6217695624	-14.181253463	-169.6217695624		False	False			-13.57			2019/06/25 22:36:07+00	garmin GPSMAP 64s Software Version 470		2019/06/25 11:36:07		
TRACK	Current Track: 22 JUN 2019 13:24	T1	-14.1812564805	-169.6217662096	-14.1812564805	-169.6217662096		False	False			-14.62			2019/06/25 22:36:12+00	garmin GPSMAP 64s Software Version 470		2019/06/25 11:36:12		
TRACK	Current Track: 22 JUN 2019 13:24	T1	-14.1812714003	-169.6217689756	-14.1812714003	-169.6217689756		False	False			-15.72			2019/06/25 22:36:17+00	garmin GPSMAP 64s Software Version 470		2019/06/25 11:36:17		
