type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848919634	-169.6182323154	-14.1848919634	-169.6182323154		False	False			29.59			2019/06/25 22:30:03+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:30:03		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848904546	-169.618229717	-14.1848904546	-169.618229717		False	False			28.32			2019/06/25 22:30:08+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:30:08		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848960705	-169.6182224248	-14.1848960705	-169.6182224248		False	False			28.41			2019/06/25 22:30:13+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:30:13		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848974116	-169.6182248555	-14.1848974116	-169.6182248555		False	False			27.91			2019/06/25 22:30:18+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:30:18		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848989204	-169.618226029	-14.1848989204	-169.618226029		False	False			27.94			2019/06/25 22:30:23+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:30:23		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.18490001	-169.6182265319	-14.18490001	-169.6182265319		False	False			27.19			2019/06/25 22:30:28+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:30:28		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.18490001	-169.6182272024	-14.18490001	-169.6182272024		False	False			29.03			2019/06/25 22:30:33+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:30:33		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848993395	-169.6182271186	-14.1848993395	-169.6182271186		False	False			28.89			2019/06/25 22:30:38+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:30:38		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848974954	-169.6182266157	-14.1848974954	-169.6182266157		False	False			26.94			2019/06/25 22:30:43+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:30:43		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848969925	-169.6182241011	-14.1848969925	-169.6182241011		False	False			26.31			2019/06/25 22:30:48+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:30:48		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848924663	-169.618223263	-14.1848924663	-169.618223263		False	False			26.84			2019/06/25 22:30:53+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:30:53		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848925501	-169.6182210837	-14.1848925501	-169.6182210837		False	False			26.85			2019/06/25 22:30:58+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:30:58		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848926339	-169.6182215028	-14.1848926339	-169.6182215028		False	False			27.67			2019/06/25 22:31:03+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:31:03		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848933045	-169.6182208322	-14.1848933045	-169.6182208322		False	False			27.79			2019/06/25 22:31:08+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:31:08		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848950647	-169.6182220895	-14.1848950647	-169.6182220895		False	False			26.36			2019/06/25 22:31:13+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:31:13		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848964058	-169.6182225924	-14.1848964058	-169.6182225924		False	False			26.27			2019/06/25 22:31:18+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:31:18		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849016026	-169.61822276	-14.1849016026	-169.61822276		False	False			27.24			2019/06/25 22:31:23+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:31:23		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849035304	-169.6182229277	-14.1849035304	-169.6182229277		False	False			27.43			2019/06/25 22:31:28+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:31:28		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.184902776	-169.6182229277	-14.184902776	-169.6182229277		False	False			27.93			2019/06/25 22:31:33+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:31:33		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849020217	-169.6182215028	-14.1849020217	-169.6182215028		False	False			28.08			2019/06/25 22:31:38+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:31:38		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849042848	-169.6182202455	-14.1849042848	-169.6182202455		False	False			27.86			2019/06/25 22:31:43+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:31:43		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849058773	-169.618219994	-14.1849058773	-169.618219994		False	False			26.63			2019/06/25 22:31:48+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:31:48		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849059612	-169.6182211675	-14.1849059612	-169.6182211675		False	False			28.29			2019/06/25 22:31:53+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:31:53		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849010158	-169.6182183176	-14.1849010158	-169.6182183176		False	False			28.07			2019/06/25 22:31:58+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:31:58		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849056259	-169.6182162222	-14.1849056259	-169.6182162222		False	False			27.05			2019/06/25 22:32:03+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:32:03		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849065479	-169.618219072	-14.1849065479	-169.618219072		False	False			28.19			2019/06/25 22:32:08+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:32:08		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849073023	-169.6182174794	-14.1849073023	-169.6182174794		False	False			28.57			2019/06/25 22:32:13+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:32:13		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849081405	-169.6182159707	-14.1849081405	-169.6182159707		False	False			28.46			2019/06/25 22:32:18+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:32:18		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.184909733	-169.6182187367	-14.184909733	-169.6182187367		False	False			27.98			2019/06/25 22:32:23+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:32:23		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849079728	-169.6182194911	-14.1849079728	-169.6182194911		False	False			27.74			2019/06/25 22:32:28+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:32:28		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849062964	-169.6182198264	-14.1849062964	-169.6182198264		False	False			27.47			2019/06/25 22:32:33+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:32:33		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849053744	-169.6182189044	-14.1849053744	-169.6182189044		False	False			28.05			2019/06/25 22:32:38+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:32:38		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849031113	-169.6182194911	-14.1849031113	-169.6182194911		False	False			26.6			2019/06/25 22:32:43+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:32:43		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849003453	-169.6182200778	-14.1849003453	-169.6182200778		False	False			27.13			2019/06/25 22:32:48+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:32:48		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849005967	-169.6182197426	-14.1849005967	-169.6182197426		False	False			26.36			2019/06/25 22:32:53+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:32:53		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849016026	-169.6182192396	-14.1849016026	-169.6182192396		False	False			27.93			2019/06/25 22:32:58+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:32:58		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849014349	-169.6182195749	-14.1849014349	-169.6182195749		False	False			27.51			2019/06/25 22:33:03+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:33:03		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849032789	-169.6182206646	-14.1849032789	-169.6182206646		False	False			27.23			2019/06/25 22:33:08+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:33:08		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849067993	-169.6182230115	-14.1849067993	-169.6182230115		False	False			26.77			2019/06/25 22:33:13+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:33:13		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849037819	-169.6182126179	-14.1849037819	-169.6182126179		False	False			26.84			2019/06/25 22:33:18+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:33:18		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849020217	-169.6182077564	-14.1849020217	-169.6182077564		False	False			27.3			2019/06/25 22:33:23+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:33:23		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849012673	-169.6182106901	-14.1849012673	-169.6182106901		False	False			26.91			2019/06/25 22:33:28+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:33:28		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849006806	-169.6182129532	-14.1849006806	-169.6182129532		False	False			27.31			2019/06/25 22:33:33+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:33:33		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849005129	-169.6182118636	-14.1849005129	-169.6182118636		False	False			27.16			2019/06/25 22:33:38+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:33:38		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.184898166	-169.6182175633	-14.184898166	-169.6182175633		False	False			26.87			2019/06/25 22:33:43+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:33:43		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.184897244	-169.618220916	-14.184897244	-169.618220916		False	False			25.95			2019/06/25 22:33:48+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:33:48		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848948132	-169.6182187367	-14.1848948132	-169.6182187367		False	False			26.57			2019/06/25 22:33:53+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:33:53		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848975793	-169.6182162222	-14.1848975793	-169.6182162222		False	False			27.55			2019/06/25 22:33:58+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:33:58		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.184899088	-169.6182179824	-14.184899088	-169.6182179824		False	False			26.27			2019/06/25 22:34:03+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:34:03		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848988365	-169.6182159707	-14.1848988365	-169.6182159707		False	False			26.32			2019/06/25 22:34:08+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:34:08		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848917957	-169.6182136238	-14.1848917957	-169.6182136238		False	False			26.56			2019/06/25 22:34:13+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:34:13		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848882753	-169.6182145458	-14.1848882753	-169.6182145458		False	False			26.6			2019/06/25 22:34:18+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:34:18		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848857608	-169.6182100195	-14.1848857608	-169.6182100195		False	False			27.02			2019/06/25 22:34:23+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:34:23		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.184885174	-169.6182055771	-14.184885174	-169.6182055771		False	False			26.63			2019/06/25 22:34:28+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:34:28		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848911252	-169.6182112768	-14.1848911252	-169.6182112768		False	False			26.65			2019/06/25 22:34:33+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:34:33		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848937236	-169.6182182338	-14.1848937236	-169.6182182338		False	False			26.65			2019/06/25 22:34:38+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:34:38		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848864313	-169.6182174794	-14.1848864313	-169.6182174794		False	False			27.08			2019/06/25 22:34:43+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:34:43		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848897841	-169.6182207484	-14.1848897841	-169.6182207484		False	False			26.75			2019/06/25 22:34:48+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:34:48		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848916281	-169.6182246041	-14.1848916281	-169.6182246041		False	False			27.55			2019/06/25 22:34:53+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:34:53		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848880239	-169.6182255261	-14.1848880239	-169.6182255261		False	False			27.52			2019/06/25 22:34:58+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:34:58		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848900355	-169.618219994	-14.1848900355	-169.618219994		False	False			28.16			2019/06/25 22:35:03+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:35:03		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849099845	-169.618245475	-14.1849099845	-169.618245475		False	False			25.77			2019/06/25 22:35:08+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:35:08		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849290114	-169.6182681061	-14.1849290114	-169.6182681061		False	False			25.8			2019/06/25 22:35:13+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:35:13		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849400755	-169.6182874683	-14.1849400755	-169.6182874683		False	False			26.62			2019/06/25 22:35:18+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:35:18		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849445179	-169.6182906535	-14.1849445179	-169.6182906535		False	False			25.86			2019/06/25 22:35:23+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:35:23		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849472001	-169.6182974428	-14.1849472001	-169.6182974428		False	False			26.12			2019/06/25 22:35:28+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:35:28		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.184951894	-169.6183018014	-14.184951894	-169.6183018014		False	False			26.53			2019/06/25 22:35:33+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:35:33		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1849709209	-169.6183248516	-14.1849709209	-169.6183248516		False	False			26.23			2019/06/25 22:35:38+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:35:38		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.184964383	-169.6183376759	-14.184964383	-169.6183376759		False	False			26.86			2019/06/25 22:35:43+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:35:43		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.184945859	-169.6183646657	-14.184945859	-169.6183646657		False	False			26.32			2019/06/25 22:35:48+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:35:48		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.184920378	-169.618387213	-14.184920378	-169.618387213		False	False			26.83			2019/06/25 22:35:53+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:35:53		
TRACK	Current Track: 22 JUN 2019 14:02	T1	-14.1848953161	-169.6183937509	-14.1848953161	-169.6183937509		False	False			25.84			2019/06/25 22:35:58+00	garmin GPSMAP 64s Software Version 500		2019/06/25 11:35:58		
