type	ident	Latitude	Longitude	y_proj	x_proj	comment	display	symbol	dist	proximity	color	altitude	depth	temp	time	wpt_class	sub_class	attrib	link	state	country	city	address	zip	facility	crossroad	ete	dtype	model	filename	ltime	magvar	geoidheight	desc	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	dir
WAYPOINT	047	-14.184733	-169.618941	-14.184733	-169.618941			Flag, Blue				23.685061			2019/06/25 22:38:28+00														garmin GPSMAP 64s Software Version 500		2019/06/25 11:38:28											
WAYPOINT	048	-14.185107	-169.619813	-14.185107	-169.619813			Flag, Blue				21.644724			2019/06/25 22:43:05+00														garmin GPSMAP 64s Software Version 500		2019/06/25 11:43:05											
WAYPOINT	049	-14.184456	-169.61992	-14.184456	-169.61992			Flag, Blue				21.305332			2019/06/25 22:44:37+00														garmin GPSMAP 64s Software Version 500		2019/06/25 11:44:37											
WAYPOINT	050	-14.18343	-169.620885	-14.18343	-169.620885			Flag, Blue				23.686436			2019/06/25 22:48:28+00														garmin GPSMAP 64s Software Version 500		2019/06/25 11:48:28											
WAYPOINT	051	-14.182722	-169.621649	-14.182722	-169.621649			Flag, Blue				20.838717			2019/06/25 22:51:07+00														garmin GPSMAP 64s Software Version 500		2019/06/25 11:51:07											
WAYPOINT	052	-14.18215	-169.621904	-14.18215	-169.621904			Flag, Blue				21.361557			2019/06/25 22:52:55+00														garmin GPSMAP 64s Software Version 500		2019/06/25 11:52:55											
WAYPOINT	053	-14.181719	-169.622504	-14.181719	-169.622504			Flag, Blue				20.395536			2019/06/25 22:56:17+00														garmin GPSMAP 64s Software Version 500		2019/06/25 11:56:17											
WAYPOINT	054	-14.181077	-169.622406	-14.181077	-169.622406			Flag, Blue				20.472809			2019/06/25 22:58:23+00														garmin GPSMAP 64s Software Version 500		2019/06/25 11:58:23											
WAYPOINT	055	-14.180684	-169.622389	-14.180684	-169.622389			Flag, Blue				19.418936			2019/06/25 23:00:12+00														garmin GPSMAP 64s Software Version 500		2019/06/25 12:00:12											
WAYPOINT	056	-14.180274	-169.622795	-14.180274	-169.622795			Flag, Blue				16.071945			2019/06/25 23:02:55+00														garmin GPSMAP 64s Software Version 500		2019/06/25 12:02:55											
WAYPOINT	057	-14.180262	-169.623114	-14.180262	-169.623114			Flag, Blue				19.317211			2019/06/25 23:03:59+00														garmin GPSMAP 64s Software Version 500		2019/06/25 12:03:59											
WAYPOINT	058	-14.180209	-169.623497	-14.180209	-169.623497			Flag, Blue				19.346409			2019/06/25 23:05:22+00														garmin GPSMAP 64s Software Version 500		2019/06/25 12:05:22											
WAYPOINT	059	-14.179369	-169.62351	-14.179369	-169.62351			Flag, Blue				19.464882			2019/06/25 23:08:19+00														garmin GPSMAP 64s Software Version 500		2019/06/25 12:08:19											
WAYPOINT	060	-14.179057	-169.624154	-14.179057	-169.624154			Flag, Blue				14.586865			2019/06/25 23:11:13+00														garmin GPSMAP 64s Software Version 500		2019/06/25 12:11:13											
WAYPOINT	061	-14.178712	-169.624207	-14.178712	-169.624207			Flag, Blue				16.961502			2019/06/25 23:12:41+00														garmin GPSMAP 64s Software Version 500		2019/06/25 12:12:41											
WAYPOINT	062	-14.178218	-169.624513	-14.178218	-169.624513			Flag, Blue				17.662027			2019/06/25 23:15:14+00														garmin GPSMAP 64s Software Version 500		2019/06/25 12:15:14											
WAYPOINT	063	-14.178016	-169.624847	-14.178016	-169.624847			Flag, Blue				18.163355			2019/06/25 23:16:37+00														garmin GPSMAP 64s Software Version 500		2019/06/25 12:16:37											
WAYPOINT	064	-14.177739	-169.624948	-14.177739	-169.624948			Flag, Blue				16.589718			2019/06/25 23:17:54+00														garmin GPSMAP 64s Software Version 500		2019/06/25 12:17:54											
WAYPOINT	065	-14.177726	-169.624936	-14.177726	-169.624936			Flag, Blue				16.62266			2019/06/25 23:17:56+00														garmin GPSMAP 64s Software Version 500		2019/06/25 12:17:56											
