type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 03 JUL 2019 10:05	T1	-14.1839571297	-169.6667709108	-14.1839571297	-169.6667709108		True	True			-93.7			2019/07/03 21:05:13+00	garmin GPSMAP 64s Software Version 380		2019/07/03 10:05:13		
TRACK	Current Track: 03 JUL 2019 10:05	T1	-14.1802509874	-169.6569458116	-14.1802509874	-169.6569458116		False	False			-91.55			2019/07/03 21:05:18+00	garmin GPSMAP 64s Software Version 380		2019/07/03 10:05:18		
TRACK	Current Track: 03 JUL 2019 10:05	T1	-14.1803766321	-169.6569069196	-14.1803766321	-169.6569069196		False	False			-89.15			2019/07/03 21:05:23+00	garmin GPSMAP 64s Software Version 380		2019/07/03 10:05:23		
TRACK	Current Track: 03 JUL 2019 10:05	T1	-14.1803665739	-169.6569078416	-14.1803665739	-169.6569078416		False	False			-87.01			2019/07/03 21:05:28+00	garmin GPSMAP 64s Software Version 380		2019/07/03 10:05:28		
TRACK	Current Track: 03 JUL 2019 10:05	T1	-14.180305386	-169.6569168102	-14.180305386	-169.6569168102		False	False			-85.32			2019/07/03 21:05:33+00	garmin GPSMAP 64s Software Version 380		2019/07/03 10:05:33		
TRACK	Current Track: 03 JUL 2019 10:05	T1	-14.180279905	-169.6569185704	-14.180279905	-169.6569185704		False	False			-83.63			2019/07/03 21:05:38+00	garmin GPSMAP 64s Software Version 380		2019/07/03 10:05:38		
TRACK	Current Track: 03 JUL 2019 10:05	T1	-14.1802555975	-169.6569190733	-14.1802555975	-169.6569190733		False	False			-81.59			2019/07/03 21:05:43+00	garmin GPSMAP 64s Software Version 380		2019/07/03 10:05:43		
TRACK	Current Track: 03 JUL 2019 10:05	T1	-14.1802363191	-169.6569207497	-14.1802363191	-169.6569207497		False	False			-79.81			2019/07/03 21:05:48+00	garmin GPSMAP 64s Software Version 380		2019/07/03 10:05:48		
TRACK	Current Track: 03 JUL 2019 10:05	T1	-14.1802362353	-169.656922007	-14.1802362353	-169.656922007		False	False			-78.14			2019/07/03 21:05:53+00	garmin GPSMAP 64s Software Version 380		2019/07/03 10:05:53		
TRACK	Current Track: 03 JUL 2019 10:05	T1	-14.1802609619	-169.6569307242	-14.1802609619	-169.6569307242		False	False			-77.01			2019/07/03 21:05:58+00	garmin GPSMAP 64s Software Version 380		2019/07/03 10:05:58		
TRACK	Current Track: 03 JUL 2019 10:05	T1	-14.1802721098	-169.6569374297	-14.1802721098	-169.6569374297		False	False			-75.54			2019/07/03 21:06:03+00	garmin GPSMAP 64s Software Version 380		2019/07/03 10:06:03		
TRACK	Current Track: 03 JUL 2019 10:05	T1	-14.1802695952	-169.6569396928	-14.1802695952	-169.6569396928		False	False			-73.89			2019/07/03 21:06:08+00	garmin GPSMAP 64s Software Version 380		2019/07/03 10:06:08		
TRACK	Current Track: 03 JUL 2019 10:05	T1	-14.180267835	-169.6569374297	-14.180267835	-169.6569374297		False	False			-72.88			2019/07/03 21:06:13+00	garmin GPSMAP 64s Software Version 380		2019/07/03 10:06:13		
TRACK	Current Track: 03 JUL 2019 10:05	T1	-14.1802704334	-169.6569355018	-14.1802704334	-169.6569355018		False	False			-71.6			2019/07/03 21:06:18+00	garmin GPSMAP 64s Software Version 380		2019/07/03 10:06:18		
TRACK	Current Track: 03 JUL 2019 10:05	T1	-14.1802777257	-169.6569329873	-14.1802777257	-169.6569329873		False	False			-70.19			2019/07/03 21:06:23+00	garmin GPSMAP 64s Software Version 380		2019/07/03 10:06:23		
TRACK	Current Track: 03 JUL 2019 10:05	T1	-14.1802804079	-169.6569321491	-14.1802804079	-169.6569321491		False	False			-69.41			2019/07/03 21:06:28+00	garmin GPSMAP 64s Software Version 380		2019/07/03 10:06:28		
TRACK	Current Track: 03 JUL 2019 10:05	T1	-14.1802828386	-169.6569324844	-14.1802828386	-169.6569324844		False	False			-68.91			2019/07/03 21:06:33+00	garmin GPSMAP 64s Software Version 380		2019/07/03 10:06:33		
TRACK	Current Track: 03 JUL 2019 10:05	T1	-14.180278983	-169.6569336578	-14.180278983	-169.6569336578		False	False			-67.61			2019/07/03 21:06:38+00	garmin GPSMAP 64s Software Version 380		2019/07/03 10:06:38		
TRACK	Current Track: 03 JUL 2019 10:05	T1	-14.1802785639	-169.6569361724	-14.1802785639	-169.6569361724		False	False			-66.87			2019/07/03 21:06:43+00	garmin GPSMAP 64s Software Version 380		2019/07/03 10:06:43		
