type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 26 JUN 2019 07:56	T1	-14.1813020781	-169.6584273968	-14.1813020781	-169.6584273968		False	False			4.23			2019/07/06 03:30:03+00	garmin GPSMAP 64s Software Version 500		2019/07/05 16:30:03		
TRACK	Current Track: 26 JUN 2019 07:56	T1	-14.1813114658	-169.6584084537	-14.1813114658	-169.6584084537		False	False			5.53			2019/07/06 03:30:08+00	garmin GPSMAP 64s Software Version 500		2019/07/05 16:30:08		
TRACK	Current Track: 26 JUN 2019 07:56	T1	-14.1813186742	-169.6583954617	-14.1813186742	-169.6583954617		False	False			5.43			2019/07/06 03:30:13+00	garmin GPSMAP 64s Software Version 500		2019/07/05 16:30:13		
TRACK	Current Track: 26 JUN 2019 07:56	T1	-14.1813375335	-169.6583917737	-14.1813375335	-169.6583917737		False	False			5.73			2019/07/06 03:30:18+00	garmin GPSMAP 64s Software Version 500		2019/07/05 16:30:18		
TRACK	Current Track: 26 JUN 2019 07:56	T1	-14.1813607514	-169.6583807096	-14.1813607514	-169.6583807096		False	False			5.66			2019/07/06 03:30:23+00	garmin GPSMAP 64s Software Version 500		2019/07/05 16:30:23		
TRACK	Current Track: 26 JUN 2019 07:56	T1	-14.1813754197	-169.658381464	-14.1813754197	-169.658381464		False	False			6.09			2019/07/06 03:30:28+00	garmin GPSMAP 64s Software Version 500		2019/07/05 16:30:28		
TRACK	Current Track: 26 JUN 2019 07:56	T1	-14.1813906748	-169.658390265	-14.1813906748	-169.658390265		False	False			6.12			2019/07/06 03:30:33+00	garmin GPSMAP 64s Software Version 500		2019/07/05 16:30:33		
TRACK	Current Track: 26 JUN 2019 07:56	T1	-14.1814110428	-169.658406442	-14.1814110428	-169.658406442		False	False			5.69			2019/07/06 03:30:38+00	garmin GPSMAP 64s Software Version 500		2019/07/05 16:30:38		
TRACK	Current Track: 26 JUN 2019 07:56	T1	-14.1814204305	-169.6584242955	-14.1814204305	-169.6584242955		False	False			5.78			2019/07/06 03:30:43+00	garmin GPSMAP 64s Software Version 500		2019/07/05 16:30:43		
TRACK	Current Track: 26 JUN 2019 07:56	T1	-14.1814278066	-169.6584384609	-14.1814278066	-169.6584384609		False	False			5.24			2019/07/06 03:30:48+00	garmin GPSMAP 64s Software Version 500		2019/07/05 16:30:48		
TRACK	Current Track: 26 JUN 2019 07:56	T1	-14.1814361885	-169.6584574878	-14.1814361885	-169.6584574878		False	False			5.4			2019/07/06 03:30:53+00	garmin GPSMAP 64s Software Version 500		2019/07/05 16:30:53		
TRACK	Current Track: 26 JUN 2019 07:56	T1	-14.1814446542	-169.6584711503	-14.1814446542	-169.6584711503		False	False			5.63			2019/07/06 03:30:58+00	garmin GPSMAP 64s Software Version 500		2019/07/05 16:30:58		
TRACK	Current Track: 26 JUN 2019 07:56	T1	-14.1814544611	-169.6584708989	-14.1814544611	-169.6584708989		False	False			5.05			2019/07/06 03:31:03+00	garmin GPSMAP 64s Software Version 500		2019/07/05 16:31:03		
