type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 06 JUL 2019 13:23	T5726	-14.180836631	-169.6576439403	-14.180836631	-169.6576439403		False	False			13.68			2019/07/07 00:34:33+00	garmin GPSMAP 64s Software Version 380		2019/07/06 13:34:33		
TRACK	Current Track: 06 JUL 2019 13:23	T5726	-14.1808424145	-169.6576407552	-14.1808424145	-169.6576407552		False	False			13.63			2019/07/07 00:34:38+00	garmin GPSMAP 64s Software Version 380		2019/07/06 13:34:38		
TRACK	Current Track: 06 JUL 2019 13:23	T5726	-14.1808493715	-169.6576336306	-14.1808493715	-169.6576336306		False	False			13.08			2019/07/07 00:34:43+00	garmin GPSMAP 64s Software Version 380		2019/07/06 13:34:43		
TRACK	Current Track: 06 JUL 2019 13:23	T5726	-14.1808652971	-169.6576224826	-14.1808652971	-169.6576224826		False	False			13.58			2019/07/07 00:34:48+00	garmin GPSMAP 64s Software Version 380		2019/07/06 13:34:48		
TRACK	Current Track: 06 JUL 2019 13:23	T5726	-14.1808629502	-169.6576275956	-14.1808629502	-169.6576275956		False	False			13.79			2019/07/07 00:34:53+00	garmin GPSMAP 64s Software Version 380		2019/07/06 13:34:53		
TRACK	Current Track: 06 JUL 2019 13:23	T5726	-14.1808524728	-169.6576425992	-14.1808524728	-169.6576425992		False	False			13.57			2019/07/07 00:34:58+00	garmin GPSMAP 64s Software Version 380		2019/07/06 13:34:58		
TRACK	Current Track: 06 JUL 2019 13:23	T5726	-14.1808400676	-169.6576473769	-14.1808400676	-169.6576473769		False	False			13.73			2019/07/07 00:35:03+00	garmin GPSMAP 64s Software Version 380		2019/07/06 13:35:03		
TRACK	Current Track: 06 JUL 2019 13:23	T5726	-14.1808411572	-169.6576306969	-14.1808411572	-169.6576306969		False	False			13.16			2019/07/07 00:35:08+00	garmin GPSMAP 64s Software Version 380		2019/07/06 13:35:08		
TRACK	Current Track: 06 JUL 2019 13:23	T5726	-14.1808580887	-169.6576166153	-14.1808580887	-169.6576166153		False	False			13.13			2019/07/07 00:35:13+00	garmin GPSMAP 64s Software Version 380		2019/07/06 13:35:13		
TRACK	Current Track: 06 JUL 2019 13:23	T5726	-14.1808796301	-169.6576063056	-14.1808796301	-169.6576063056		False	False			13.52			2019/07/07 00:35:18+00	garmin GPSMAP 64s Software Version 380		2019/07/06 13:35:18		
