type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 10 JUL 2019 10:28	T6384	-14.1807939671	-169.6221031621	-14.1807939671	-169.6221031621		False	False			-49.46			2019/07/10 21:35:56+00	garmin GPSMAP 64s Software Version 380		2019/07/10 10:35:56		
TRACK	Current Track: 10 JUL 2019 10:28	T6384	-14.1808031034	-169.6221112087	-14.1808031034	-169.6221112087		False	False			-49.69			2019/07/10 21:36:01+00	garmin GPSMAP 64s Software Version 380		2019/07/10 10:36:01		
TRACK	Current Track: 10 JUL 2019 10:28	T6384	-14.1808127426	-169.6221223567	-14.1808127426	-169.6221223567		False	False			-49.6			2019/07/10 21:36:06+00	garmin GPSMAP 64s Software Version 380		2019/07/10 10:36:06		
TRACK	Current Track: 10 JUL 2019 10:28	T6384	-14.1808188614	-169.6221226919	-14.1808188614	-169.6221226919		False	False			-49.28			2019/07/10 21:36:11+00	garmin GPSMAP 64s Software Version 380		2019/07/10 10:36:11		
TRACK	Current Track: 10 JUL 2019 10:28	T6384	-14.1808346193	-169.6221262962	-14.1808346193	-169.6221262962		False	False			-49.57			2019/07/10 21:36:16+00	garmin GPSMAP 64s Software Version 380		2019/07/10 10:36:16		
TRACK	Current Track: 10 JUL 2019 10:28	T6384	-14.180850042	-169.6221243683	-14.180850042	-169.6221243683		False	False			-49.98			2019/07/10 21:36:21+00	garmin GPSMAP 64s Software Version 380		2019/07/10 10:36:21		
TRACK	Current Track: 10 JUL 2019 10:28	T6384	-14.1808456834	-169.6221238654	-14.1808456834	-169.6221238654		False	False			-49.1			2019/07/10 21:36:26+00	garmin GPSMAP 64s Software Version 380		2019/07/10 10:36:26		
TRACK	Current Track: 10 JUL 2019 10:28	T6384	-14.1808290873	-169.6221153159	-14.1808290873	-169.6221153159		False	False			-48.9			2019/07/10 21:36:31+00	garmin GPSMAP 64s Software Version 380		2019/07/10 10:36:31		
TRACK	Current Track: 10 JUL 2019 10:28	T6384	-14.1808275785	-169.6221193392	-14.1808275785	-169.6221193392		False	False			-49.59			2019/07/10 21:36:36+00	garmin GPSMAP 64s Software Version 380		2019/07/10 10:36:36		
TRACK	Current Track: 10 JUL 2019 10:28	T6384	-14.1808353737	-169.6221280564	-14.1808353737	-169.6221280564		False	False			-49.36			2019/07/10 21:36:41+00	garmin GPSMAP 64s Software Version 380		2019/07/10 10:36:41		
TRACK	Current Track: 10 JUL 2019 10:28	T6384	-14.1808371339	-169.6221269667	-14.1808371339	-169.6221269667		False	False			-49.16			2019/07/10 21:36:46+00	garmin GPSMAP 64s Software Version 380		2019/07/10 10:36:46		
TRACK	Current Track: 10 JUL 2019 10:28	T6384	-14.1808507126	-169.6221411321	-14.1808507126	-169.6221411321		False	False			-48.72			2019/07/10 21:36:51+00	garmin GPSMAP 64s Software Version 380		2019/07/10 10:36:51		
TRACK	Current Track: 10 JUL 2019 10:28	T6384	-14.1808600165	-169.622158315	-14.1808600165	-169.622158315		False	False			-48.79			2019/07/10 21:36:56+00	garmin GPSMAP 64s Software Version 380		2019/07/10 10:36:56		
TRACK	Current Track: 10 JUL 2019 10:28	T6384	-14.1808609385	-169.6221825387	-14.1808609385	-169.6221825387		False	False			-48.52			2019/07/10 21:37:01+00	garmin GPSMAP 64s Software Version 380		2019/07/10 10:37:01		
TRACK	Current Track: 10 JUL 2019 10:28	T6384	-14.1808650456	-169.6222019009	-14.1808650456	-169.6222019009		False	False			-48.33			2019/07/10 21:37:06+00	garmin GPSMAP 64s Software Version 380		2019/07/10 10:37:06		
TRACK	Current Track: 10 JUL 2019 10:28	T6384	-14.1808757745	-169.6222146414	-14.1808757745	-169.6222146414		False	False			-48.12			2019/07/10 21:37:11+00	garmin GPSMAP 64s Software Version 380		2019/07/10 10:37:11		
TRACK	Current Track: 10 JUL 2019 10:28	T6384	-14.1808786243	-169.6222172398	-14.1808786243	-169.6222172398		False	False			-48.14			2019/07/10 21:37:16+00	garmin GPSMAP 64s Software Version 380		2019/07/10 10:37:16		
TRACK	Current Track: 10 JUL 2019 10:28	T6384	-14.1808839887	-169.6222168207	-14.1808839887	-169.6222168207		False	False			-48.15			2019/07/10 21:37:21+00	garmin GPSMAP 64s Software Version 380		2019/07/10 10:37:21		
TRACK	Current Track: 10 JUL 2019 10:28	T6384	-14.1808845755	-169.6222086065	-14.1808845755	-169.6222086065		False	False			-47.76			2019/07/10 21:37:26+00	garmin GPSMAP 64s Software Version 380		2019/07/10 10:37:26		
TRACK	Current Track: 10 JUL 2019 10:28	T6384	-14.180885246	-169.6221985482	-14.180885246	-169.6221985482		False	False			-47.77			2019/07/10 21:37:31+00	garmin GPSMAP 64s Software Version 380		2019/07/10 10:37:31		
TRACK	Current Track: 10 JUL 2019 10:28	T6384	-14.1808908619	-169.6222018171	-14.1808908619	-169.6222018171		False	False			-47.86			2019/07/10 21:37:36+00	garmin GPSMAP 64s Software Version 380		2019/07/10 10:37:36		
TRACK	Current Track: 10 JUL 2019 10:28	T6384	-14.1808942147	-169.6222191676	-14.1808942147	-169.6222191676		False	False			-47.48			2019/07/10 21:37:41+00	garmin GPSMAP 64s Software Version 380		2019/07/10 10:37:41		
