type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1804199666	-169.6222547069	-14.1804199666	-169.6222547069		False	False			1.4			2019/07/10 21:45:03+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:45:03		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1804180387	-169.6222547069	-14.1804180387	-169.6222547069		False	False			1.69			2019/07/10 21:45:08+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:45:08		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1804203019	-169.622255126	-14.1804203019	-169.622255126		False	False			-0.55			2019/07/10 21:45:13+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:45:13		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1804187931	-169.622253282	-14.1804187931	-169.622253282		False	False			1.93			2019/07/10 21:45:18+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:45:18		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1804192122	-169.6222544555	-14.1804192122	-169.6222544555		False	False			-0.36			2019/07/10 21:45:23+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:45:23		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1804215591	-169.6222630888	-14.1804215591	-169.6222630888		False	False			2.17			2019/07/10 21:45:28+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:45:28		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1804273427	-169.6222655196	-14.1804273427	-169.6222655196		False	False			2.48			2019/07/10 21:45:33+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:45:33		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1804327909	-169.622262083	-14.1804327909	-169.622262083		False	False			3.56			2019/07/10 21:45:38+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:45:38		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1804415081	-169.622255126	-14.1804415081	-169.622255126		False	False			3.78			2019/07/10 21:45:43+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:45:43		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.180452656	-169.622241715	-14.180452656	-169.622241715		False	False			4.08			2019/07/10 21:45:48+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:45:48		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1804633848	-169.6222253703	-14.1804633848	-169.6222253703		False	False			4.39			2019/07/10 21:45:53+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:45:53		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1804695874	-169.622219	-14.1804695874	-169.622219		False	False			5.81			2019/07/10 21:45:58+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:45:58		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1804796457	-169.6222039964	-14.1804796457	-169.6222039964		False	False			5.2			2019/07/10 21:46:03+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:46:03		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1804944817	-169.6221970394	-14.1804944817	-169.6221970394		False	False			5.03			2019/07/10 21:46:08+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:46:08		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1805060487	-169.6221863944	-14.1805060487	-169.6221863944		False	False			5.58			2019/07/10 21:46:13+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:46:13		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1805154365	-169.6221783478	-14.1805154365	-169.6221783478		False	False			6.26			2019/07/10 21:46:18+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:46:18		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1805295181	-169.622166194	-14.1805295181	-169.622166194		False	False			4.7			2019/07/10 21:46:23+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:46:23		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1805410851	-169.6221589018	-14.1805410851	-169.6221589018		False	False			4.66			2019/07/10 21:46:28+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:46:28		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1805538256	-169.6221480053	-14.1805538256	-169.6221480053		False	False			-16.64			2019/07/10 21:46:33+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:46:33		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1805617046	-169.6221380308	-14.1805617046	-169.6221380308		False	False			4.15			2019/07/10 21:46:38+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:46:38		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.18057587	-169.6221269667	-14.18057587	-169.6221269667		False	False			4.16			2019/07/10 21:46:43+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:46:43		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1805850901	-169.6221220214	-14.1805850901	-169.6221220214		False	False			4.46			2019/07/10 21:46:48+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:46:48		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1805947293	-169.622114813	-14.1805947293	-169.622114813		False	False			4.98			2019/07/10 21:46:53+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:46:53		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1806037817	-169.6221031621	-14.1806037817	-169.6221031621		False	False			4.85			2019/07/10 21:46:58+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:46:58		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1806158517	-169.622090254	-14.1806158517	-169.622090254		False	False			4.77			2019/07/10 21:47:03+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:47:03		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1806279216	-169.6220804472	-14.1806279216	-169.6220804472		False	False			5.05			2019/07/10 21:47:08+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:47:08		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.180638399	-169.6220708918	-14.180638399	-169.6220708918		False	False			4.91			2019/07/10 21:47:13+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:47:13		
TRACK	Current Track: 28 JUN 2019 17:37	T1	-14.1806510556	-169.6220561396	-14.1806510556	-169.6220561396		False	False			4.58			2019/07/10 21:47:18+00	garmin GPSMAP 64s Software Version 500		2019/07/10 10:47:18		
