type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.178260453	-169.6546640899	-14.178260453	-169.6546640899		False	False			-14.77			2019/07/11 23:10:31+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:10:31		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1782589443	-169.6546547022	-14.1782589443	-169.6546547022		False	False			-15.77			2019/07/11 23:10:36+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:10:36		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1782586928	-169.6546533611	-14.1782586928	-169.6546533611		False	False			-15.39			2019/07/11 23:10:41+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:10:41		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1782594472	-169.6546532772	-14.1782594472	-169.6546532772		False	False			-15.95			2019/07/11 23:10:46+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:10:46		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1782575194	-169.6546552889	-14.1782575194	-169.6546552889		False	False			-16.36			2019/07/11 23:10:51+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:10:51		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1782539152	-169.6546521038	-14.1782539152	-169.6546521038		False	False			-16.27			2019/07/11 23:10:56+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:10:56		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1782539152	-169.6546453983	-14.1782539152	-169.6546453983		False	False			-16.78			2019/07/11 23:11:01+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:11:01		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1782555915	-169.6546455659	-14.1782555915	-169.6546455659		False	False			-16.55			2019/07/11 23:11:06+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:11:06		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1782576032	-169.6546463203	-14.1782576032	-169.6546463203		False	False			-17.41			2019/07/11 23:11:11+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:11:11		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1782703437	-169.654640872	-14.1782703437	-169.654640872		False	False			-17.22			2019/07/11 23:11:16+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:11:16		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1782885324	-169.6546268743	-14.1782885324	-169.6546268743		False	False			-18.06			2019/07/11 23:11:21+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:11:21		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1783063021	-169.6546092723	-14.1783063021	-169.6546092723		False	False			-18.73			2019/07/11 23:11:26+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:11:26		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1783197969	-169.654595023	-14.1783197969	-169.654595023		False	False			-19.01			2019/07/11 23:11:31+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:11:31		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1783287656	-169.6545875631	-14.1783287656	-169.6545875631		False	False			-18.9			2019/07/11 23:11:36+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:11:36		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1783277597	-169.6545828693	-14.1783277597	-169.6545828693		False	False			-19.58			2019/07/11 23:11:41+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:11:41		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1783337109	-169.654577421	-14.1783337109	-169.654577421		False	False			-19.38			2019/07/11 23:11:46+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:11:46		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1783356387	-169.6545796841	-14.1783356387	-169.6545796841		False	False			-19.73			2019/07/11 23:11:51+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:11:51		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1783355549	-169.6545822825	-14.1783355549	-169.6545822825		False	False			-19.37			2019/07/11 23:11:56+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:11:56		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1783300228	-169.6545846295	-14.1783300228	-169.6545846295		False	False			-20.01			2019/07/11 23:12:01+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:12:01		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1783282626	-169.6545809414	-14.1783282626	-169.6545809414		False	False			-20.05			2019/07/11 23:12:06+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:12:06		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1783354711	-169.6545806061	-14.1783354711	-169.6545806061		False	False			-19.99			2019/07/11 23:12:11+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:12:11		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1783473734	-169.6545687877	-14.1783473734	-169.6545687877		False	False			-20.35			2019/07/11 23:12:16+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:12:16		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1783616226	-169.6545544546	-14.1783616226	-169.6545544546		False	False			-20.3			2019/07/11 23:12:21+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:12:21		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1783775482	-169.6545415465	-14.1783775482	-169.6545415465		False	False			-21.32			2019/07/11 23:12:26+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:12:26		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1783969942	-169.6545328293	-14.1783969942	-169.6545328293		False	False			-21.46			2019/07/11 23:12:31+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:12:31		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1784122493	-169.6545231901	-14.1784122493	-169.6545231901		False	False			-21.56			2019/07/11 23:12:36+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:12:36		
TRACK	Current Track: 11 JUL 2019 12:02	T7463	-14.1784271691	-169.6545175742	-14.1784271691	-169.6545175742		False	False			-21.87			2019/07/11 23:12:41+00	garmin GPSMAP 64s Software Version 380		2019/07/11 12:12:41		
