type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 13 JUL 2019 12:02	T3587	-14.1795912478	-169.6230605431	-14.1795912478	-169.6230605431		False	False			15.43			2019/07/13 23:56:00+00	garmin GPSMAP 64s Software Version 380		2019/07/13 12:56:00		
TRACK	Current Track: 13 JUL 2019 12:02	T3587	-14.1795907449	-169.6230561007	-14.1795907449	-169.6230561007		False	False			15.73			2019/07/13 23:56:05+00	garmin GPSMAP 64s Software Version 380		2019/07/13 12:56:05		
TRACK	Current Track: 13 JUL 2019 12:02	T3587	-14.1795915831	-169.6230539214	-14.1795915831	-169.6230539214		False	False			16.2			2019/07/13 23:56:10+00	garmin GPSMAP 64s Software Version 380		2019/07/13 12:56:10		
TRACK	Current Track: 13 JUL 2019 12:02	T3587	-14.1795967799	-169.6230613813	-14.1795967799	-169.6230613813		False	False			15.82			2019/07/13 23:56:15+00	garmin GPSMAP 64s Software Version 380		2019/07/13 12:56:15		
TRACK	Current Track: 13 JUL 2019 12:02	T3587	-14.1795973666	-169.6230558492	-14.1795973666	-169.6230558492		False	False			15.56			2019/07/13 23:56:20+00	garmin GPSMAP 64s Software Version 380		2019/07/13 12:56:20		
TRACK	Current Track: 13 JUL 2019 12:02	T3587	-14.1795964446	-169.6230475511	-14.1795964446	-169.6230475511		False	False			16.2			2019/07/13 23:56:25+00	garmin GPSMAP 64s Software Version 380		2019/07/13 12:56:25		
TRACK	Current Track: 13 JUL 2019 12:02	T3587	-14.1796052456	-169.6230541728	-14.1796052456	-169.6230541728		False	False			15.88			2019/07/13 23:56:30+00	garmin GPSMAP 64s Software Version 380		2019/07/13 12:56:30		
TRACK	Current Track: 13 JUL 2019 12:02	T3587	-14.1796255298	-169.6230659075	-14.1796255298	-169.6230659075		False	False			15.38			2019/07/13 23:56:35+00	garmin GPSMAP 64s Software Version 380		2019/07/13 12:56:35		
TRACK	Current Track: 13 JUL 2019 12:02	T3587	-14.1796445567	-169.623082336	-14.1796445567	-169.623082336		False	False			16.06			2019/07/13 23:56:40+00	garmin GPSMAP 64s Software Version 380		2019/07/13 12:56:40		
TRACK	Current Track: 13 JUL 2019 12:02	T3587	-14.1796638351	-169.6231006086	-14.1796638351	-169.6231006086		False	False			16.3			2019/07/13 23:56:45+00	garmin GPSMAP 64s Software Version 380		2019/07/13 12:56:45		
TRACK	Current Track: 13 JUL 2019 12:02	T3587	-14.1796755698	-169.6231151093	-14.1796755698	-169.6231151093		False	False			16.37			2019/07/13 23:56:50+00	garmin GPSMAP 64s Software Version 380		2019/07/13 12:56:50		
TRACK	Current Track: 13 JUL 2019 12:02	T3587	-14.1796857957	-169.6231354773	-14.1796857957	-169.6231354773		False	False			16.18			2019/07/13 23:56:55+00	garmin GPSMAP 64s Software Version 380		2019/07/13 12:56:55		
TRACK	Current Track: 13 JUL 2019 12:02	T3587	-14.179686131	-169.6231443621	-14.179686131	-169.6231443621		False	False			16.26			2019/07/13 23:57:00+00	garmin GPSMAP 64s Software Version 380		2019/07/13 12:57:00		
TRACK	Current Track: 13 JUL 2019 12:02	T3587	-14.1796831135	-169.6231514029	-14.1796831135	-169.6231514029		False	False			16.62			2019/07/13 23:57:05+00	garmin GPSMAP 64s Software Version 380		2019/07/13 12:57:05		
TRACK	Current Track: 13 JUL 2019 12:02	T3587	-14.1796839517	-169.6231542528	-14.1796839517	-169.6231542528		False	False			15.23			2019/07/13 23:57:10+00	garmin GPSMAP 64s Software Version 380		2019/07/13 12:57:10		
TRACK	Current Track: 13 JUL 2019 12:02	T3587	-14.1796864662	-169.6231570188	-14.1796864662	-169.6231570188		False	False			15.43			2019/07/13 23:57:15+00	garmin GPSMAP 64s Software Version 380		2019/07/13 12:57:15		
TRACK	Current Track: 13 JUL 2019 12:02	T3587	-14.1796943452	-169.6231563482	-14.1796943452	-169.6231563482		False	False			16.14			2019/07/13 23:57:20+00	garmin GPSMAP 64s Software Version 380		2019/07/13 12:57:20		
TRACK	Current Track: 13 JUL 2019 12:02	T3587	-14.1796968598	-169.6231556777	-14.1796968598	-169.6231556777		False	False			15.32			2019/07/13 23:57:25+00	garmin GPSMAP 64s Software Version 380		2019/07/13 12:57:25		
TRACK	Current Track: 13 JUL 2019 12:02	T3587	-14.1797021404	-169.6231674124	-14.1797021404	-169.6231674124		False	False			14.99			2019/07/13 23:57:30+00	garmin GPSMAP 64s Software Version 380		2019/07/13 12:57:30		
TRACK	Current Track: 13 JUL 2019 12:02	T3587	-14.1797070019	-169.623176381	-14.1797070019	-169.623176381		False	False			15.73			2019/07/13 23:57:35+00	garmin GPSMAP 64s Software Version 380		2019/07/13 12:57:35		
TRACK	Current Track: 13 JUL 2019 12:02	T3587	-14.179721754	-169.6231988445	-14.179721754	-169.6231988445		False	False			16.15			2019/07/13 23:57:40+00	garmin GPSMAP 64s Software Version 380		2019/07/13 12:57:40		
TRACK	Current Track: 13 JUL 2019 12:02	T3587	-14.179743547	-169.6232154407	-14.179743547	-169.6232154407		False	False			16.06			2019/07/13 23:57:45+00	garmin GPSMAP 64s Software Version 380		2019/07/13 12:57:45		
