type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 01 JUL 2019 11:45	T1	-14.1791902576	-169.6234534867	-14.1791902576	-169.6234534867		False	False			20.86			2019/07/13 23:41:18+00	garmin GPSMAP 64s Software Version 500		2019/07/13 12:41:18		
TRACK	Current Track: 01 JUL 2019 11:45	T1	-14.1792078596	-169.6234577615	-14.1792078596	-169.6234577615		False	False			20.91			2019/07/13 23:41:23+00	garmin GPSMAP 64s Software Version 500		2019/07/13 12:41:23		
TRACK	Current Track: 01 JUL 2019 11:45	T1	-14.1792170797	-169.623472346	-14.1792170797	-169.623472346		False	False			21.19			2019/07/13 23:41:28+00	garmin GPSMAP 64s Software Version 500		2019/07/13 12:41:28		
TRACK	Current Track: 01 JUL 2019 11:45	T1	-14.1792098712	-169.6234844159	-14.1792098712	-169.6234844159		False	False			21.25			2019/07/13 23:41:33+00	garmin GPSMAP 64s Software Version 500		2019/07/13 12:41:33		
TRACK	Current Track: 01 JUL 2019 11:45	T1	-14.1792094521	-169.6234917082	-14.1792094521	-169.6234917082		False	False			21.31			2019/07/13 23:41:38+00	garmin GPSMAP 64s Software Version 500		2019/07/13 12:41:38		
TRACK	Current Track: 01 JUL 2019 11:45	T1	-14.179212302	-169.6234926302	-14.179212302	-169.6234926302		False	False			21.19			2019/07/13 23:41:43+00	garmin GPSMAP 64s Software Version 500		2019/07/13 12:41:43		
TRACK	Current Track: 01 JUL 2019 11:45	T1	-14.1792180855	-169.6234985813	-14.1792180855	-169.6234985813		False	False			20.83			2019/07/13 23:41:48+00	garmin GPSMAP 64s Software Version 500		2019/07/13 12:41:48		
TRACK	Current Track: 01 JUL 2019 11:45	T1	-14.1792221926	-169.6235051192	-14.1792221926	-169.6235051192		False	False			20.84			2019/07/13 23:41:53+00	garmin GPSMAP 64s Software Version 500		2019/07/13 12:41:53		
TRACK	Current Track: 01 JUL 2019 11:45	T1	-14.1792248748	-169.6235000063	-14.1792248748	-169.6235000063		False	False			20.7			2019/07/13 23:41:58+00	garmin GPSMAP 64s Software Version 500		2019/07/13 12:41:58		
TRACK	Current Track: 01 JUL 2019 11:45	T1	-14.1792464163	-169.6234902833	-14.1792464163	-169.6234902833		False	False			20.62			2019/07/13 23:42:03+00	garmin GPSMAP 64s Software Version 500		2019/07/13 12:42:03		
