type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1848685779	-169.6665321104	-14.1848685779	-169.6665321104		False	False			-41.68			2019/07/16 02:44:02+00	garmin GPSMAP 64s Software Version 380		2019/07/15 15:44:02		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1848863475	-169.6665288415	-14.1848863475	-169.6665288415		False	False			-41.62			2019/07/16 02:44:07+00	garmin GPSMAP 64s Software Version 380		2019/07/15 15:44:07		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1848938074	-169.666529512	-14.1848938074	-169.666529512		False	False			-42.1			2019/07/16 02:44:12+00	garmin GPSMAP 64s Software Version 380		2019/07/15 15:44:12		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1848942265	-169.6665241476	-14.1848942265	-169.6665241476		False	False			-41.58			2019/07/16 02:44:17+00	garmin GPSMAP 64s Software Version 380		2019/07/15 15:44:17		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1848935559	-169.6665145922	-14.1848935559	-169.6665145922		False	False			-41.87			2019/07/16 02:44:22+00	garmin GPSMAP 64s Software Version 380		2019/07/15 15:44:22		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1848974954	-169.6665171906	-14.1848974954	-169.6665171906		False	False			-42.17			2019/07/16 02:44:27+00	garmin GPSMAP 64s Software Version 380		2019/07/15 15:44:27		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1848915443	-169.6665215492	-14.1848915443	-169.6665215492		False	False			-41.98			2019/07/16 02:44:32+00	garmin GPSMAP 64s Software Version 380		2019/07/15 15:44:32		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1849075537	-169.6665281709	-14.1849075537	-169.6665281709		False	False			-43.1			2019/07/16 02:44:37+00	garmin GPSMAP 64s Software Version 380		2019/07/15 15:44:37		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1849338729	-169.6665352955	-14.1849338729	-169.6665352955		False	False			-42.94			2019/07/16 02:44:42+00	garmin GPSMAP 64s Software Version 380		2019/07/15 15:44:42		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1849612817	-169.6665150113	-14.1849612817	-169.6665150113		False	False			-43.07			2019/07/16 02:44:47+00	garmin GPSMAP 64s Software Version 380		2019/07/15 15:44:47		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1849844996	-169.6665035281	-14.1849844996	-169.6665035281		False	False			-43.46			2019/07/16 02:44:52+00	garmin GPSMAP 64s Software Version 380		2019/07/15 15:44:52		
