type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1848476231	-169.6663288493	-14.1848476231	-169.6663288493		False	False			-1.01			2019/07/15 21:42:00+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:42:00		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.184854161	-169.6663301066	-14.184854161	-169.6663301066		False	False			-1.29			2019/07/15 21:42:05+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:42:05		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1848567594	-169.666327592	-14.1848567594	-169.666327592		False	False			-0.59			2019/07/15 21:42:10+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:42:10		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1848586034	-169.6663230658	-14.1848586034	-169.6663230658		False	False			-0.89			2019/07/15 21:42:15+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:42:15		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1848509759	-169.6663283464	-14.1848509759	-169.6663283464		False	False			-0.73			2019/07/15 21:42:20+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:42:20		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1848493833	-169.6663262509	-14.1848493833	-169.6663262509		False	False			-0.45			2019/07/15 21:42:25+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:42:25		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1848531552	-169.6663256641	-14.1848531552	-169.6663256641		False	False			-1.44			2019/07/15 21:42:30+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:42:30		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1848555859	-169.6663313638	-14.1848555859	-169.6663313638		False	False			-0.65			2019/07/15 21:42:35+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:42:35		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1848570108	-169.6663335431	-14.1848570108	-169.6663335431		False	False			2.87			2019/07/15 21:42:40+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:42:40		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1848728526	-169.666346116	-14.1848728526	-169.666346116		False	False			-0.92			2019/07/15 21:42:45+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:42:45		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1848951485	-169.6663393266	-14.1848951485	-169.6663393266		False	False			-0.28			2019/07/15 21:42:50+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:42:50		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1849192884	-169.6663325373	-14.1849192884	-169.6663325373		False	False			0.13			2019/07/15 21:42:55+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:42:55		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1849444341	-169.6663300227	-14.1849444341	-169.6663300227		False	False			-0.15			2019/07/15 21:43:00+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:43:00		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1849615332	-169.666333627	-14.1849615332	-169.666333627		False	False			-0.03			2019/07/15 21:43:05+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:43:05		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.184967652	-169.6663411707	-14.184967652	-169.6663411707		False	False			0.4			2019/07/15 21:43:10+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:43:10		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1849707533	-169.6663338784	-14.1849707533	-169.6663338784		False	False			0.46			2019/07/15 21:43:15+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:43:15		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1849648859	-169.6663231496	-14.1849648859	-169.6663231496		False	False			0.08			2019/07/15 21:43:20+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:43:20		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1849696636	-169.6663297713	-14.1849696636	-169.6663297713		False	False			0.26			2019/07/15 21:43:25+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:43:25		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1849675681	-169.6663246583	-14.1849675681	-169.6663246583		False	False			0.08			2019/07/15 21:43:30+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:43:30		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1849901993	-169.6663227305	-14.1849901993	-169.6663227305		False	False			-0.15			2019/07/15 21:43:35+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:43:35		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1850181948	-169.6663096547	-14.1850181948	-169.6663096547		False	False			0.42			2019/07/15 21:43:40+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:43:40		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1850534827	-169.6663010214	-14.1850534827	-169.6663010214		False	False			0.97			2019/07/15 21:43:45+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:43:45		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1850805562	-169.6662958246	-14.1850805562	-169.6662958246		False	False			0.44			2019/07/15 21:43:50+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:43:50		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1851012595	-169.666292388	-14.1851012595	-169.666292388		False	False			1.32			2019/07/15 21:43:55+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:43:55		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1851252317	-169.6662852634	-14.1851252317	-169.6662852634		False	False			1.23			2019/07/15 21:44:00+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:44:00		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1851259023	-169.6662825812	-14.1851259023	-169.6662825812		False	False			1.89			2019/07/15 21:44:05+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:44:05		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1851285845	-169.6662822459	-14.1851285845	-169.6662822459		False	False			1.46			2019/07/15 21:44:10+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:44:10		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.18513068	-169.6662858501	-14.18513068	-169.6662858501		False	False			1.38			2019/07/15 21:44:15+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:44:15		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1851320211	-169.6662880294	-14.1851320211	-169.6662880294		False	False			1.33			2019/07/15 21:44:20+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:44:20		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1851320211	-169.6662841737	-14.1851320211	-169.6662841737		False	False			1.61			2019/07/15 21:44:25+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:44:25		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1851331107	-169.6662837546	-14.1851331107	-169.6662837546		False	False			1.22			2019/07/15 21:44:30+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:44:30		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1851290874	-169.6662768815	-14.1851290874	-169.6662768815		False	False			1.21			2019/07/15 21:44:35+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:44:35		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1851435881	-169.6662725229	-14.1851435881	-169.6662725229		False	False			1.49			2019/07/15 21:44:40+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:44:40		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1851613577	-169.6662726067	-14.1851613577	-169.6662726067		False	False			0.9			2019/07/15 21:44:45+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:44:45		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1851808876	-169.6662871074	-14.1851808876	-169.6662871074		False	False			0.67			2019/07/15 21:44:50+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:44:50		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1852096375	-169.6662895381	-14.1852096375	-169.6662895381		False	False			1.19			2019/07/15 21:44:55+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:44:55		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1852279939	-169.6662841737	-14.1852279939	-169.6662841737		False	False			1.55			2019/07/15 21:45:00+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:45:00		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.185222378	-169.6662856825	-14.185222378	-169.6662856825		False	False			1.34			2019/07/15 21:45:05+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:45:05		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1852190252	-169.6662792284	-14.1852190252	-169.6662792284		False	False			1.53			2019/07/15 21:45:10+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:45:10		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1852249764	-169.6662839223	-14.1852249764	-169.6662839223		False	False			1.92			2019/07/15 21:45:15+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:45:15		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1852270719	-169.6662874427	-14.1852270719	-169.6662874427		False	False			1.65			2019/07/15 21:45:20+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:45:20		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1852201149	-169.6662853472	-14.1852201149	-169.6662853472		False	False			1.9			2019/07/15 21:45:25+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:45:25		
TRACK	Current Track: 15 JUL 2019 10:20	T2959	-14.1852171812	-169.6662862692	-14.1852171812	-169.6662862692		False	False			2.1			2019/07/15 21:45:30+00	garmin GPSMAP 64s Software Version 380		2019/07/15 10:45:30		
