type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 06 JUL 2019 10:44	T1	-14.1844820045	-169.6661969181	-14.1844820045	-169.6661969181		False	True			-5.3			2019/07/15 21:20:15+00	garmin GPSMAP 64s Software Version 500		2019/07/15 10:20:15		
TRACK	Current Track: 06 JUL 2019 10:44	T1	-14.1844517458	-169.6661993489	-14.1844517458	-169.6661993489		False	False			-5.19			2019/07/15 21:20:20+00	garmin GPSMAP 64s Software Version 500		2019/07/15 10:20:20		
TRACK	Current Track: 06 JUL 2019 10:44	T1	-14.1844438668	-169.6661935654	-14.1844438668	-169.6661935654		False	False			-5.39			2019/07/15 21:20:25+00	garmin GPSMAP 64s Software Version 500		2019/07/15 10:20:25		
TRACK	Current Track: 06 JUL 2019 10:44	T1	-14.1844014544	-169.6661841776	-14.1844014544	-169.6661841776		False	False			-5.06			2019/07/15 21:20:30+00	garmin GPSMAP 64s Software Version 500		2019/07/15 10:20:30		
TRACK	Current Track: 06 JUL 2019 10:44	T1	-14.1843609698	-169.6661697607	-14.1843609698	-169.6661697607		False	False			-4.89			2019/07/15 21:20:35+00	garmin GPSMAP 64s Software Version 500		2019/07/15 10:20:35		
TRACK	Current Track: 06 JUL 2019 10:44	T1	-14.1843518335	-169.6661698446	-14.1843518335	-169.6661698446		False	False			-4.7			2019/07/15 21:20:40+00	garmin GPSMAP 64s Software Version 500		2019/07/15 10:20:40		
TRACK	Current Track: 06 JUL 2019 10:44	T1	-14.1843456309	-169.6661715209	-14.1843456309	-169.6661715209		False	False			-4.72			2019/07/15 21:20:45+00	garmin GPSMAP 64s Software Version 500		2019/07/15 10:20:45		
TRACK	Current Track: 06 JUL 2019 10:44	T1	-14.1843431164	-169.6661707666	-14.1843431164	-169.6661707666		False	False			-4.62			2019/07/15 21:20:50+00	garmin GPSMAP 64s Software Version 500		2019/07/15 10:20:50		
TRACK	Current Track: 06 JUL 2019 10:44	T1	-14.1843429487	-169.6661704313	-14.1843429487	-169.6661704313		False	False			-4.67			2019/07/15 21:20:55+00	garmin GPSMAP 64s Software Version 500		2019/07/15 10:20:55		
TRACK	Current Track: 06 JUL 2019 10:44	T1	-14.1843444575	-169.6661720239	-14.1843444575	-169.6661720239		False	False			-4.64			2019/07/15 21:21:00+00	garmin GPSMAP 64s Software Version 500		2019/07/15 10:21:00		
TRACK	Current Track: 06 JUL 2019 10:44	T1	-14.1843445413	-169.6661728621	-14.1843445413	-169.6661728621		False	False			-4.75			2019/07/15 21:21:05+00	garmin GPSMAP 64s Software Version 500		2019/07/15 10:21:05		
TRACK	Current Track: 06 JUL 2019 10:44	T1	-14.1843443736	-169.6661738679	-14.1843443736	-169.6661738679		False	False			-4.5			2019/07/15 21:21:10+00	garmin GPSMAP 64s Software Version 500		2019/07/15 10:21:10		
