type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 17 JUL 2019 09:35	T6677	-14.1777673457	-169.6540774405	-14.1777673457	-169.6540774405		False	False			-37.66			2019/07/17 20:50:00+00	garmin GPSMAP 64s Software Version 380		2019/07/17 09:50:00		
TRACK	Current Track: 17 JUL 2019 09:35	T6677	-14.1777763981	-169.6540845651	-14.1777763981	-169.6540845651		False	False			-37.56			2019/07/17 20:50:05+00	garmin GPSMAP 64s Software Version 380		2019/07/17 09:50:05		
TRACK	Current Track: 17 JUL 2019 09:35	T6677	-14.1777767334	-169.6540834755	-14.1777767334	-169.6540834755		False	False			-37.94			2019/07/17 20:50:10+00	garmin GPSMAP 64s Software Version 380		2019/07/17 09:50:10		
TRACK	Current Track: 17 JUL 2019 09:35	T6677	-14.1777709499	-169.6540902648	-14.1777709499	-169.6540902648		False	False			-37.67			2019/07/17 20:50:15+00	garmin GPSMAP 64s Software Version 380		2019/07/17 09:50:15		
TRACK	Current Track: 17 JUL 2019 09:35	T6677	-14.1777742188	-169.6540831402	-14.1777742188	-169.6540831402		False	False			-39.02			2019/07/17 20:50:20+00	garmin GPSMAP 64s Software Version 380		2019/07/17 09:50:20		
TRACK	Current Track: 17 JUL 2019 09:35	T6677	-14.1777744703	-169.654068388	-14.1777744703	-169.654068388		False	False			-39.64			2019/07/17 20:50:25+00	garmin GPSMAP 64s Software Version 380		2019/07/17 09:50:25		
TRACK	Current Track: 17 JUL 2019 09:35	T6677	-14.177775979	-169.6540803742	-14.177775979	-169.6540803742		False	False			-40.48			2019/07/17 20:50:30+00	garmin GPSMAP 64s Software Version 380		2019/07/17 09:50:30		
TRACK	Current Track: 17 JUL 2019 09:35	T6677	-14.1777890548	-169.6540770214	-14.1777890548	-169.6540770214		False	False			-41.54			2019/07/17 20:50:35+00	garmin GPSMAP 64s Software Version 380		2019/07/17 09:50:35		
TRACK	Current Track: 17 JUL 2019 09:35	T6677	-14.1778035555	-169.654067466	-14.1778035555	-169.654067466		False	False			-42.44			2019/07/17 20:50:40+00	garmin GPSMAP 64s Software Version 380		2019/07/17 09:50:40		
TRACK	Current Track: 17 JUL 2019 09:35	T6677	-14.1778170504	-169.654065622	-14.1778170504	-169.654065622		False	False			-45.01			2019/07/17 20:50:45+00	garmin GPSMAP 64s Software Version 380		2019/07/17 09:50:45		
