type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.176959414	-169.6533294395	-14.176959414	-169.6533294395		False	False			-111.77			2019/07/17 21:00:02+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:00:02		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769621801	-169.65333011	-14.1769621801	-169.65333011		False	False			-112.87			2019/07/17 21:00:07+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:00:07		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769621801	-169.6533255838	-14.1769621801	-169.6533255838		False	False			-113.22			2019/07/17 21:00:12+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:00:12		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769708972	-169.6532914694	-14.1769708972	-169.6532914694		False	False			-113.93			2019/07/17 21:00:17+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:00:17		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769875772	-169.6532684192	-14.1769875772	-169.6532684192		False	False			-114.57			2019/07/17 21:00:22+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:00:22		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769875772	-169.6532700118	-14.1769875772	-169.6532700118		False	False			-116.49			2019/07/17 21:00:27+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:00:27		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769889183	-169.6532678325	-14.1769889183	-169.6532678325		False	False			-119.49			2019/07/17 21:00:32+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:00:32		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769857332	-169.6532785613	-14.1769857332	-169.6532785613		False	False			-68.02			2019/07/17 21:00:37+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:00:37		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769863199	-169.6532772202	-14.1769863199	-169.6532772202		False	False			15.22			2019/07/17 21:00:42+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:00:42		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769842245	-169.6532773878	-14.1769842245	-169.6532773878		False	False			18.03			2019/07/17 21:00:47+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:00:47		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769838054	-169.6532777231	-14.1769838054	-169.6532777231		False	False			18.02			2019/07/17 21:00:52+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:00:52		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769853141	-169.6532780584	-14.1769853141	-169.6532780584		False	False			18.01			2019/07/17 21:00:57+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:00:57		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769856494	-169.6532793995	-14.1769856494	-169.6532793995		False	False			27.49			2019/07/17 21:01:02+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:01:02		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769855656	-169.6532771364	-14.1769855656	-169.6532771364		False	False			-30.05			2019/07/17 21:01:07+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:01:07		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769835539	-169.6532792319	-14.1769835539	-169.6532792319		False	False			-12.88			2019/07/17 21:01:12+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:01:12		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769851465	-169.6532799024	-14.1769851465	-169.6532799024		False	False			-14.68			2019/07/17 21:01:17+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:01:17		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769931931	-169.6532826684	-14.1769931931	-169.6532826684		False	False			-19.37			2019/07/17 21:01:22+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:01:22		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769944504	-169.6532905474	-14.1769944504	-169.6532905474		False	False			-23.47			2019/07/17 21:01:27+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:01:27		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1770005692	-169.653293984	-14.1770005692	-169.653293984		False	False			-26.67			2019/07/17 21:01:32+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:01:32		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769929416	-169.6532970015	-14.1769929416	-169.6532970015		False	False			-29.8			2019/07/17 21:01:37+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:01:37		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769879125	-169.6532965824	-14.1769879125	-169.6532965824		False	False			-32.62			2019/07/17 21:01:42+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:01:42		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769962106	-169.6532844286	-14.1769962106	-169.6532844286		False	False			-35.63			2019/07/17 21:01:47+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:01:47		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769967973	-169.6532832552	-14.1769967973	-169.6532832552		False	False			-37.14			2019/07/17 21:01:52+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:01:52		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1770003177	-169.6532811597	-14.1770003177	-169.6532811597		False	False			-39.48			2019/07/17 21:01:57+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:01:57		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769929416	-169.6532876976	-14.1769929416	-169.6532876976		False	False			-41.33			2019/07/17 21:02:02+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:02:02		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769838892	-169.6532948222	-14.1769838892	-169.6532948222		False	False			-43.57			2019/07/17 21:02:07+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:02:07		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769864038	-169.6532951575	-14.1769864038	-169.6532951575		False	False			-45.02			2019/07/17 21:02:12+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:02:12		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769874096	-169.6532982588	-14.1769874096	-169.6532982588		False	False			-46.87			2019/07/17 21:02:17+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:02:17		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769944504	-169.6532970853	-14.1769944504	-169.6532970853		False	False			-48.85			2019/07/17 21:02:22+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:02:22		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1770033352	-169.6532897931	-14.1770033352	-169.6532897931		False	False			-50.52			2019/07/17 21:02:27+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:02:27		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.177004844	-169.6532835905	-14.177004844	-169.6532835905		False	False			-52.32			2019/07/17 21:02:32+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:02:32		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1770026647	-169.6532809082	-14.1770026647	-169.6532809082		False	False			-53.57			2019/07/17 21:02:37+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:02:37		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769958753	-169.6532808244	-14.1769958753	-169.6532808244		False	False			-55.14			2019/07/17 21:02:42+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:02:42		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.17699554	-169.6532823332	-14.17699554	-169.6532823332		False	False			-56.44			2019/07/17 21:02:47+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:02:47		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769921035	-169.6532835905	-14.1769921035	-169.6532835905		False	False			-57.15			2019/07/17 21:02:52+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:02:52		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769902594	-169.6532830875	-14.1769902594	-169.6532830875		False	False			-59.92			2019/07/17 21:02:57+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:02:57		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1769884992	-169.6532857697	-14.1769884992	-169.6532857697		False	False			-61.27			2019/07/17 21:03:02+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:03:02		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1770030838	-169.6532688383	-14.1770030838	-169.6532688383		False	False			-63.34			2019/07/17 21:03:07+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:03:07		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1770278942	-169.6532517392	-14.1770278942	-169.6532517392		False	False			-64.25			2019/07/17 21:03:12+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:03:12		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1770476755	-169.6532406751	-14.1770476755	-169.6532406751		False	False			-65.23			2019/07/17 21:03:17+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:03:17		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1770680435	-169.6532275155	-14.1770680435	-169.6532275155		False	False			-67.43			2019/07/17 21:03:22+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:03:22		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.177092351	-169.6532087401	-14.177092351	-169.6532087401		False	False			-69.46			2019/07/17 21:03:27+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:03:27		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1771154851	-169.6531899646	-14.1771154851	-169.6531899646		False	False			-70.24			2019/07/17 21:03:32+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:03:32		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1771236155	-169.6531783976	-14.1771236155	-169.6531783976		False	False			-69.9			2019/07/17 21:03:37+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:03:37		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1771411337	-169.6531662438	-14.1771411337	-169.6531662438		False	False			-71.58			2019/07/17 21:03:42+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:03:42		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1771604959	-169.6531501506	-14.1771604959	-169.6531501506		False	False			-72.96			2019/07/17 21:03:47+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:03:47		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1771786008	-169.6531333029	-14.1771786008	-169.6531333029		False	False			-73.47			2019/07/17 21:03:52+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:03:52		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1771982145	-169.653115198	-14.1771982145	-169.653115198		False	False			-74.54			2019/07/17 21:03:57+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:03:57		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1772126313	-169.6530997753	-14.1772126313	-169.6530997753		False	False			-75.11			2019/07/17 21:04:02+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:04:02		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1772181634	-169.6530884597	-14.1772181634	-169.6530884597		False	False			-75.04			2019/07/17 21:04:07+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:04:07		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1772169061	-169.6530788206	-14.1772169061	-169.6530788206		False	False			-74.82			2019/07/17 21:04:12+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:04:12		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1772167385	-169.6530775633	-14.1772167385	-169.6530775633		False	False			-75.15			2019/07/17 21:04:17+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:04:17		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1772139724	-169.6530783176	-14.1772139724	-169.6530783176		False	False			-75.76			2019/07/17 21:04:22+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:04:22		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1772083566	-169.6530808322	-14.1772083566	-169.6530808322		False	False			-75.95			2019/07/17 21:04:27+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:04:27		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1772055905	-169.6530804131	-14.1772055905	-169.6530804131		False	False			-75.62			2019/07/17 21:04:32+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:04:32		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1772041656	-169.6530768927	-14.1772041656	-169.6530768927		False	False			-75.68			2019/07/17 21:04:37+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:04:37		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1772028245	-169.6530736238	-14.1772028245	-169.6530736238		False	False			-76.61			2019/07/17 21:04:42+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:04:42		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1771992203	-169.6530687623	-14.1771992203	-169.6530687623		False	False			-77.69			2019/07/17 21:04:47+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:04:47		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1771905869	-169.6530699357	-14.1771905869	-169.6530699357		False	False			-78.35			2019/07/17 21:04:52+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:04:52		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1771806963	-169.6530742105	-14.1771806963	-169.6530742105		False	False			-79.39			2019/07/17 21:04:57+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:04:57		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.177170638	-169.6530736238	-14.177170638	-169.6530736238		False	False			-79.44			2019/07/17 21:05:02+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:05:02		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1771692131	-169.6530713607	-14.1771692131	-169.6530713607		False	False			-79.61			2019/07/17 21:05:07+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:05:07		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1771683749	-169.6530699357	-14.1771683749	-169.6530699357		False	False			-80.3			2019/07/17 21:05:12+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:05:12		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1771738231	-169.6530659962	-14.1771738231	-169.6530659962		False	False			-81			2019/07/17 21:05:17+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:05:17		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1771796905	-169.6530591231	-14.1771796905	-169.6530591231		False	False			-82.38			2019/07/17 21:05:22+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:05:22		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1771837976	-169.6530521661	-14.1771837976	-169.6530521661		False	False			-81.85			2019/07/17 21:05:27+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:05:27		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1771836299	-169.6530512441	-14.1771836299	-169.6530512441		False	False			-82.36			2019/07/17 21:05:32+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:05:32		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.177183127	-169.6530530881	-14.177183127	-169.6530530881		False	False			-83.02			2019/07/17 21:05:37+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:05:37		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1771898326	-169.6530482266	-14.1771898326	-169.6530482266		False	False			-82.74			2019/07/17 21:05:42+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:05:42		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1772042494	-169.6530371625	-14.1772042494	-169.6530371625		False	False			-82.21			2019/07/17 21:05:47+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:05:47		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1772277188	-169.6530209016	-14.1772277188	-169.6530209016		False	False			-83.52			2019/07/17 21:05:52+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:05:52		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1772534512	-169.6530058142	-14.1772534512	-169.6530058142		False	False			-83.84			2019/07/17 21:05:57+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:05:57		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1772796027	-169.6529908944	-14.1772796027	-169.6529908944		False	False			-84.01			2019/07/17 21:06:02+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:06:02		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1773071792	-169.6529735439	-14.1773071792	-169.6529735439		False	False			-83.53			2019/07/17 21:06:07+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:06:07		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1773358453	-169.6529574506	-14.1773358453	-169.6529574506		False	False			-83.95			2019/07/17 21:06:12+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:06:12		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1773590632	-169.6529353224	-14.1773590632	-169.6529353224		False	False			-83.88			2019/07/17 21:06:17+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:06:17		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1773788445	-169.6529095899	-14.1773788445	-169.6529095899		False	False			-83.79			2019/07/17 21:06:22+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:06:22		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1774044931	-169.6528906468	-14.1774044931	-169.6528906468		False	False			-83.71			2019/07/17 21:06:27+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:06:27		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1774329916	-169.652871117	-14.1774329916	-169.652871117		False	False			-83.84			2019/07/17 21:06:32+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:06:32		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1774491686	-169.6528613102	-14.1774491686	-169.6528613102		False	False			-83.35			2019/07/17 21:06:37+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:06:37		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1774702072	-169.6528431214	-14.1774702072	-169.6528431214		False	False			-82.55			2019/07/17 21:06:42+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:06:42		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1774945147	-169.6528256871	-14.1774945147	-169.6528256871		False	False			-82.82			2019/07/17 21:06:47+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:06:47		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1775228456	-169.65280951	-14.1775228456	-169.65280951		False	False			-82.56			2019/07/17 21:06:52+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:06:52		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1775442194	-169.6527949255	-14.1775442194	-169.6527949255		False	False			-81.73			2019/07/17 21:06:57+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:06:57		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1775650065	-169.6527778264	-14.1775650065	-169.6527778264		False	False			-81.84			2019/07/17 21:07:02+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:07:02		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1775782499	-169.6527651697	-14.1775782499	-169.6527651697		False	False			-81.18			2019/07/17 21:07:07+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:07:07		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.177602306	-169.6527487412	-14.177602306	-169.6527487412		False	False			-81.06			2019/07/17 21:07:12+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:07:12		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1776130348	-169.6527425386	-14.1776130348	-169.6527425386		False	False			-80.34			2019/07/17 21:07:17+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:07:17		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1776116937	-169.6527496632	-14.1776116937	-169.6527496632		False	False			-79.36			2019/07/17 21:07:22+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:07:22		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1776132863	-169.652753938	-14.1776132863	-169.652753938		False	False			-79.59			2019/07/17 21:07:27+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:07:27		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1776158009	-169.6527515911	-14.1776158009	-169.6527515911		False	False			-79.79			2019/07/17 21:07:32+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:07:32		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1776190698	-169.652746981	-14.1776190698	-169.652746981		False	False			-79.26			2019/07/17 21:07:37+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:07:37		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1776177287	-169.6527465619	-14.1776177287	-169.6527465619		False	False			-79.16			2019/07/17 21:07:42+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:07:42		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1776164714	-169.6527485736	-14.1776164714	-169.6527485736		False	False			-78.54			2019/07/17 21:07:47+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:07:47		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.177618986	-169.6527481545	-14.177618986	-169.6527481545		False	False			-77.94			2019/07/17 21:07:52+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:07:52		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1776212491	-169.6527477354	-14.1776212491	-169.6527477354		False	False			-77.75			2019/07/17 21:07:57+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:07:57		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1776219197	-169.6527490765	-14.1776219197	-169.6527490765		False	False			-78.05			2019/07/17 21:08:02+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:08:02		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1776220035	-169.6527475677	-14.1776220035	-169.6527475677		False	False			-78.57			2019/07/17 21:08:07+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:08:07		
TRACK	Current Track: 10 JUL 2019 10:42	T1	-14.1776230093	-169.6527480707	-14.1776230093	-169.6527480707		False	False			-78.69			2019/07/17 21:08:12+00	garmin GPSMAP 64s Software Version 500		2019/07/17 10:08:12		
