type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 18 JUL 2019 10:02	T6525	-14.1851004213	-169.667181205	-14.1851004213	-169.667181205		False	False			-69			2019/07/18 21:18:01+00	garmin GPSMAP 64s Software Version 380		2019/07/18 10:18:01		
TRACK	Current Track: 18 JUL 2019 10:02	T6525	-14.1851054505	-169.6671801154	-14.1851054505	-169.6671801154		False	False			-68.51			2019/07/18 21:18:06+00	garmin GPSMAP 64s Software Version 380		2019/07/18 10:18:06		
TRACK	Current Track: 18 JUL 2019 10:02	T6525	-14.1851124074	-169.6671812888	-14.1851124074	-169.6671812888		False	False			-69.06			2019/07/18 21:18:11+00	garmin GPSMAP 64s Software Version 380		2019/07/18 10:18:11		
TRACK	Current Track: 18 JUL 2019 10:02	T6525	-14.1851160116	-169.6671824623	-14.1851160116	-169.6671824623		False	False			-68.9			2019/07/18 21:18:16+00	garmin GPSMAP 64s Software Version 380		2019/07/18 10:18:16		
TRACK	Current Track: 18 JUL 2019 10:02	T6525	-14.1851111501	-169.6671841387	-14.1851111501	-169.6671841387		False	False			-68.67			2019/07/18 21:18:21+00	garmin GPSMAP 64s Software Version 380		2019/07/18 10:18:21		
TRACK	Current Track: 18 JUL 2019 10:02	T6525	-14.1851066239	-169.6671807021	-14.1851066239	-169.6671807021		False	False			-68.52			2019/07/18 21:18:26+00	garmin GPSMAP 64s Software Version 380		2019/07/18 10:18:26		
TRACK	Current Track: 18 JUL 2019 10:02	T6525	-14.1851093899	-169.6671796124	-14.1851093899	-169.6671796124		False	False			-68.45			2019/07/18 21:18:31+00	garmin GPSMAP 64s Software Version 380		2019/07/18 10:18:31		
TRACK	Current Track: 18 JUL 2019 10:02	T6525	-14.1851184424	-169.6671800315	-14.1851184424	-169.6671800315		False	False			-68.32			2019/07/18 21:18:36+00	garmin GPSMAP 64s Software Version 380		2019/07/18 10:18:36		
TRACK	Current Track: 18 JUL 2019 10:02	T6525	-14.1851302609	-169.6671788581	-14.1851302609	-169.6671788581		False	False			-68.65			2019/07/18 21:18:41+00	garmin GPSMAP 64s Software Version 380		2019/07/18 10:18:41		
TRACK	Current Track: 18 JUL 2019 10:02	T6525	-14.1851491202	-169.6671658661	-14.1851491202	-169.6671658661		False	False			-68.15			2019/07/18 21:18:46+00	garmin GPSMAP 64s Software Version 380		2019/07/18 10:18:46		
TRACK	Current Track: 18 JUL 2019 10:02	T6525	-14.1851634532	-169.6671770979	-14.1851634532	-169.6671770979		False	False			-67.77			2019/07/18 21:18:51+00	garmin GPSMAP 64s Software Version 380		2019/07/18 10:18:51		
TRACK	Current Track: 18 JUL 2019 10:02	T6525	-14.1851894371	-169.6671708114	-14.1851894371	-169.6671708114		False	False			-67.53			2019/07/18 21:18:56+00	garmin GPSMAP 64s Software Version 380		2019/07/18 10:18:56		
TRACK	Current Track: 18 JUL 2019 10:02	T6525	-14.1852098051	-169.6671496052	-14.1852098051	-169.6671496052		False	False			-67.92			2019/07/18 21:19:01+00	garmin GPSMAP 64s Software Version 380		2019/07/18 10:19:01		
TRACK	Current Track: 18 JUL 2019 10:02	T6525	-14.185227491	-169.6671392955	-14.185227491	-169.6671392955		False	False			-67.41			2019/07/18 21:19:06+00	garmin GPSMAP 64s Software Version 380		2019/07/18 10:19:06		
TRACK	Current Track: 18 JUL 2019 10:02	T6525	-14.1852583364	-169.6671341825	-14.1852583364	-169.6671341825		False	False			-67.71			2019/07/18 21:19:11+00	garmin GPSMAP 64s Software Version 380		2019/07/18 10:19:11		
TRACK	Current Track: 18 JUL 2019 10:02	T6525	-14.1852743458	-169.667133512	-14.1852743458	-169.667133512		False	False			-67.75			2019/07/18 21:19:16+00	garmin GPSMAP 64s Software Version 380		2019/07/18 10:19:16		
TRACK	Current Track: 18 JUL 2019 10:02	T6525	-14.1852704063	-169.667131165	-14.1852704063	-169.667131165		False	False			-67.65			2019/07/18 21:19:21+00	garmin GPSMAP 64s Software Version 380		2019/07/18 10:19:21		
TRACK	Current Track: 18 JUL 2019 10:02	T6525	-14.1852763575	-169.6671306621	-14.1852763575	-169.6671306621		False	False			-67.96			2019/07/18 21:19:27+00	garmin GPSMAP 64s Software Version 380		2019/07/18 10:19:27		
TRACK	Current Track: 18 JUL 2019 10:02	T6525	-14.1852705739	-169.6671292372	-14.1852705739	-169.6671292372		False	False			-67.34			2019/07/18 21:19:32+00	garmin GPSMAP 64s Software Version 380		2019/07/18 10:19:32		
