type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1846566834	-169.6186842676	-14.1846566834	-169.6186842676		False	False			8.29			2019/07/19 22:04:10+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:04:10		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1846550908	-169.6186774783	-14.1846550908	-169.6186774783		False	False			8.96			2019/07/19 22:04:15+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:04:15		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1846516542	-169.6186790708	-14.1846516542	-169.6186790708		False	False			9.35			2019/07/19 22:04:20+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:04:20		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1846554261	-169.6186803281	-14.1846554261	-169.6186803281		False	False			9.94			2019/07/19 22:04:25+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:04:25		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1846611258	-169.6186866984	-14.1846611258	-169.6186866984		False	False			9.91			2019/07/19 22:04:30+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:04:30		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1846585274	-169.6186871175	-14.1846585274	-169.6186871175		False	False			10.59			2019/07/19 22:04:35+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:04:35		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1846431047	-169.6186761372	-14.1846431047	-169.6186761372		False	False			10.91			2019/07/19 22:04:40+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:04:40		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1846378241	-169.6186738741	-14.1846378241	-169.6186738741		False	False			11.22			2019/07/19 22:04:45+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:04:45		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1846451163	-169.6186727844	-14.1846451163	-169.6186727844		False	False			11.66			2019/07/19 22:04:50+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:04:50		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1846569348	-169.6186833456	-14.1846569348	-169.6186833456		False	False			11.81			2019/07/19 22:04:55+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:04:55		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1846565157	-169.6186935715	-14.1846565157	-169.6186935715		False	False			12.01			2019/07/19 22:05:00+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:05:00		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1846659873	-169.6187222376	-14.1846659873	-169.6187222376		False	False			12.05			2019/07/19 22:05:05+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:05:05		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1846783087	-169.6187498979	-14.1846783087	-169.6187498979		False	False			12.44			2019/07/19 22:05:10+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:05:10		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1846886184	-169.618770685	-14.1846886184	-169.618770685		False	False			12.8			2019/07/19 22:05:15+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:05:15		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1846904624	-169.6187752951	-14.1846904624	-169.6187752951		False	False			12.75			2019/07/19 22:05:20+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:05:20		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1846891213	-169.6187780611	-14.1846891213	-169.6187780611		False	False			13.1			2019/07/19 22:05:25+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:05:25		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1846884508	-169.6187771391	-14.1846884508	-169.6187771391		False	False			12.98			2019/07/19 22:05:30+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:05:30		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1846937314	-169.6187684219	-14.1846937314	-169.6187684219		False	False			13.83			2019/07/19 22:05:35+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:05:35		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1846859362	-169.6187683381	-14.1846859362	-169.6187683381		False	False			13.71			2019/07/19 22:05:40+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:05:40		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1846840084	-169.6187932324	-14.1846840084	-169.6187932324		False	False			13.6			2019/07/19 22:05:45+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:05:45		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1847019456	-169.6188238263	-14.1847019456	-169.6188238263		False	False			13.43			2019/07/19 22:05:50+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:05:50		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1847264208	-169.6188587788	-14.1847264208	-169.6188587788		False	False			13			2019/07/19 22:05:55+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:05:55		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1847483814	-169.6188922226	-14.1847483814	-169.6188922226		False	False			13.72			2019/07/19 22:06:00+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:06:00		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1847676598	-169.6189225651	-14.1847676598	-169.6189225651		False	False			13.19			2019/07/19 22:06:05+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:06:05		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.184787944	-169.6189483814	-14.184787944	-169.6189483814		False	False			12.69			2019/07/19 22:06:10+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:06:10		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1848007683	-169.6189664025	-14.1848007683	-169.6189664025		False	False			13.08			2019/07/19 22:06:15+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:06:15		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1848000139	-169.6189647261	-14.1848000139	-169.6189647261		False	False			13.32			2019/07/19 22:06:20+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:06:20		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.184803199	-169.618955506	-14.184803199	-169.618955506		False	False			13.06			2019/07/19 22:06:25+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:06:25		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1848109104	-169.6189469565	-14.1848109104	-169.6189469565		False	False			13.2			2019/07/19 22:06:30+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:06:30		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1848080605	-169.6189394966	-14.1848080605	-169.6189394966		False	False			13.59			2019/07/19 22:06:35+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:06:35		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1848166101	-169.6189370658	-14.1848166101	-169.6189370658		False	False			13.11			2019/07/19 22:06:40+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:06:40		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.184825914	-169.6189486329	-14.184825914	-169.6189486329		False	False			13.06			2019/07/19 22:06:45+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:06:45		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1848435998	-169.6189612057	-14.1848435998	-169.6189612057		False	False			13.52			2019/07/19 22:06:50+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:06:50		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1848618723	-169.6189788077	-14.1848618723	-169.6189788077		False	False			12.87			2019/07/19 22:06:55+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:06:55		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1848817375	-169.6190042887	-14.1848817375	-169.6190042887		False	False			13.05			2019/07/19 22:07:00+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:07:00		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1849045362	-169.6190219745	-14.1849045362	-169.6190219745		False	False			13.34			2019/07/19 22:07:05+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:07:05		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.184931526	-169.6190499701	-14.184931526	-169.6190499701		False	False			13.49			2019/07/19 22:07:10+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:07:10		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1849474516	-169.6190634649	-14.1849474516	-169.6190634649		False	False			14.07			2019/07/19 22:07:15+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:07:15		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1849463619	-169.6190648898	-14.1849463619	-169.6190648898		False	False			13.69			2019/07/19 22:07:20+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:07:20		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1849443503	-169.619062962	-14.1849443503	-169.619062962		False	False			13.28			2019/07/19 22:07:25+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:07:25		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1849413328	-169.619059274	-14.1849413328	-169.619059274		False	False			14.11			2019/07/19 22:07:30+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:07:30		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1849442665	-169.6190552507	-14.1849442665	-169.6190552507		False	False			13.73			2019/07/19 22:07:35+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:07:35		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1849446017	-169.6190580167	-14.1849446017	-169.6190580167		False	False			13.98			2019/07/19 22:07:40+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:07:40		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1849560011	-169.6190707572	-14.1849560011	-169.6190707572		False	False			13.7			2019/07/19 22:07:45+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:07:45		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1849710047	-169.6190871857	-14.1849710047	-169.6190871857		False	False			13			2019/07/19 22:07:50+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:07:50		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1849871818	-169.6191150136	-14.1849871818	-169.6191150136		False	False			13.31			2019/07/19 22:07:55+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:07:55		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1850109864	-169.6191354655	-14.1850109864	-169.6191354655		False	False			13.25			2019/07/19 22:08:00+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:08:00		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1850306839	-169.619151894	-14.1850306839	-169.619151894		False	False			13.95			2019/07/19 22:08:05+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:08:05		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1850476153	-169.6191656403	-14.1850476153	-169.6191656403		False	False			13.73			2019/07/19 22:08:10+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:08:10		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1850579251	-169.6191767044	-14.1850579251	-169.6191767044		False	False			13.56			2019/07/19 22:08:15+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:08:15		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1850580089	-169.6191727649	-14.1850580089	-169.6191727649		False	False			13.81			2019/07/19 22:08:20+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:08:20		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1850590147	-169.6191668138	-14.1850590147	-169.6191668138		False	False			13.84			2019/07/19 22:08:25+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:08:25		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1850571707	-169.619165305	-14.1850571707	-169.619165305		False	False			14.68			2019/07/19 22:08:30+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:08:30		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1850613616	-169.619160695	-14.1850613616	-169.619160695		False	False			14.47			2019/07/19 22:08:35+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:08:35		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1850582603	-169.6191550791	-14.1850582603	-169.6191550791		False	False			14.94			2019/07/19 22:08:40+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:08:40		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1850652173	-169.6191639639	-14.1850652173	-169.6191639639		False	False			14.05			2019/07/19 22:08:45+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:08:45		
TRACK	Current Track: 19 JUL 2019 09:57	T4928	-14.1850758623	-169.619181985	-14.1850758623	-169.619181985		False	False			14.74			2019/07/19 22:08:50+00	garmin GPSMAP 64s Software Version 380		2019/07/19 11:08:50		
