type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.1830600146	-169.6204347443	-14.1830600146	-169.6204347443		False	False			-26.15			2019/07/19 21:57:29+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:57:29		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.1830673069	-169.6204463951	-14.1830673069	-169.6204463951		False	False			-26.17			2019/07/19 21:57:34+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:57:34		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.1830753535	-169.6204520948	-14.1830753535	-169.6204520948		False	False			-26.23			2019/07/19 21:57:39+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:57:39		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.183077449	-169.6204608958	-14.183077449	-169.6204608958		False	False			-26.5			2019/07/19 21:57:44+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:57:44		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.1830760241	-169.6204665117	-14.1830760241	-169.6204665117		False	False			-26.51			2019/07/19 21:57:49+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:57:49		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.1830745153	-169.6204722114	-14.1830745153	-169.6204722114		False	False			-26.85			2019/07/19 21:57:54+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:57:54		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.1830733418	-169.6204789169	-14.1830733418	-169.6204789169		False	False			-26.67			2019/07/19 21:57:59+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:57:59		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.1830824781	-169.6204894781	-14.1830824781	-169.6204894781		False	False			-26.9			2019/07/19 21:58:04+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:58:04		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.1830819752	-169.6204971895	-14.1830819752	-169.6204971895		False	False			-27.12			2019/07/19 21:58:09+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:58:09		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.18309086	-169.6204910707	-14.18309086	-169.6204910707		False	False			-27.19			2019/07/19 21:58:14+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:58:14		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.1831059474	-169.620487215	-14.1831059474	-169.620487215		False	False			-27.54			2019/07/19 21:58:19+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:58:19		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.183114497	-169.6204883885	-14.183114497	-169.6204883885		False	False			-27.57			2019/07/19 21:58:24+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:58:24		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.1831284948	-169.6204915736	-14.1831284948	-169.6204915736		False	False			-27.88			2019/07/19 21:58:29+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:58:29		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.1831363738	-169.6204915736	-14.1831363738	-169.6204915736		False	False			-28.34			2019/07/19 21:58:34+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:58:34		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.1831486952	-169.6205000393	-14.1831486952	-169.6205000393		False	False			-28.14			2019/07/19 21:58:39+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:58:39		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.1831616033	-169.6205127798	-14.1831616033	-169.6205127798		False	False			-28.08			2019/07/19 21:58:44+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:58:44		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.1831842344	-169.6205260232	-14.1831842344	-169.6205260232		False	False			-28.44			2019/07/19 21:58:49+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:58:49		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.1831951309	-169.6205429547	-14.1831951309	-169.6205429547		False	False			-28.58			2019/07/19 21:58:54+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:58:54		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.1831942089	-169.6205468103	-14.1831942089	-169.6205468103		False	False			-28.56			2019/07/19 21:58:59+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:58:59		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.183184905	-169.620541865	-14.183184905	-169.620541865		False	False			-28.58			2019/07/19 21:59:04+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:59:04		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.1831803787	-169.6205333155	-14.1831803787	-169.6205333155		False	False			-28.39			2019/07/19 21:59:09+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:59:09		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.1831765231	-169.6205230895	-14.1831765231	-169.6205230895		False	False			-28.49			2019/07/19 21:59:14+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:59:14		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.1831658781	-169.6205235086	-14.1831658781	-169.6205235086		False	False			-28.59			2019/07/19 21:59:19+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:59:19		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.1831766069	-169.6205316391	-14.1831766069	-169.6205316391		False	False			-28.43			2019/07/19 21:59:24+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:59:24		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.183190437	-169.6205416135	-14.183190437	-169.6205416135		False	False			-28.54			2019/07/19 21:59:29+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:59:29		
TRACK	Current Track: 16 JUL 2019 12:41	T1	-14.1832108051	-169.6205592155	-14.1832108051	-169.6205592155		False	False			-28.5			2019/07/19 21:59:34+00	garmin GPSMAP 64s Software Version 500		2019/07/19 10:59:34		
