type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1855673771	-169.6683190484	-14.1855673771	-169.6683190484		False	False			3.96			2019/07/24 20:31:01+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:31:01		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1855612583	-169.6683266759	-14.1855612583	-169.6683266759		False	False			4.22			2019/07/24 20:31:06+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:31:06		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1855542175	-169.6683249157	-14.1855542175	-169.6683249157		False	False			3.48			2019/07/24 20:31:11+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:31:11		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1855550557	-169.6683410089	-14.1855550557	-169.6683410089		False	False			3.7			2019/07/24 20:31:16+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:31:16		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1855834704	-169.6683422662	-14.1855834704	-169.6683422662		False	False			4.27			2019/07/24 20:31:21+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:31:21		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1855670419	-169.6683363989	-14.1855670419	-169.6683363989		False	False			3.64			2019/07/24 20:31:26+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:31:26		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1855794471	-169.6683489718	-14.1855794471	-169.6683489718		False	False			4.19			2019/07/24 20:31:31+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:31:31		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1855716519	-169.6683376562	-14.1855716519	-169.6683376562		False	False			3.66			2019/07/24 20:31:36+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:31:36		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1855829675	-169.6683366504	-14.1855829675	-169.6683366504		False	False			2.79			2019/07/24 20:31:41+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:31:41		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1855827998	-169.6683523245	-14.1855827998	-169.6683523245		False	False			2.97			2019/07/24 20:31:46+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:31:46		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1856138129	-169.6683580242	-14.1856138129	-169.6683580242		False	False			3.9			2019/07/24 20:31:51+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:31:51		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1856215242	-169.6683557611	-14.1856215242	-169.6683557611		False	False			4.51			2019/07/24 20:31:56+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:31:56		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1856259666	-169.6683513187	-14.1856259666	-169.6683513187		False	False			4.11			2019/07/24 20:32:01+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:32:01		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.185658237	-169.6683450323	-14.185658237	-169.6683450323		False	False			3.64			2019/07/24 20:32:06+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:32:06		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1856920999	-169.6683175396	-14.1856920999	-169.6683175396		False	False			3.18			2019/07/24 20:32:11+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:32:11		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1857075226	-169.6683262568	-14.1857075226	-169.6683262568		False	False			3.28			2019/07/24 20:32:16+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:32:16		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1857067682	-169.6683181264	-14.1857067682	-169.6683181264		False	False			3.03			2019/07/24 20:32:21+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:32:21		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1857004818	-169.6683216467	-14.1857004818	-169.6683216467		False	False			2.06			2019/07/24 20:32:26+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:32:26		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1856993921	-169.6683215629	-14.1856993921	-169.6683215629		False	False			1.56			2019/07/24 20:32:31+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:32:31		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.185668882	-169.6683158632	-14.185668882	-169.6683158632		False	False			1.4			2019/07/24 20:32:36+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:32:36		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1857020743	-169.6682799049	-14.1857020743	-169.6682799049		False	False			0.91			2019/07/24 20:32:41+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:32:41		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1857015714	-169.6682893764	-14.1857015714	-169.6682893764		False	False			0.94			2019/07/24 20:32:46+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:32:46		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1857143119	-169.6683016978	-14.1857143119	-169.6683016978		False	False			1.71			2019/07/24 20:32:51+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:32:51		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1857532039	-169.6682856046	-14.1857532039	-169.6682856046		False	False			1.74			2019/07/24 20:32:56+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:32:56		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.185782792	-169.6682628896	-14.185782792	-169.6682628896		False	False			1.03			2019/07/24 20:33:01+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:33:01		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1857929341	-169.6682524122	-14.1857929341	-169.6682524122		False	False			0.69			2019/07/24 20:33:06+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:33:06		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1858199239	-169.6682584472	-14.1858199239	-169.6682584472		False	False			0.77			2019/07/24 20:33:11+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:33:11		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1858184151	-169.6682465449	-14.1858184151	-169.6682465449		False	False			-0.01			2019/07/24 20:33:16+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:33:16		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1858227737	-169.6682385821	-14.1858227737	-169.6682385821		False	False			-0.46			2019/07/24 20:33:21+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:33:21		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1858063452	-169.6682410967	-14.1858063452	-169.6682410967		False	False			-0.51			2019/07/24 20:33:26+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:33:26		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1858136375	-169.6682554297	-14.1858136375	-169.6682554297		False	False			-0.61			2019/07/24 20:33:31+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:33:31		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1858298983	-169.6682660747	-14.1858298983	-169.6682660747		False	False			-1.27			2019/07/24 20:33:36+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:33:36		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1858463269	-169.6682452038	-14.1858463269	-169.6682452038		False	False			-1.44			2019/07/24 20:33:41+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:33:41		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1858588159	-169.6682203095	-14.1858588159	-169.6682203095		False	False			-0.86			2019/07/24 20:33:46+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:33:46		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1858940199	-169.6682164539	-14.1858940199	-169.6682164539		False	False			-1.39			2019/07/24 20:33:51+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:33:51		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1859139688	-169.6682111733	-14.1859139688	-169.6682111733		False	False			-1.67			2019/07/24 20:33:56+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:33:56		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1859511845	-169.6681892965	-14.1859511845	-169.6681892965		False	False			-2.03			2019/07/24 20:34:01+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:34:01		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1859864723	-169.6681773942	-14.1859864723	-169.6681773942		False	False			-2.25			2019/07/24 20:34:06+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:34:06		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1860050801	-169.6681768913	-14.1860050801	-169.6681768913		False	False			-2.17			2019/07/24 20:34:11+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:34:11		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1860114504	-169.6681732871	-14.1860114504	-169.6681732871		False	False			-2.49			2019/07/24 20:34:16+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:34:16		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1860078461	-169.668181669	-14.1860078461	-169.668181669		False	False			-2.77			2019/07/24 20:34:21+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:34:21		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1860148869	-169.6681689285	-14.1860148869	-169.6681689285		False	False			-2.57			2019/07/24 20:34:26+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:34:26		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1860126238	-169.6681773942	-14.1860126238	-169.6681773942		False	False			-2.97			2019/07/24 20:34:31+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:34:31		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1860120371	-169.6681841835	-14.1860120371	-169.6681841835		False	False			-3.03			2019/07/24 20:34:36+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:34:36		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1860249452	-169.6681645699	-14.1860249452	-169.6681645699		False	False			-3.01			2019/07/24 20:34:41+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:34:41		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1860640049	-169.6681664977	-14.1860640049	-169.6681664977		False	False			-3.5			2019/07/24 20:34:46+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:34:46		
TRACK	Current Track: 24 JUL 2019 09:07	T7040	-14.1860693693	-169.6681878716	-14.1860693693	-169.6681878716		False	False			-3.92			2019/07/24 20:34:51+00	garmin GPSMAP 64s Software Version 380		2019/07/24 09:34:51		
