Latitude	Longitude	ltime
-14.18567534	-169.6696104	7/24/2019 9:32:00
-14.18584926	-169.6696083	7/24/2019 9:33:00
-14.18601145	-169.6696559	7/24/2019 9:34:00
-14.18614757	-169.6697167	7/24/2019 9:35:00
-14.1862873	-169.6697847	7/24/2019 9:36:00
-14.1864629	-169.6696326	7/24/2019 9:37:00
-14.18662182	-169.6695329	7/24/2019 9:38:00
-14.18665853	-169.66958	7/24/2019 9:39:00
-14.1865981	-169.6697086	7/24/2019 9:40:00
-14.18646868	-169.6698311	7/24/2019 9:41:00
-14.18632736	-169.6698383	7/24/2019 9:42:00
-14.1861718	-169.6698144	7/24/2019 9:43:00
-14.18594867	-169.6697968	7/24/2019 9:44:00
-14.18576946	-169.6698011	7/24/2019 9:45:00
-14.18573627	-169.6699352	7/24/2019 9:46:00
-14.18583057	-169.6699705	7/24/2019 9:47:00
-14.18595387	-169.6699867	7/24/2019 9:48:00
-14.18612687	-169.6699587	7/24/2019 9:49:00
-14.18636424	-169.6699503	7/24/2019 9:50:00
-14.18652903	-169.66999	7/24/2019 9:51:00
-14.18663347	-169.6699999	7/24/2019 9:52:00
-14.18675417	-169.6701736	7/24/2019 9:53:00
-14.18653331	-169.6702191	7/24/2019 9:54:00
-14.18635243	-169.6701886	7/24/2019 9:55:00
-14.18619317	-169.670206	7/24/2019 9:56:00
-14.18610298	-169.670193	7/24/2019 9:57:00
-14.18595278	-169.6701948	7/24/2019 9:58:00
-14.18574952	-169.6701589	7/24/2019 9:59:00
-14.18569679	-169.6702866	7/24/2019 10:00:00
-14.1857387	-169.670399	7/24/2019 10:01:00
-14.18594054	-169.6704323	7/24/2019 10:02:00
-14.18612469	-169.67039	7/24/2019 10:03:00
-14.18629065	-169.670428	7/24/2019 10:04:00
-14.18639576	-169.6704426	7/24/2019 10:05:00
-14.18656717	-169.6704694	7/24/2019 10:06:00
-14.18659357	-169.670636	7/24/2019 10:07:00
-14.18642979	-169.6707268	7/24/2019 10:08:00
-14.18624564	-169.6706939	7/24/2019 10:09:00
-14.18604556	-169.6706584	7/24/2019 10:10:00
-14.18590517	-169.6706386	7/24/2019 10:11:00
-14.18577676	-169.6706192	7/24/2019 10:12:00
-14.18564843	-169.670594	7/24/2019 10:13:00
-14.18557811	-169.6707622	7/24/2019 10:14:00
-14.18565983	-169.6708569	7/24/2019 10:15:00
-14.1858009	-169.6709091	7/24/2019 10:16:00
-14.18600315	-169.6708939	7/24/2019 10:17:00
-14.18615947	-169.6709418	7/24/2019 10:18:00
-14.18629367	-169.6709828	7/24/2019 10:19:00
-14.18638797	-169.6709982	7/24/2019 10:20:00
-14.18633566	-169.6711052	7/24/2019 10:21:00
-14.18615973	-169.6712003	7/24/2019 10:22:00
-14.18605051	-169.6711863	7/24/2019 10:23:00
-14.18584155	-169.6711917	7/24/2019 10:24:00
-14.18567718	-169.6711509	7/24/2019 10:25:00
-14.18558875	-169.6711312	7/24/2019 10:26:00
-14.18547953	-169.6711259	7/24/2019 10:27:00
-14.18539681	-169.6713108	7/24/2019 10:28:00
-14.18543109	-169.6713602	7/24/2019 10:29:00
-14.18559378	-169.6713683	7/24/2019 10:30:00
-14.18571381	-169.6714002	7/24/2019 10:31:00
-14.18592269	-169.6713897	7/24/2019 10:32:00
-14.18615361	-169.6714241	7/24/2019 10:33:00
-14.18625813	-169.6714214	7/24/2019 10:34:00
-14.18619971	-169.6715759	7/24/2019 10:35:00
-14.18595931	-169.6716904	7/24/2019 10:36:00
-14.18572295	-169.671655	7/24/2019 10:37:00
-14.18554349	-169.6715948	7/24/2019 10:38:00
-14.18537811	-169.6715566	7/24/2019 10:39:00
-14.18528063	-169.6715432	7/24/2019 10:40:00
-14.18522975	-169.6716444	7/24/2019 10:41:00
-14.18527083	-169.6718166	7/24/2019 10:42:00
-14.18544156	-169.6718697	7/24/2019 10:43:00
-14.18561842	-169.6719358	7/24/2019 10:44:00
-14.18578371	-169.6719591	7/24/2019 10:45:00
-14.18582613	-169.6719796	7/24/2019 10:46:00
-14.18591221	-169.6719653	7/24/2019 10:47:00
-14.18584457	-169.6721932	7/24/2019 10:48:00
-14.18572202	-169.6721751	7/24/2019 10:49:00
-14.18560023	-169.6721223	7/24/2019 10:50:00
-14.18548264	-169.6720874	7/24/2019 10:51:00
-14.18532279	-169.6720451	7/24/2019 10:52:00
-14.18520603	-169.6720157	7/24/2019 10:53:00
