type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 27 JUL 2019 11:28	T6169	-14.1826070566	-169.6596605424	-14.1826070566	-169.6596605424		False	False			-4.96			2019/07/27 23:50:59+00	garmin GPSMAP 64s Software Version 380		2019/07/27 12:50:59		
TRACK	Current Track: 27 JUL 2019 11:28	T6169	-14.1825836711	-169.6596809104	-14.1825836711	-169.6596809104		False	False			-4.73			2019/07/27 23:51:04+00	garmin GPSMAP 64s Software Version 380		2019/07/27 12:51:04		
TRACK	Current Track: 27 JUL 2019 11:28	T6169	-14.1825694218	-169.6596960817	-14.1825694218	-169.6596960817		False	False			-4.16			2019/07/27 23:51:09+00	garmin GPSMAP 64s Software Version 380		2019/07/27 12:51:09		
TRACK	Current Track: 27 JUL 2019 11:28	T6169	-14.182572104	-169.6596918069	-14.182572104	-169.6596918069		False	False			-3.89			2019/07/27 23:51:14+00	garmin GPSMAP 64s Software Version 380		2019/07/27 12:51:14		
TRACK	Current Track: 27 JUL 2019 11:28	T6169	-14.1825835034	-169.6596760489	-14.1825835034	-169.6596760489		False	False			-4.07			2019/07/27 23:51:19+00	garmin GPSMAP 64s Software Version 380		2019/07/27 12:51:19		
TRACK	Current Track: 27 JUL 2019 11:28	T6169	-14.1825830005	-169.6596839279	-14.1825830005	-169.6596839279		False	False			-4			2019/07/27 23:51:24+00	garmin GPSMAP 64s Software Version 380		2019/07/27 12:51:24		
TRACK	Current Track: 27 JUL 2019 11:28	T6169	-14.1825664043	-169.6596698463	-14.1825664043	-169.6596698463		False	False			-3.3			2019/07/27 23:51:29+00	garmin GPSMAP 64s Software Version 380		2019/07/27 12:51:29		
TRACK	Current Track: 27 JUL 2019 11:28	T6169	-14.1825417615	-169.6596492268	-14.1825417615	-169.6596492268		False	False			-3.44			2019/07/27 23:51:34+00	garmin GPSMAP 64s Software Version 380		2019/07/27 12:51:34		
TRACK	Current Track: 27 JUL 2019 11:28	T6169	-14.1825245786	-169.65962274	-14.1825245786	-169.65962274		False	False			-2.64			2019/07/27 23:51:39+00	garmin GPSMAP 64s Software Version 380		2019/07/27 12:51:39		
TRACK	Current Track: 27 JUL 2019 11:28	T6169	-14.1825290211	-169.6596162859	-14.1825290211	-169.6596162859		False	False			-3.37			2019/07/27 23:51:44+00	garmin GPSMAP 64s Software Version 380		2019/07/27 12:51:44		
