Latitude	Longitude	ltime
-14.18127635	-169.6584661	7/27/2019 11:42:59
-14.18133887	-169.6584165	7/27/2019 11:43:59
-14.18147843	-169.6583492	7/27/2019 11:44:59
-14.18162252	-169.6582613	7/27/2019 11:45:59
-14.18177951	-169.6581893	7/27/2019 11:46:59
-14.18194002	-169.658108	7/27/2019 11:47:59
-14.18215326	-169.6579752	7/27/2019 11:48:59
-14.18236465	-169.6578335	7/27/2019 11:49:59
-14.18251209	-169.6577334	7/27/2019 11:50:59
-14.18249507	-169.6578116	7/27/2019 11:52:59
-14.18238913	-169.6578868	7/27/2019 11:53:59
-14.18230648	-169.657943	7/27/2019 11:54:59
-14.18217815	-169.6580136	7/27/2019 11:55:59
-14.18202334	-169.6581303	7/27/2019 11:56:59
-14.18187096	-169.658252	7/27/2019 11:57:59
-14.18174288	-169.6583505	7/27/2019 11:58:59
-14.18163769	-169.6584367	7/27/2019 11:59:59
-14.18150534	-169.6585472	7/27/2019 12:00:59
-14.18150014	-169.6586038	7/27/2019 12:01:59
-14.18159	-169.6585976	7/27/2019 12:02:59
-14.18174389	-169.6585084	7/27/2019 12:03:59
-14.18194053	-169.6584233	7/27/2019 12:04:59
-14.18208411	-169.6583872	7/27/2019 12:05:59
-14.18223037	-169.6583018	7/27/2019 12:06:59
-14.18238267	-169.6582292	7/27/2019 12:07:59
-14.18250388	-169.6582172	7/27/2019 12:08:59
-14.18237714	-169.6583113	7/27/2019 12:09:59
-14.18231042	-169.6583337	7/27/2019 12:10:59
-14.18221202	-169.6584095	7/27/2019 12:11:59
-14.18212669	-169.6584658	7/27/2019 12:12:59
-14.18201211	-169.6585155	7/27/2019 12:13:59
-14.1819184	-169.658596	7/27/2019 12:14:59
-14.18180097	-169.6587155	7/27/2019 12:15:59
-14.18176845	-169.6588402	7/27/2019 12:16:59
-14.18176032	-169.6588414	7/27/2019 12:17:04
-14.1817635	-169.6588431	7/27/2019 12:17:09
-14.18177457	-169.6588427	7/27/2019 12:17:14
-14.18178345	-169.6588424	7/27/2019 12:17:19
-14.18179167	-169.6588555	7/27/2019 12:17:24
-14.181778	-169.6588654	7/27/2019 12:17:29
-14.18177725	-169.6588639	7/27/2019 12:17:34
-14.18178999	-169.6588604	7/27/2019 12:17:39
-14.18179954	-169.6588557	7/27/2019 12:17:44
-14.18178907	-169.6588658	7/27/2019 12:17:49
-14.18179007	-169.6588737	7/27/2019 12:17:54
-14.18181312	-169.65887	7/27/2019 12:17:59
-14.18183533	-169.6588638	7/27/2019 12:18:04
-14.18185612	-169.6588458	7/27/2019 12:18:09
-14.18187875	-169.6588329	7/27/2019 12:18:14
-14.1818837	-169.6588201	7/27/2019 12:18:19
-14.18189049	-169.6588162	7/27/2019 12:18:24
-14.18189996	-169.6588221	7/27/2019 12:18:29
-14.18189141	-169.658827	7/27/2019 12:18:34
-14.18187263	-169.6588312	7/27/2019 12:18:39
-14.18187817	-169.6588252	7/27/2019 12:18:44
-14.18188672	-169.6588282	7/27/2019 12:18:49
-14.18189996	-169.6588111	7/27/2019 12:18:54
-14.18191982	-169.6588099	7/27/2019 12:18:59
-14.18193717	-169.6588125	7/27/2019 12:19:04
-14.18196115	-169.6588037	7/27/2019 12:19:09
-14.18197707	-169.6587869	7/27/2019 12:19:14
-14.18198948	-169.6587771	7/27/2019 12:19:19
-14.18199291	-169.6587752	7/27/2019 12:19:24
-14.18199182	-169.6587742	7/27/2019 12:19:29
-14.18198319	-169.6587731	7/27/2019 12:19:34
-14.18198604	-169.6587694	7/27/2019 12:19:39
-14.18200314	-169.6587721	7/27/2019 12:19:44
-14.18202083	-169.6587648	7/27/2019 12:19:49
-14.18204505	-169.6587524	7/27/2019 12:19:54
-14.18206936	-169.6587376	7/27/2019 12:19:59
-14.18209434	-169.6587203	7/27/2019 12:20:04
-14.18211722	-169.6587143	7/27/2019 12:20:09
-14.18212082	-169.6587108	7/27/2019 12:20:14
-14.18212216	-169.6586889	7/27/2019 12:20:19
-14.18212778	-169.6586756	7/27/2019 12:20:24
-14.18212594	-169.6586794	7/27/2019 12:20:29
-14.18213381	-169.6586748	7/27/2019 12:20:34
-14.18214136	-169.6586716	7/27/2019 12:20:39
-14.18216114	-169.6586725	7/27/2019 12:20:44
-14.1821691	-169.6586693	7/27/2019 12:20:49
-14.18218201	-169.6586737	7/27/2019 12:20:54
-14.18220481	-169.6586726	7/27/2019 12:20:59
-14.18222308	-169.6586738	7/27/2019 12:21:04
-14.18223104	-169.6586783	7/27/2019 12:21:09
-14.18224479	-169.6586717	7/27/2019 12:21:14
-14.18225921	-169.6586585	7/27/2019 12:21:19
-14.18225619	-169.6586648	7/27/2019 12:21:24
-14.18225116	-169.6586659	7/27/2019 12:21:29
-14.18225795	-169.658661	7/27/2019 12:21:34
-14.18224412	-169.6586603	7/27/2019 12:21:39
-14.18224789	-169.6586618	7/27/2019 12:21:44
-14.18225745	-169.6586688	7/27/2019 12:21:49
-14.18225342	-169.6586747	7/27/2019 12:21:54
-14.18226457	-169.6586725	7/27/2019 12:21:59
-14.18227589	-169.6586756	7/27/2019 12:22:04
-14.18228586	-169.658674	7/27/2019 12:22:09
-14.18230397	-169.6586682	7/27/2019 12:22:14
-14.18232174	-169.6586619	7/27/2019 12:22:19
-14.18231662	-169.6586584	7/27/2019 12:22:24
-14.18231403	-169.6586664	7/27/2019 12:22:29
-14.18231377	-169.6586646	7/27/2019 12:22:34
-14.18231838	-169.6586626	7/27/2019 12:22:39
-14.18233012	-169.6586636	7/27/2019 12:22:44
-14.18234143	-169.6586705	7/27/2019 12:22:49
-14.18235401	-169.6586648	7/27/2019 12:22:54
-14.18238351	-169.6586641	7/27/2019 12:22:59
-14.18241721	-169.6586665	7/27/2019 12:23:04
-14.1824364	-169.6586519	7/27/2019 12:23:09
-14.18244981	-169.6586342	7/27/2019 12:23:14
-14.18246247	-169.658615	7/27/2019 12:23:19
-14.18249248	-169.6586001	7/27/2019 12:23:24
-14.18248393	-169.6586039	7/27/2019 12:23:29
-14.18247496	-169.6586004	7/27/2019 12:23:34
-14.18246255	-169.6586067	7/27/2019 12:23:39
-14.18246037	-169.6586202	7/27/2019 12:23:44
-14.18247286	-169.6586172	7/27/2019 12:23:49
-14.18248728	-169.6586115	7/27/2019 12:23:54
-14.18249834	-169.6586126	7/27/2019 12:23:59
-14.18249658	-169.6586117	7/27/2019 12:24:04
-14.18250111	-169.6585977	7/27/2019 12:24:09
-14.18251829	-169.6585659	7/27/2019 12:24:14
-14.18253128	-169.6585438	7/27/2019 12:24:19
-14.18254595	-169.6585256	7/27/2019 12:24:24
-14.18254989	-169.6585259	7/27/2019 12:24:29
-14.18253874	-169.6585171	7/27/2019 12:24:34
-14.18253799	-169.6585133	7/27/2019 12:24:39
-14.18254956	-169.6585134	7/27/2019 12:24:44
-14.18256691	-169.6585235	7/27/2019 12:24:49
-14.18256749	-169.6585333	7/27/2019 12:24:54
-14.18256909	-169.6585499	7/27/2019 12:24:59
-14.18253606	-169.6585772	7/27/2019 12:25:04
-14.18253967	-169.6585936	7/27/2019 12:25:09
-14.18253782	-169.6586147	7/27/2019 12:25:14
-14.18253564	-169.6586202	7/27/2019 12:25:19
-14.18253371	-169.6586155	7/27/2019 12:25:24
-14.18254922	-169.658613	7/27/2019 12:25:29
-14.18256171	-169.6586102	7/27/2019 12:25:34
-14.18254863	-169.6586118	7/27/2019 12:25:39
-14.18253707	-169.6586162	7/27/2019 12:25:44
-14.1825405	-169.6586233	7/27/2019 12:25:49
-14.18255073	-169.6586288	7/27/2019 12:25:54
-14.18255132	-169.65864	7/27/2019 12:25:59
-14.18252106	-169.6586464	7/27/2019 12:26:04
-14.18252232	-169.6586602	7/27/2019 12:26:09
-14.18251905	-169.6586708	7/27/2019 12:26:14
-14.18252818	-169.6586626	7/27/2019 12:26:19
-14.18253682	-169.6586586	7/27/2019 12:26:24
-14.18253472	-169.6586582	7/27/2019 12:26:29
-14.18254084	-169.6586599	7/27/2019 12:26:34
-14.18254009	-169.6586679	7/27/2019 12:26:39
-14.18253757	-169.6586732	7/27/2019 12:26:44
-14.18252936	-169.6586732	7/27/2019 12:26:49
-14.1825131	-169.6586729	7/27/2019 12:26:54
-14.18250413	-169.6586908	7/27/2019 12:26:59
-14.18250371	-169.658698	7/27/2019 12:27:04
-14.18249901	-169.6587067	7/27/2019 12:27:09
-14.18247823	-169.6587074	7/27/2019 12:27:14
-14.18247412	-169.6587041	7/27/2019 12:27:19
-14.18248267	-169.6587084	7/27/2019 12:27:24
-14.18248753	-169.6587181	7/27/2019 12:27:29
-14.18248954	-169.6587225	7/27/2019 12:27:34
-14.1824887	-169.658728	7/27/2019 12:27:39
-14.18248284	-169.6587426	7/27/2019 12:27:44
-14.18247068	-169.6587504	7/27/2019 12:27:49
-14.18246272	-169.6587612	7/27/2019 12:27:54
-14.18243447	-169.6587793	7/27/2019 12:27:59
-14.18241436	-169.6587877	7/27/2019 12:28:04
-14.18240254	-169.6587835	7/27/2019 12:28:09
-14.18238955	-169.6587936	7/27/2019 12:28:14
-14.18238753	-169.658797	7/27/2019 12:28:19
-14.18238896	-169.6587902	7/27/2019 12:28:24
-14.18239399	-169.6587837	7/27/2019 12:28:29
-14.1823965	-169.6587842	7/27/2019 12:28:34
-14.18238946	-169.6587834	7/27/2019 12:28:39
-14.18239005	-169.6587947	7/27/2019 12:28:44
-14.18236591	-169.6588079	7/27/2019 12:28:49
-14.18234537	-169.6588205	7/27/2019 12:28:54
-14.18233146	-169.6588281	7/27/2019 12:28:59
-14.18232048	-169.6588388	7/27/2019 12:29:04
-14.18231428	-169.6588617	7/27/2019 12:29:09
-14.18229952	-169.6588739	7/27/2019 12:29:14
-14.18230271	-169.6588778	7/27/2019 12:29:19
-14.18230849	-169.6588674	7/27/2019 12:29:24
-14.18230841	-169.6588671	7/27/2019 12:29:29
-14.18230455	-169.6588753	7/27/2019 12:29:34
-14.18229424	-169.6588831	7/27/2019 12:29:39
-14.18228989	-169.6588944	7/27/2019 12:29:44
-14.18227991	-169.6589034	7/27/2019 12:29:49
-14.18226273	-169.6589058	7/27/2019 12:29:54
-14.1822499	-169.6589175	7/27/2019 12:29:59
-14.18223297	-169.6589254	7/27/2019 12:30:04
-14.18222006	-169.6589303	7/27/2019 12:30:09
-14.18220716	-169.6589301	7/27/2019 12:30:14
-14.18219727	-169.6589305	7/27/2019 12:30:19
-14.18219349	-169.6589315	7/27/2019 12:30:24
-14.18218419	-169.658935	7/27/2019 12:30:29
-14.18218612	-169.6589381	7/27/2019 12:30:34
-14.18218696	-169.658941	7/27/2019 12:30:39
-14.18219333	-169.6589449	7/27/2019 12:30:44
-14.18219148	-169.6589585	7/27/2019 12:30:49
-14.18218059	-169.6589685	7/27/2019 12:30:54
-14.18217313	-169.6589733	7/27/2019 12:30:59
-14.18215209	-169.6589807	7/27/2019 12:31:04
-14.18211739	-169.6590027	7/27/2019 12:31:09
-14.18210397	-169.6590124	7/27/2019 12:31:14
-14.18210934	-169.6590175	7/27/2019 12:31:19
-14.18212049	-169.6590113	7/27/2019 12:31:24
-14.18213205	-169.6590077	7/27/2019 12:31:29
-14.18213516	-169.6590137	7/27/2019 12:31:34
-14.18213013	-169.6590287	7/27/2019 12:31:39
-14.18212619	-169.6590507	7/27/2019 12:31:44
-14.18211998	-169.6590741	7/27/2019 12:31:49
-14.18211588	-169.6590907	7/27/2019 12:31:54
-14.18213331	-169.659088	7/27/2019 12:31:59
-14.18213943	-169.6590949	7/27/2019 12:32:04
-14.18214303	-169.6590941	7/27/2019 12:32:09
-14.18213197	-169.6590971	7/27/2019 12:32:14
-14.18212493	-169.6591052	7/27/2019 12:32:19
-14.18213122	-169.6591019	7/27/2019 12:32:24
-14.18214764	-169.6590855	7/27/2019 12:32:29
-14.18215041	-169.6590872	7/27/2019 12:32:34
-14.1821546	-169.6590975	7/27/2019 12:32:39
-14.18216625	-169.6591068	7/27/2019 12:32:44
-14.1821914	-169.6591072	7/27/2019 12:32:49
-14.18221017	-169.6591054	7/27/2019 12:32:54
-14.18222694	-169.6590942	7/27/2019 12:32:59
-14.18224429	-169.6590902	7/27/2019 12:33:04
-14.18226306	-169.6590796	7/27/2019 12:33:09
-14.18228125	-169.6590787	7/27/2019 12:33:14
-14.18229357	-169.6590681	7/27/2019 12:33:19
-14.1822986	-169.6590695	7/27/2019 12:33:24
-14.18230556	-169.659071	7/27/2019 12:33:29
-14.18231419	-169.6590705	7/27/2019 12:33:34
-14.18232308	-169.6590666	7/27/2019 12:33:39
-14.18233272	-169.6590719	7/27/2019 12:33:44
-14.18234487	-169.6590633	7/27/2019 12:33:49
-14.18236222	-169.6590536	7/27/2019 12:33:54
-14.18237572	-169.659049	7/27/2019 12:33:59
-14.18239349	-169.6590361	7/27/2019 12:34:04
-14.18241377	-169.6590328	7/27/2019 12:34:09
-14.18243925	-169.6590236	7/27/2019 12:34:14
-14.18245727	-169.6590025	7/27/2019 12:34:19
-14.18245526	-169.6590055	7/27/2019 12:34:24
-14.18245601	-169.6590121	7/27/2019 12:34:29
-14.18245962	-169.6590101	7/27/2019 12:34:34
-14.18245601	-169.6590194	7/27/2019 12:34:39
-14.18247068	-169.6590107	7/27/2019 12:34:44
-14.18249901	-169.6589932	7/27/2019 12:34:49
-14.18252558	-169.658979	7/27/2019 12:34:54
-14.18253019	-169.6589868	7/27/2019 12:34:59
-14.18255316	-169.6589857	7/27/2019 12:35:04
-14.18258032	-169.6589816	7/27/2019 12:35:09
-14.18259759	-169.6589813	7/27/2019 12:35:14
-14.18259323	-169.6589846	7/27/2019 12:35:19
-14.18260328	-169.6589825	7/27/2019 12:35:24
-14.18261762	-169.6589821	7/27/2019 12:35:29
-14.18261267	-169.6589845	7/27/2019 12:35:34
-14.18260898	-169.6589854	7/27/2019 12:35:39
-14.18260756	-169.6589783	7/27/2019 12:35:44
-14.18262684	-169.658955	7/27/2019 12:35:49
-14.1826379	-169.6589321	7/27/2019 12:35:54
-14.18265559	-169.6589178	7/27/2019 12:35:59
-14.18267579	-169.6589043	7/27/2019 12:36:04
-14.18268182	-169.6589002	7/27/2019 12:36:09
-14.18268526	-169.6589055	7/27/2019 12:36:14
-14.18269272	-169.658898	7/27/2019 12:36:19
-14.18271032	-169.6588818	7/27/2019 12:36:24
-14.18270932	-169.6588818	7/27/2019 12:36:29
-14.18268928	-169.6588793	7/27/2019 12:36:34
-14.18269783	-169.6588814	7/27/2019 12:36:39
-14.18270563	-169.6588816	7/27/2019 12:36:44
-14.18271988	-169.6588808	7/27/2019 12:36:49
-14.18274527	-169.6588942	7/27/2019 12:36:54
-14.18277143	-169.6589009	7/27/2019 12:36:59
-14.18276816	-169.6589208	7/27/2019 12:37:04
-14.18279607	-169.6589261	7/27/2019 12:37:09
-14.18281233	-169.6589356	7/27/2019 12:37:14
-14.18284074	-169.6589392	7/27/2019 12:37:19
-14.18281694	-169.6589403	7/27/2019 12:37:24
-14.18280344	-169.6589465	7/27/2019 12:37:29
-14.1828166	-169.6589434	7/27/2019 12:37:34
-14.18281317	-169.6589379	7/27/2019 12:37:39
-14.18279833	-169.658935	7/27/2019 12:37:44
-14.18277377	-169.6589547	7/27/2019 12:37:49
-14.18275852	-169.6589755	7/27/2019 12:37:54
-14.18275248	-169.6589773	7/27/2019 12:37:59
-14.18274284	-169.6589896	7/27/2019 12:38:04
-14.1827125	-169.6590042	7/27/2019 12:38:09
-14.18270077	-169.6590042	7/27/2019 12:38:14
-14.18269943	-169.6590081	7/27/2019 12:38:19
-14.18268979	-169.6590162	7/27/2019 12:38:24
-14.1826814	-169.6590246	7/27/2019 12:38:29
-14.18267562	-169.6590336	7/27/2019 12:38:34
-14.18265249	-169.659041	7/27/2019 12:38:39
-14.18264218	-169.6590483	7/27/2019 12:38:44
