type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 19 JUL 2019 09:56	T1	-14.1791580711	-169.6555158589	-14.1791580711	-169.6555158589		False	False			-17.91			2019/07/27 22:42:01+00	garmin GPSMAP 64s Software Version 500		2019/07/27 11:42:01		
TRACK	Current Track: 19 JUL 2019 09:56	T1	-14.1791822948	-169.6555045433	-14.1791822948	-169.6555045433		False	False			-18.1			2019/07/27 22:42:06+00	garmin GPSMAP 64s Software Version 500		2019/07/27 11:42:06		
TRACK	Current Track: 19 JUL 2019 09:56	T1	-14.1791946162	-169.6554861031	-14.1791946162	-169.6554861031		False	False			-17.91			2019/07/27 22:42:11+00	garmin GPSMAP 64s Software Version 500		2019/07/27 11:42:11		
TRACK	Current Track: 19 JUL 2019 09:56	T1	-14.1792060994	-169.6554628853	-14.1792060994	-169.6554628853		False	False			-17.95			2019/07/27 22:42:16+00	garmin GPSMAP 64s Software Version 500		2019/07/27 11:42:16		
TRACK	Current Track: 19 JUL 2019 09:56	T1	-14.1792139784	-169.6554476302	-14.1792139784	-169.6554476302		False	False			-18.16			2019/07/27 22:42:21+00	garmin GPSMAP 64s Software Version 500		2019/07/27 11:42:21		
TRACK	Current Track: 19 JUL 2019 09:56	T1	-14.1792179178	-169.6554446965	-14.1792179178	-169.6554446965		False	False			-18.06			2019/07/27 22:42:26+00	garmin GPSMAP 64s Software Version 500		2019/07/27 11:42:26		
TRACK	Current Track: 19 JUL 2019 09:56	T1	-14.1792149842	-169.6554498933	-14.1792149842	-169.6554498933		False	False			-18.14			2019/07/27 22:42:31+00	garmin GPSMAP 64s Software Version 500		2019/07/27 11:42:31		
TRACK	Current Track: 19 JUL 2019 09:56	T1	-14.1792137269	-169.6554520726	-14.1792137269	-169.6554520726		False	False			-18.2			2019/07/27 22:42:36+00	garmin GPSMAP 64s Software Version 500		2019/07/27 11:42:36		
TRACK	Current Track: 19 JUL 2019 09:56	T1	-14.1792219412	-169.6554416791	-14.1792219412	-169.6554416791		False	False			-18.39			2019/07/27 22:42:41+00	garmin GPSMAP 64s Software Version 500		2019/07/27 11:42:41		
TRACK	Current Track: 19 JUL 2019 09:56	T1	-14.1792259645	-169.6554319561	-14.1792259645	-169.6554319561		False	False			-18.48			2019/07/27 22:42:46+00	garmin GPSMAP 64s Software Version 500		2019/07/27 11:42:46		
TRACK	Current Track: 19 JUL 2019 09:56	T1	-14.1792272218	-169.655417623	-14.1792272218	-169.655417623		False	False			-18.67			2019/07/27 22:42:51+00	garmin GPSMAP 64s Software Version 500		2019/07/27 11:42:51		
TRACK	Current Track: 19 JUL 2019 09:56	T1	-14.1792429797	-169.6553939022	-14.1792429797	-169.6553939022		False	False			-18.62			2019/07/27 22:42:56+00	garmin GPSMAP 64s Software Version 500		2019/07/27 11:42:56		
TRACK	Current Track: 19 JUL 2019 09:56	T1	-14.1792651918	-169.6553814132	-14.1792651918	-169.6553814132		False	False			-18.48			2019/07/27 22:43:01+00	garmin GPSMAP 64s Software Version 500		2019/07/27 11:43:01		
TRACK	Current Track: 19 JUL 2019 09:56	T1	-14.1792867333	-169.6553647332	-14.1792867333	-169.6553647332		False	False			-18.37			2019/07/27 22:43:06+00	garmin GPSMAP 64s Software Version 500		2019/07/27 11:43:06		
TRACK	Current Track: 19 JUL 2019 09:56	T1	-14.1793047544	-169.6553396713	-14.1793047544	-169.6553396713		False	False			-18.73			2019/07/27 22:43:11+00	garmin GPSMAP 64s Software Version 500		2019/07/27 11:43:11		
TRACK	Current Track: 19 JUL 2019 09:56	T1	-14.1793289781	-169.6553190518	-14.1793289781	-169.6553190518		False	False			-18.62			2019/07/27 22:43:16+00	garmin GPSMAP 64s Software Version 500		2019/07/27 11:43:16		
