type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1812517866	-169.6223801002	-14.1812517866	-169.6223801002		False	False			7.92			2019/07/31 21:05:00+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:05:00		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1812319215	-169.6223645099	-14.1812319215	-169.6223645099		False	False			8.86			2019/07/31 21:05:05+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:05:05		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1812225338	-169.6223622467	-14.1812225338	-169.6223622467		False	False			8.87			2019/07/31 21:05:10+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:05:10		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1812140681	-169.6223479137	-14.1812140681	-169.6223479137		False	False			8.91			2019/07/31 21:05:15+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:05:15		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1812037583	-169.622348249	-14.1812037583	-169.622348249		False	False			9.32			2019/07/31 21:05:20+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:05:20		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1812005732	-169.622349171	-14.1812005732	-169.622349171		False	False			8.99			2019/07/31 21:05:25+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:05:25		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.181191856	-169.6223464049	-14.181191856	-169.6223464049		False	False			8.87			2019/07/31 21:05:30+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:05:30		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1811828874	-169.62234498	-14.1811828874	-169.62234498		False	False			9.52			2019/07/31 21:05:35+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:05:35		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1811755113	-169.6223439742	-14.1811755113	-169.6223439742		False	False			9.39			2019/07/31 21:05:40+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:05:40		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1811662912	-169.6223400347	-14.1811662912	-169.6223400347		False	False			9.53			2019/07/31 21:05:45+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:05:45		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1811646149	-169.622329222	-14.1811646149	-169.622329222		False	False			9.51			2019/07/31 21:05:50+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:05:50		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1811508685	-169.6223201696	-14.1811508685	-169.6223201696		False	False			9.85			2019/07/31 21:05:55+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:05:55		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.181137206	-169.6223105304	-14.181137206	-169.6223105304		False	False			9.56			2019/07/31 21:06:00+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:06:00		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1811191011	-169.6223007236	-14.1811191011	-169.6223007236		False	False			10.46			2019/07/31 21:06:05+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:06:05		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1811015829	-169.6222907491	-14.1811015829	-169.6222907491		False	False			9.51			2019/07/31 21:06:10+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:06:10		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1810809635	-169.6222775057	-14.1810809635	-169.6222775057		False	False			10.54			2019/07/31 21:06:15+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:06:15		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1810706537	-169.6222645976	-14.1810706537	-169.6222645976		False	False			10.13			2019/07/31 21:06:20+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:06:20		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1810754314	-169.6222613286	-14.1810754314	-169.6222613286		False	False			10.49			2019/07/31 21:06:25+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:06:25		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.181077024	-169.622265771	-14.181077024	-169.622265771		False	False			10.43			2019/07/31 21:06:30+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:06:30		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1810821369	-169.6222640947	-14.1810821369	-169.6222640947		False	False			10.25			2019/07/31 21:06:35+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:06:35		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1810832266	-169.6222498454	-14.1810832266	-169.6222498454		False	False			10.61			2019/07/31 21:06:40+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:06:40		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1810660437	-169.6222187486	-14.1810660437	-169.6222187486		False	False			10.54			2019/07/31 21:06:45+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:06:45		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1810382158	-169.6221934352	-14.1810382158	-169.6221934352		False	False			11.04			2019/07/31 21:06:50+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:06:50		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1810152493	-169.6221692115	-14.1810152493	-169.6221692115		False	False			11.87			2019/07/31 21:06:55+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:06:55		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1810023412	-169.6221574768	-14.1810023412	-169.6221574768		False	False			11.71			2019/07/31 21:07:00+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:07:00		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1809954681	-169.6221477538	-14.1809954681	-169.6221477538		False	False			11.78			2019/07/31 21:07:05+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:07:05		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1810010839	-169.6221541241	-14.1810010839	-169.6221541241		False	False			11.28			2019/07/31 21:07:10+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:07:10		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1810071189	-169.6221589018	-14.1810071189	-169.6221589018		False	False			11.87			2019/07/31 21:07:15+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:07:15		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1810116451	-169.6221461613	-14.1810116451	-169.6221461613		False	False			11.88			2019/07/31 21:07:20+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:07:20		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1809934564	-169.6221258771	-14.1809934564	-169.6221258771		False	False			12.34			2019/07/31 21:07:25+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:07:25		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1809682269	-169.6221071016	-14.1809682269	-169.6221071016		False	False			12.45			2019/07/31 21:07:30+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:07:30		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1809388902	-169.6220927685	-14.1809388902	-169.6220927685		False	False			11.86			2019/07/31 21:07:35+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:07:35		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1809075419	-169.6220680419	-14.1809075419	-169.6220680419		False	False			11.82			2019/07/31 21:07:40+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:07:40		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1808833182	-169.6220552176	-14.1808833182	-169.6220552176		False	False			11.59			2019/07/31 21:07:45+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:07:45		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1808606032	-169.6220459975	-14.1808606032	-169.6220459975		False	False			11.93			2019/07/31 21:07:50+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:07:50		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1808402352	-169.6220276412	-14.1808402352	-169.6220276412		False	False			11.86			2019/07/31 21:07:55+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:07:55		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1808104794	-169.6220185049	-14.1808104794	-169.6220185049		False	False			11.68			2019/07/31 21:08:00+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:08:00		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1807919554	-169.6220014896	-14.1807919554	-169.6220014896		False	False			11.03			2019/07/31 21:08:05+00	garmin GPSMAP 64s Software Version 380		2019/07/31 10:08:05		
