type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1816670261	-169.6219552215	-14.1816670261	-169.6219552215		False	False			-12.27			2019/07/31 20:09:00+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:09:00		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1816839576	-169.6219677106	-14.1816839576	-169.6219677106		False	False			-12.22			2019/07/31 20:09:05+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:09:05		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1816820297	-169.6219646093	-14.1816820297	-169.6219646093		False	False			-12.21			2019/07/31 20:09:10+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:09:10		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1816780902	-169.6219623461	-14.1816780902	-169.6219623461		False	False			-11.54			2019/07/31 20:09:15+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:09:15		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1816802695	-169.6219546348	-14.1816802695	-169.6219546348		False	False			-11.78			2019/07/31 20:09:20+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:09:20		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.181685131	-169.621944325	-14.181685131	-169.621944325		False	False			-12.56			2019/07/31 20:09:25+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:09:25		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1816773359	-169.6219449118	-14.1816773359	-169.6219449118		False	False			-12.49			2019/07/31 20:09:30+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:09:30		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.181676833	-169.6219432354	-14.181676833	-169.6219432354		False	False			-12.61			2019/07/31 20:09:35+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:09:35		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.181678677	-169.6219362784	-14.181678677	-169.6219362784		False	False			-12.01			2019/07/31 20:09:40+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:09:40		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1816812754	-169.6219332609	-14.1816812754	-169.6219332609		False	False			-12.6			2019/07/31 20:09:45+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:09:45		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1816832032	-169.6219251305	-14.1816832032	-169.6219251305		False	False			-13.93			2019/07/31 20:09:50+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:09:50		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1816946864	-169.6219307464	-14.1816946864	-169.6219307464		False	False			-13.39			2019/07/31 20:09:55+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:09:55		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1817098577	-169.6219480969	-14.1817098577	-169.6219480969		False	False			-14.42			2019/07/31 20:10:00+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:10:00		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1817210056	-169.621948516	-14.1817210056	-169.621948516		False	False			-12.95			2019/07/31 20:10:05+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:10:05		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1817348357	-169.621964274	-14.1817348357	-169.621964274		False	False			-13.55			2019/07/31 20:10:10+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:10:10		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1817526054	-169.6219787747	-14.1817526054	-169.6219787747		False	False			-14.06			2019/07/31 20:10:15+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:10:15		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1817567125	-169.6219788585	-14.1817567125	-169.6219788585		False	False			-14.92			2019/07/31 20:10:20+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:10:20		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1817575507	-169.6219701413	-14.1817575507	-169.6219701413		False	False			-16.32			2019/07/31 20:10:25+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:10:25		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1817517672	-169.621975841	-14.1817517672	-169.621975841		False	False			-17.34			2019/07/31 20:10:30+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:10:30		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.181752773	-169.6219828818	-14.181752773	-169.6219828818		False	False			-17.7			2019/07/31 20:10:35+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:10:35		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1817556228	-169.6219911799	-14.1817556228	-169.6219911799		False	False			-18.69			2019/07/31 20:10:40+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:10:40		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1817650106	-169.6219992265	-14.1817650106	-169.6219992265		False	False			-19.56			2019/07/31 20:10:45+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:10:45		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.181785211	-169.6220152359	-14.181785211	-169.6220152359		False	False			-20.4			2019/07/31 20:10:50+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:10:50		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1818029806	-169.622023534	-14.1818029806	-169.622023534		False	False			-20.98			2019/07/31 20:10:55+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:10:55		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1818265337	-169.6220409684	-14.1818265337	-169.6220409684		False	False			-20.64			2019/07/31 20:11:00+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:11:00		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1818412021	-169.622053206	-14.1818412021	-169.622053206		False	False			-20.84			2019/07/31 20:11:05+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:11:05		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1818568762	-169.622069383	-14.1818568762	-169.622069383		False	False			-22			2019/07/31 20:11:10+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:11:10		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.181882441	-169.6220858116	-14.181882441	-169.6220858116		False	False			-21.72			2019/07/31 20:11:15+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:11:15		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1818961874	-169.6220943611	-14.1818961874	-169.6220943611		False	False			-21.25			2019/07/31 20:11:20+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:11:20		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1818992887	-169.6220955346	-14.1818992887	-169.6220955346		False	False			-21.64			2019/07/31 20:11:25+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:11:25		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1819059942	-169.6221022401	-14.1819059942	-169.6221022401		False	False			-22.45			2019/07/31 20:11:30+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:11:30		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1819061618	-169.6221019048	-14.1819061618	-169.6221019048		False	False			-22.32			2019/07/31 20:11:35+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:11:35		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1819031443	-169.6220976301	-14.1819031443	-169.6220976301		False	False			-22.59			2019/07/31 20:11:40+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:11:40		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.181909766	-169.6220943611	-14.181909766	-169.6220943611		False	False			-22.72			2019/07/31 20:11:45+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:11:45		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1819234286	-169.6220977977	-14.1819234286	-169.6220977977		False	False			-23.73			2019/07/31 20:11:50+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:11:50		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1819376778	-169.6221200936	-14.1819376778	-169.6221200936		False	False			-23.94			2019/07/31 20:11:55+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:11:55		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1819536872	-169.6221478377	-14.1819536872	-169.6221478377		False	False			-24.68			2019/07/31 20:12:00+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:12:00		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1819780786	-169.622152783	-14.1819780786	-169.622152783		False	False			-24.92			2019/07/31 20:12:05+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:12:05		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1819976922	-169.6221648529	-14.1819976922	-169.6221648529		False	False			-24.87			2019/07/31 20:12:10+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:12:10		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1820208263	-169.6221827064	-14.1820208263	-169.6221827064		False	False			-25.14			2019/07/31 20:12:15+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:12:15		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1820385121	-169.6221832931	-14.1820385121	-169.6221832931		False	False			-24.23			2019/07/31 20:12:20+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:12:20		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1820426192	-169.6221899986	-14.1820426192	-169.6221899986		False	False			-24.82			2019/07/31 20:12:25+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:12:25		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1820495762	-169.6222024038	-14.1820495762	-169.6222024038		False	False			-24.1			2019/07/31 20:12:30+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:12:30		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.182052426	-169.6222040802	-14.182052426	-169.6222040802		False	False			-24.28			2019/07/31 20:12:35+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:12:35		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1820549406	-169.6222065948	-14.1820549406	-169.6222065948		False	False			-24.22			2019/07/31 20:12:40+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:12:40		
TRACK	Current Track: 31 JUL 2019 08:16	T5271	-14.1820608079	-169.6222164854	-14.1820608079	-169.6222164854		False	False			-24.47			2019/07/31 20:12:45+00	garmin GPSMAP 64s Software Version 380		2019/07/31 09:12:45		
