Latitude	Longitude	ltime
-14.18166703	-169.6219552	7/31/2019 9:09:00
-14.18170986	-169.6219481	7/31/2019 9:10:00
-14.18182653	-169.622041	7/31/2019 9:11:00
-14.18195369	-169.6221478	7/31/2019 9:12:00
-14.18210993	-169.6222721	7/31/2019 9:13:00
-14.18224999	-169.622399	7/31/2019 9:14:00
-14.18239986	-169.6225323	7/31/2019 9:15:00
-14.18255945	-169.6226711	7/31/2019 9:16:00
-14.18261292	-169.6227032	7/31/2019 9:17:00
-14.18256196	-169.622793	7/31/2019 9:18:00
-14.1824131	-169.6227495	7/31/2019 9:19:00
-14.18229768	-169.6226545	7/31/2019 9:20:00
-14.18218545	-169.6225768	7/31/2019 9:21:00
-14.18206131	-169.6224656	7/31/2019 9:22:00
-14.18195872	-169.6223577	7/31/2019 9:23:00
-14.1818982	-169.6222793	7/31/2019 9:24:00
-14.18175328	-169.6221831	7/31/2019 9:25:00
-14.18161456	-169.6220681	7/31/2019 9:26:00
-14.18148321	-169.6219462	7/31/2019 9:27:00
-14.18135396	-169.6219369	7/31/2019 9:28:00
-14.18133041	-169.6219947	7/31/2019 9:29:00
-14.18140023	-169.6221295	7/31/2019 9:30:00
-14.18149402	-169.6221909	7/31/2019 9:31:00
-14.18160601	-169.6222627	7/31/2019 9:32:00
-14.18169603	-169.6223201	7/31/2019 9:33:00
-14.18180466	-169.6224007	7/31/2019 9:34:00
-14.18193148	-169.6224929	7/31/2019 9:35:00
-14.18205159	-169.6225974	7/31/2019 9:36:00
-14.18216391	-169.6227194	7/31/2019 9:37:00
-14.18219517	-169.6228277	7/31/2019 9:38:00
-14.18206818	-169.6228156	7/31/2019 9:39:00
-14.18196014	-169.6227246	7/31/2019 9:40:00
-14.18184841	-169.622637	7/31/2019 9:41:00
-14.181749	-169.6225347	7/31/2019 9:42:00
-14.18161288	-169.6224168	7/31/2019 9:43:00
-14.18151179	-169.6223014	7/31/2019 9:44:00
-14.18137634	-169.6221846	7/31/2019 9:45:00
-14.18126855	-169.6220597	7/31/2019 9:46:00
-14.18116135	-169.6219767	7/31/2019 9:47:00
-14.18104685	-169.6219408	7/31/2019 9:48:00
-14.18107384	-169.6219917	7/31/2019 9:49:00
-14.18115146	-169.6220943	7/31/2019 9:50:00
-14.18124156	-169.6222104	7/31/2019 9:51:00
-14.18132898	-169.6223213	7/31/2019 9:52:00
-14.18146561	-169.6224252	7/31/2019 9:53:00
-14.1815791	-169.6225057	7/31/2019 9:54:00
-14.18168999	-169.6225912	7/31/2019 9:55:00
-14.18183341	-169.6227274	7/31/2019 9:56:00
-14.18192117	-169.622831	7/31/2019 9:57:00
-14.18205452	-169.6229574	7/31/2019 9:58:00
-14.18193743	-169.6230004	7/31/2019 9:59:00
-14.181821	-169.6228997	7/31/2019 10:00:00
-14.18166828	-169.6227507	7/31/2019 10:01:00
-14.18155664	-169.6226458	7/31/2019 10:02:00
-14.18144633	-169.6225514	7/31/2019 10:03:00
-14.18132739	-169.6224624	7/31/2019 10:04:00
