type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 24 JUL 2019 23:58	T1	-14.1767911054	-169.6239014994	-14.1767911054	-169.6239014994		False	True			11.49			2019/07/31 19:51:49+00	garmin GPSMAP 64s Software Version 500		2019/07/31 08:51:49		
TRACK	Current Track: 24 JUL 2019 23:58	T1	-14.1767944582	-169.623850286	-14.1767944582	-169.623850286		False	False			12.18			2019/07/31 19:51:54+00	garmin GPSMAP 64s Software Version 500		2019/07/31 08:51:54		
TRACK	Current Track: 24 JUL 2019 23:58	T1	-14.1767946258	-169.6238105558	-14.1767946258	-169.6238105558		False	False			13.31			2019/07/31 19:51:59+00	garmin GPSMAP 64s Software Version 500		2019/07/31 08:51:59		
TRACK	Current Track: 24 JUL 2019 23:58	T1	-14.1768055223	-169.6237903554	-14.1768055223	-169.6237903554		False	False			9.9			2019/07/31 19:52:04+00	garmin GPSMAP 64s Software Version 500		2019/07/31 08:52:04		
TRACK	Current Track: 24 JUL 2019 23:58	T1	-14.176799152	-169.6237929538	-14.176799152	-169.6237929538		False	False			10.33			2019/07/31 19:52:09+00	garmin GPSMAP 64s Software Version 500		2019/07/31 08:52:09		
TRACK	Current Track: 24 JUL 2019 23:58	T1	-14.1768018343	-169.6237823926	-14.1768018343	-169.6237823926		False	False			11.04			2019/07/31 19:52:14+00	garmin GPSMAP 64s Software Version 500		2019/07/31 08:52:14		
TRACK	Current Track: 24 JUL 2019 23:58	T1	-14.1768250521	-169.6237788722	-14.1768250521	-169.6237788722		False	False			6.16			2019/07/31 19:52:19+00	garmin GPSMAP 64s Software Version 500		2019/07/31 08:52:19		
TRACK	Current Track: 24 JUL 2019 23:58	T1	-14.1768030077	-169.6237681434	-14.1768030077	-169.6237681434		False	False			0.99			2019/07/31 19:52:24+00	garmin GPSMAP 64s Software Version 500		2019/07/31 08:52:24		
TRACK	Current Track: 24 JUL 2019 23:58	T1	-14.1767823882	-169.623770155	-14.1767823882	-169.623770155		False	False			-6.24			2019/07/31 19:52:29+00	garmin GPSMAP 64s Software Version 500		2019/07/31 08:52:29		
TRACK	Current Track: 24 JUL 2019 23:58	T1	-14.1767828073	-169.6237643715	-14.1767828073	-169.6237643715		False	False			-9.94			2019/07/31 19:52:34+00	garmin GPSMAP 64s Software Version 500		2019/07/31 08:52:34		
TRACK	Current Track: 24 JUL 2019 23:58	T1	-14.1768077016	-169.6237642877	-14.1768077016	-169.6237642877		False	False			-15.49			2019/07/31 19:52:39+00	garmin GPSMAP 64s Software Version 500		2019/07/31 08:52:39		
TRACK	Current Track: 24 JUL 2019 23:58	T1	-14.1768259741	-169.6237590071	-14.1768259741	-169.6237590071		False	False			-19.48			2019/07/31 19:52:44+00	garmin GPSMAP 64s Software Version 500		2019/07/31 08:52:44		
TRACK	Current Track: 24 JUL 2019 23:58	T1	-14.1768646147	-169.6237642039	-14.1768646147	-169.6237642039		False	False			-23.49			2019/07/31 19:52:49+00	garmin GPSMAP 64s Software Version 500		2019/07/31 08:52:49		
TRACK	Current Track: 24 JUL 2019 23:58	T1	-14.1768671293	-169.6237476077	-14.1768671293	-169.6237476077		False	False			-19.35			2019/07/31 19:52:54+00	garmin GPSMAP 64s Software Version 500		2019/07/31 08:52:54		
TRACK	Current Track: 24 JUL 2019 23:58	T1	-14.1767072864	-169.6235650498	-14.1767072864	-169.6235650498		False	False			-22.45			2019/07/31 19:52:59+00	garmin GPSMAP 64s Software Version 500		2019/07/31 08:52:59		
TRACK	Current Track: 24 JUL 2019 23:58	T1	-14.176761182	-169.623656664	-14.176761182	-169.623656664		False	False			-22.93			2019/07/31 19:53:04+00	garmin GPSMAP 64s Software Version 500		2019/07/31 08:53:04		
TRACK	Current Track: 24 JUL 2019 23:58	T1	-14.1767948773	-169.6237144992	-14.1767948773	-169.6237144992		False	False			-25.36			2019/07/31 19:53:09+00	garmin GPSMAP 64s Software Version 500		2019/07/31 08:53:09		
TRACK	Current Track: 24 JUL 2019 23:58	T1	-14.1768225376	-169.6237723343	-14.1768225376	-169.6237723343		False	False			-27.53			2019/07/31 19:53:14+00	garmin GPSMAP 64s Software Version 500		2019/07/31 08:53:14		
TRACK	Current Track: 24 JUL 2019 23:58	T1	-14.1768405586	-169.623843329	-14.1768405586	-169.623843329		False	False			-28.79			2019/07/31 19:53:19+00	garmin GPSMAP 64s Software Version 500		2019/07/31 08:53:19		
TRACK	Current Track: 24 JUL 2019 23:58	T1	-14.1768496111	-169.623905858	-14.1768496111	-169.623905858		False	False			-29.87			2019/07/31 19:53:24+00	garmin GPSMAP 64s Software Version 500		2019/07/31 08:53:24		
TRACK	Current Track: 24 JUL 2019 23:58	T1	-14.1768531315	-169.6239569038	-14.1768531315	-169.6239569038		False	False			-30.58			2019/07/31 19:53:29+00	garmin GPSMAP 64s Software Version 500		2019/07/31 08:53:29		
TRACK	Current Track: 24 JUL 2019 23:58	T1	-14.1769287363	-169.6240118053	-14.1769287363	-169.6240118053		False	False			-31.35			2019/07/31 19:53:34+00	garmin GPSMAP 64s Software Version 500		2019/07/31 08:53:34		
TRACK	Current Track: 24 JUL 2019 23:58	T1	-14.1769990604	-169.6240235399	-14.1769990604	-169.6240235399		False	False			-31.43			2019/07/31 19:53:39+00	garmin GPSMAP 64s Software Version 500		2019/07/31 08:53:39		
