"Plot Title: Olosega 3New"
"#","Date Time, GMT-11:00","Temp, °C (LGR S/N: 20253146, SEN S/N: 20253146)","End Of File (LGR S/N: 20253146)"
1,07/23/18 09:00:00 AM,20.805,
2,07/23/18 09:05:00 AM,20.901,
3,07/23/18 09:10:00 AM,20.996,
4,07/23/18 09:15:00 AM,21.091,
5,07/23/18 09:20:00 AM,21.091,
6,07/23/18 09:25:00 AM,21.187,
7,07/23/18 09:30:00 AM,21.282,
8,07/23/18 09:35:00 AM,21.378,
9,07/23/18 09:40:00 AM,21.282,
10,07/23/18 09:45:00 AM,21.187,
11,07/23/18 09:50:00 AM,21.378,
12,07/23/18 09:55:00 AM,21.473,
13,07/23/18 10:00:00 AM,21.473,
14,07/23/18 10:05:00 AM,21.664,
15,07/23/18 10:10:00 AM,23.100,
16,07/23/18 10:15:00 AM,25.222,
17,07/23/18 10:20:00 AM,26.585,
18,07/23/18 10:25:00 AM,27.173,
19,07/23/18 10:30:00 AM,27.468,
20,07/23/18 10:35:00 AM,27.665,
21,07/23/18 10:40:00 AM,27.862,
22,07/23/18 10:45:00 AM,27.862,
23,07/23/18 10:50:00 AM,27.862,
24,07/23/18 10:55:00 AM,27.862,
25,07/23/18 11:00:00 AM,27.961,
26,07/23/18 11:05:00 AM,27.961,
27,07/23/18 11:10:00 AM,27.862,
28,07/23/18 11:15:00 AM,27.862,
29,07/23/18 11:20:00 AM,27.764,
30,07/23/18 11:25:00 AM,27.764,
31,07/23/18 11:30:00 AM,27.665,
32,07/23/18 11:35:00 AM,27.665,
33,07/23/18 11:40:00 AM,27.665,
34,07/23/18 11:45:00 AM,27.665,
35,07/23/18 11:50:00 AM,27.665,
36,07/23/18 11:55:00 AM,27.764,
37,07/23/18 12:00:00 PM,27.764,
38,07/23/18 12:05:00 PM,27.764,
39,07/23/18 12:10:00 PM,27.862,
40,07/23/18 12:15:00 PM,27.862,
41,07/23/18 12:20:00 PM,27.961,
42,07/23/18 12:25:00 PM,28.060,
43,07/23/18 12:30:00 PM,28.357,
44,07/23/18 12:35:00 PM,28.754,
45,07/23/18 12:40:00 PM,28.953,
46,07/23/18 12:45:00 PM,28.953,
47,07/23/18 12:50:00 PM,29.053,
48,07/23/18 12:55:00 PM,29.053,
49,07/23/18 01:00:00 PM,29.053,
50,07/23/18 01:05:00 PM,29.252,
51,07/23/18 01:10:00 PM,29.352,
52,07/23/18 01:15:00 PM,29.953,
53,07/23/18 01:20:00 PM,30.457,
54,07/23/18 01:25:00 PM,30.558,
55,07/23/18 01:30:00 PM,30.963,
56,07/23/18 01:35:00 PM,31.064,
57,07/23/18 01:40:00 PM,31.166,
58,07/23/18 01:45:00 PM,31.268,
59,07/23/18 01:50:00 PM,32.086,
60,07/23/18 01:55:00 PM,32.600,
61,07/23/18 02:00:00 PM,33.430,
62,07/23/18 02:05:00 PM,34.163,
63,07/23/18 02:10:00 PM,35.009,
64,07/23/18 02:15:00 PM,35.756,
65,07/23/18 02:20:00 PM,36.403,
66,07/23/18 02:25:00 PM,36.511,
67,07/23/18 02:30:00 PM,36.079,
68,07/23/18 02:35:00 PM,35.649,
69,07/23/18 02:40:00 PM,35.435,
70,07/23/18 02:45:00 PM,35.435,
71,07/23/18 02:50:00 PM,35.115,
72,07/23/18 02:55:00 PM,34.903,
73,07/23/18 03:00:00 PM,35.328,
74,07/23/18 03:05:00 PM,35.864,
75,07/23/18 03:10:00 PM,35.971,
76,07/23/18 03:15:00 PM,35.542,
77,07/23/18 03:20:00 PM,34.374,
78,07/23/18 03:25:00 PM,33.430,
79,07/23/18 03:30:00 PM,32.704,
80,07/23/18 03:35:00 PM,32.086,
81,07/23/18 03:40:00 PM,31.778,
82,07/23/18 03:45:00 PM,31.778,
83,07/23/18 03:50:00 PM,31.574,
84,07/23/18 03:55:00 PM,31.472,
85,07/23/18 04:00:00 PM,31.064,
86,07/23/18 04:05:00 PM,30.963,
87,07/23/18 04:10:00 PM,30.760,
88,07/23/18 04:15:00 PM,30.457,
89,07/23/18 04:20:00 PM,30.356,
90,07/23/18 04:25:00 PM,30.054,
91,07/23/18 04:30:00 PM,29.752,
92,07/23/18 04:35:00 PM,29.452,
93,07/23/18 04:40:00 PM,29.252,
94,07/23/18 04:45:00 PM,29.053,
95,07/23/18 04:50:00 PM,28.853,
96,07/23/18 04:55:00 PM,28.655,
97,07/23/18 05:00:00 PM,28.357,
98,07/23/18 05:05:00 PM,28.258,
99,07/23/18 05:10:00 PM,28.060,
100,07/23/18 05:15:00 PM,27.961,
101,07/23/18 05:20:00 PM,27.764,
102,07/23/18 05:25:00 PM,27.665,
103,07/23/18 05:30:00 PM,27.665,
104,07/23/18 05:35:00 PM,27.665,
105,07/23/18 05:40:00 PM,27.665,
106,07/23/18 05:45:00 PM,27.567,
107,07/23/18 05:50:00 PM,27.468,
108,07/23/18 05:55:00 PM,27.272,
109,07/23/18 06:00:00 PM,26.977,
110,07/23/18 06:05:00 PM,26.977,
111,07/23/18 06:10:00 PM,26.977,
112,07/23/18 06:15:00 PM,26.879,
113,07/23/18 06:20:00 PM,26.879,
114,07/23/18 06:25:00 PM,26.781,
115,07/23/18 06:30:00 PM,26.781,
116,07/23/18 06:35:00 PM,26.879,
117,07/23/18 06:40:00 PM,26.879,
118,07/23/18 06:45:00 PM,26.683,
119,07/23/18 06:50:00 PM,26.488,
120,07/23/18 06:55:00 PM,26.292,
121,07/23/18 07:00:00 PM,26.195,
122,07/23/18 07:05:00 PM,26.000,
123,07/23/18 07:10:00 PM,25.902,
124,07/23/18 07:15:00 PM,25.805,
125,07/23/18 07:20:00 PM,25.708,
126,07/23/18 07:25:00 PM,25.708,
127,07/23/18 07:30:00 PM,25.708,
128,07/23/18 07:35:00 PM,25.610,
129,07/23/18 07:40:00 PM,25.513,
130,07/23/18 07:45:00 PM,25.513,
131,07/23/18 07:50:00 PM,25.416,
132,07/23/18 07:55:00 PM,25.416,
133,07/23/18 08:00:00 PM,25.319,
134,07/23/18 08:05:00 PM,25.319,
135,07/23/18 08:10:00 PM,25.319,
136,07/23/18 08:15:00 PM,25.319,
137,07/23/18 08:20:00 PM,25.319,
138,07/23/18 08:25:00 PM,25.222,
139,07/23/18 08:30:00 PM,25.222,
140,07/23/18 08:35:00 PM,25.222,
141,07/23/18 08:40:00 PM,25.222,
142,07/23/18 08:45:00 PM,25.222,
143,07/23/18 08:50:00 PM,25.125,
144,07/23/18 08:55:00 PM,25.125,
145,07/23/18 09:00:00 PM,25.125,
146,07/23/18 09:05:00 PM,25.028,
147,07/23/18 09:10:00 PM,25.028,
148,07/23/18 09:15:00 PM,24.931,
149,07/23/18 09:20:00 PM,24.835,
150,07/23/18 09:25:00 PM,24.835,
151,07/23/18 09:30:00 PM,24.835,
152,07/23/18 09:35:00 PM,24.738,
153,07/23/18 09:40:00 PM,24.738,
154,07/23/18 09:45:00 PM,24.641,
155,07/23/18 09:50:00 PM,24.738,
156,07/23/18 09:55:00 PM,24.835,
157,07/23/18 10:00:00 PM,24.931,
158,07/23/18 10:05:00 PM,24.931,
159,07/23/18 10:10:00 PM,25.028,
160,07/23/18 10:15:00 PM,25.125,
161,07/23/18 10:20:00 PM,25.028,
162,07/23/18 10:25:00 PM,25.028,
163,07/23/18 10:30:00 PM,25.028,
164,07/23/18 10:35:00 PM,25.028,
165,07/23/18 10:40:00 PM,24.931,
166,07/23/18 10:45:00 PM,24.931,
167,07/23/18 10:50:00 PM,24.931,
168,07/23/18 10:55:00 PM,24.931,
169,07/23/18 11:00:00 PM,24.931,
170,07/23/18 11:05:00 PM,24.931,
171,07/23/18 11:10:00 PM,24.835,
172,07/23/18 11:15:00 PM,24.835,
173,07/23/18 11:20:00 PM,24.931,
174,07/23/18 11:25:00 PM,24.835,
175,07/23/18 11:30:00 PM,24.835,
176,07/23/18 11:35:00 PM,24.738,
177,07/23/18 11:40:00 PM,24.738,
178,07/23/18 11:45:00 PM,24.738,
179,07/23/18 11:50:00 PM,24.835,
180,07/23/18 11:55:00 PM,24.835,
181,07/24/18 12:00:00 AM,24.835,
182,07/24/18 12:05:00 AM,24.835,
183,07/24/18 12:10:00 AM,24.835,
184,07/24/18 12:15:00 AM,24.835,
185,07/24/18 12:20:00 AM,24.835,
186,07/24/18 12:25:00 AM,24.835,
187,07/24/18 12:30:00 AM,24.931,
188,07/24/18 12:35:00 AM,24.931,
189,07/24/18 12:40:00 AM,24.931,
190,07/24/18 12:45:00 AM,24.931,
191,07/24/18 12:50:00 AM,24.931,
192,07/24/18 12:55:00 AM,24.931,
193,07/24/18 01:00:00 AM,24.835,
194,07/24/18 01:05:00 AM,24.835,
195,07/24/18 01:10:00 AM,24.931,
196,07/24/18 01:15:00 AM,24.931,
197,07/24/18 01:20:00 AM,25.028,
198,07/24/18 01:25:00 AM,25.028,
199,07/24/18 01:30:00 AM,25.028,
200,07/24/18 01:35:00 AM,25.028,
201,07/24/18 01:40:00 AM,25.028,
202,07/24/18 01:45:00 AM,25.125,
203,07/24/18 01:50:00 AM,25.125,
204,07/24/18 01:55:00 AM,25.222,
205,07/24/18 02:00:00 AM,25.222,
206,07/24/18 02:05:00 AM,25.222,
207,07/24/18 02:10:00 AM,25.222,
208,07/24/18 02:15:00 AM,25.319,
209,07/24/18 02:20:00 AM,25.319,
210,07/24/18 02:25:00 AM,25.319,
211,07/24/18 02:30:00 AM,25.416,
212,07/24/18 02:35:00 AM,25.513,
213,07/24/18 02:40:00 AM,25.513,
214,07/24/18 02:45:00 AM,25.513,
215,07/24/18 02:50:00 AM,25.513,
216,07/24/18 02:55:00 AM,25.513,
217,07/24/18 03:00:00 AM,25.513,
218,07/24/18 03:05:00 AM,25.513,
219,07/24/18 03:10:00 AM,25.513,
220,07/24/18 03:15:00 AM,25.513,
