type	ident	Latitude	Longitude	y_proj	x_proj	comment	display	symbol	dist	proximity	color	altitude	depth	temp	time	wpt_class	sub_class	attrib	link	state	country	city	address	zip	facility	crossroad	ete	dtype	model	filename	ltime	magvar	geoidheight	desc	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	dir
WAYPOINT	OFU 100 A s	-14.16674607	-169.6820101	-14.16674607	-169.6820101																																					
WAYPOINT	OFU 100 A e	-14.16755676	-169.6819197	-14.16755676	-169.6819197																																					
WAYPOINT	OFU 100 B s	-14.16936969	-169.6809167	-14.16936969	-169.6809167																																					
WAYPOINT	OFU 100 B e	-14.17019748	-169.6805454	-14.17019748	-169.6805454																																					
WAYPOINT	OFU 100 C s	-14.172418	-169.679545	-14.172418	-169.679545																																					
WAYPOINT	OFU 100 C e	-14.173276	-169.679269	-14.173276	-169.679269																																					
WAYPOINT	OFU 100 D s	-14.17361	-169.679246	-14.17361	-169.679246																																					
WAYPOINT	OFU 100 D e	-14.174445	-169.678936	-14.174445	-169.678936																																					
WAYPOINT	ALG OFU s	-14.174373	-169.677783	-14.174373	-169.677783																																					
WAYPOINT	ALG OFU m	-14.174574	-169.678536	-14.174574	-169.678536																																					
WAYPOINT	ALG OFU c	-14.175	-169.68	-14.175	-169.68																																					
WAYPOINT	OFU 100 E s	-14.175002	-169.678488	-14.175002	-169.678488																																					
WAYPOINT	OFU 100 E e	-14.175826	-169.678235	-14.175826	-169.678235																																					
WAYPOINT	OFU 200 A s	-14.1856481	-169.6720762	-14.1856481	-169.6720762																																					
WAYPOINT	OFU 200 A e	-14.18608077	-169.6711851	-14.18608077	-169.6711851																																					
WAYPOINT	OFU 200 B s	-14.1861702	-169.6703172	-14.1861702	-169.6703172																																					
WAYPOINT	OFU 200 B e	-14.18638989	-169.6695161	-14.18638989	-169.6695161																																					
WAYPOINT	Rebar West	-14.18594	-169.66878	-14.18594	-169.66878																																					
WAYPOINT	Rebar East	-14.18586	-169.66811	-14.18586	-169.66811																																					
WAYPOINT	OFU 200 D s	-14.18566	-169.66765	-14.18566	-169.66765																																					
WAYPOINT	OFU 200 D e	-14.18527	-169.66681	-14.18527	-169.66681																																					
WAYPOINT	OFU 200 C s	-14.18497469	-169.6658096	-14.18497469	-169.6658096																																					
WAYPOINT	OFU 200 C e	-14.18500009	-169.6666678	-14.18500009	-169.6666678																																					
WAYPOINT	OFU 200 E s	-14.18458	-169.66563	-14.18458	-169.66563																																					
WAYPOINT	OFU 200 E e	-14.1846	-169.66474	-14.1846	-169.66474																																					
WAYPOINT	OFU 300 A s	-14.182032	-169.658383	-14.182032	-169.658383																																					
WAYPOINT	OFU 300 A e	-14.181587	-169.65757	-14.181587	-169.65757																																					
WAYPOINT	OFU 300 B s	-14.181321	-169.657182	-14.181321	-169.657182																																					
WAYPOINT	OFU 300 B e	-14.180867	-169.656457	-14.180867	-169.656457																																					
WAYPOINT	OFU 300 C s	-14.18056439	-169.6559694	-14.18056439	-169.6559694																																					
WAYPOINT	OFU 300 C e	-14.17993189	-169.6553384	-14.17993189	-169.6553384																																					
WAYPOINT	ALG TOA m	-14.17818	-169.65469	-14.17818	-169.65469																																					
WAYPOINT	ALG TOA m	-14.178747	-169.654091	-14.178747	-169.654091																																					
WAYPOINT	ALG TOA m	-14.179355	-169.653473	-14.179355	-169.653473																																					
WAYPOINT	OFU 400 A s	-14.179024	-169.654424	-14.179024	-169.654424																																					
WAYPOINT	OFU 400 A e	-14.178452	-169.653739	-14.178452	-169.653739																																					
WAYPOINT	OFU 400 B s	-14.17830949	-169.653213	-14.17830949	-169.653213																																					
WAYPOINT	OFU 400 B e	-14.17759567	-169.6529511	-14.17759567	-169.6529511																																					
WAYPOINT	OFU 400 C s	-14.17731011	-169.652553	-14.17731011	-169.652553																																					
WAYPOINT	OFU 400 C e	-14.17676797	-169.6518202	-14.17676797	-169.6518202																																					
WAYPOINT	OFU 600 s	-14.17140506	-169.6437222	-14.17140506	-169.6437222																																					
WAYPOINT	OFU 600 e	-14.1709936	-169.6429225	-14.1709936	-169.6429225																																					
WAYPOINT	OLO A s	-14.17838006	-169.625339	-14.17838006	-169.625339																																					
WAYPOINT	OLO A e	-14.17892371	-169.6246156	-14.17892371	-169.6246156																																					
WAYPOINT	OLO B s	-14.17968035	-169.6238366	-14.17968035	-169.6238366																																					
WAYPOINT	OLO B e	-14.18025141	-169.6232116	-14.18025141	-169.6232116																																					
WAYPOINT	ALG OLO s	-14.179488	-169.623074	-14.179488	-169.623074																																					
WAYPOINT	ALG OLO m	-14.180001	-169.623604	-14.180001	-169.623604																																					
WAYPOINT	ALG OLO c	-14.18058	-169.624127	-14.18058	-169.624127																																					
WAYPOINT	OLO C s	-14.18076	-169.6228	-14.18076	-169.6228																																					
WAYPOINT	OLO C e	-14.18159	-169.62238	-14.18159	-169.62238																																					
